区分１,区分２,区分３,区分４,回収数（件）,比率（％）
全体,,,,2092,100.0
病院別,広尾病院,,,235,11.2
病院別,大塚病院,,,307,14.7
病院別,駒込病院,,,384,18.4
病院別,墨東病院,,,332,15.9
病院別,多摩総合医療センター,,,399,19.1
病院別,小児総合医療センター,,,277,13.2
病院別,松沢病院,,,158,7.6
全体,,,,2092,100.0
性別,男性,,,841,40.2
性別,女性,,,1251,59.8
全体,,,,2092,100.0
性・年代別,男性全体,,,841,40.2
性・年代別,男性全体,男性１９歳以下,,9,0.4
性・年代別,男性全体,男性２０～２９歳,,37,1.8
性・年代別,男性全体,男性３０～３９歳,,100,4.8
性・年代別,男性全体,男性４０～４９歳,,111,5.3
性・年代別,男性全体,男性５０～５９歳,,120,5.7
性・年代別,男性全体,男性６０～６４歳,,87,4.2
性・年代別,男性全体,男性６５～６９歳,,115,5.5
性・年代別,男性全体,男性７０～７４歳,,112,5.4
性・年代別,男性全体,男性７５歳以上,,150,7.2
性・年代別,女性全体,,,1251,59.8
性・年代別,女性全体,女性１９歳以下,,17,0.8
性・年代別,女性全体,女性２０～２９歳,,75,3.6
性・年代別,女性全体,女性３０～３９歳,,258,12.3
性・年代別,女性全体,女性４０～４９歳,,246,11.8
性・年代別,女性全体,女性５０～５９歳,,171,8.2
性・年代別,女性全体,女性６０～６４歳,,113,5.4
性・年代別,女性全体,女性６５～６９歳,,96,4.6
性・年代別,女性全体,女性７０～７４歳,,128,6.1
性・年代別,女性全体,女性７５歳以上,,147,7.0
全体,,,,2092,100.0
居住地別,都内,,,1779,85.0
居住地別,都内,区部,,1183,56.5
居住地別,都内,区部,区中央部,189,9.0
居住地別,都内,区部,区南部,31,1.5
居住地別,都内,区部,区西南部,156,7.5
居住地別,都内,区部,区西部,72,3.4
居住地別,都内,区部,区西北部,303,14.5
居住地別,都内,区部,区東北部,124,5.9
居住地別,都内,区部,区東部,308,14.7
居住地別,都内,多摩地域,,593,28.3
居住地別,都内,多摩地域,西多摩,17,0.8
居住地別,都内,多摩地域,南多摩,110,5.3
居住地別,都内,多摩地域,北多摩西部,182,8.7
居住地別,都内,多摩地域,北多摩南部,204,9.8
居住地別,都内,多摩地域,北多摩北部,80,3.8
居住地別,都内,島しょ,,3,0.1
居住地別,都外,,,224,10.7
居住地別,都外,埼玉県,,116,5.5
居住地別,都外,千葉県,,51,2.4
居住地別,都外,神奈川県,,39,1.9
居住地別,都外,その他,,18,0.9
居住地別,無回答,,,89,4.3
全体,,,,2092,100.0
家族形態別,単身,,,309,14.8
家族形態別,夫婦のみ,,,562,26.9
家族形態別,親子（親族の同居を含む）,,,1040,49.7
家族形態別,３世代（親族の同居を含む）,,,113,5.4
家族形態別,兄弟姉妹など親族世帯のみ,,,31,1.5
家族形態別,その他,,,37,1.8
