施設名称,所在地,緯度,経度,電話番号,施設概要,URL
両国シティコア,墨田区両国二丁目10番14号,35.693887,139.79269,03-5624-1151,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
スポーツクラブルネサンス両国,墨田区両国二丁目10番14号 両国シティコア4階,35.693879,139.792769,03-5600-5400,使用可能時間帯：午前10時～午後11時（土曜日は午後9時30分、日曜日は午後8時まで、月曜日・年末年始は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
財団法人東京都結核予防会,墨田区両国四丁目5番9号,35.692559,139.796028,03-3633-4053,使用可能時間帯：午前9時～午後5時（土・日曜日・祝日・年末年始は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
両国小学校,墨田区両国四丁目26番6号,35.69372,139.79519,03-3634-7876,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
両国交番,墨田区両国四丁目29番3号,35.694312,139.79595,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
東京東信用金庫ハロープラザ,墨田区両国四丁目31番16号,35.694804,139.796614,03-3633-5505,使用可能時間帯：午前9時～午後6時（土・日曜日・祝日は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
医療法人社団慶翔会　両国眼科クリニック,墨田区両国四丁目33番12号 グラン・アルブル両国1階,35.694964,139.795925,03-5600-6886,使用可能時間帯：クリニックの診療時間内,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
大和物産株式会社　両国LPガススタンド,墨田区千歳一丁目2番1号,35.689974,139.791629,,使用可能時間帯：午前6時～午後10時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
東京都水道局墨田営業所,墨田区千歳二丁目2番21号,35.690511,139.795697,,使用可能時間帯：午前8時30分～午後5時15分,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
墨東化成工業株式会社,墨田区千歳一丁目8番14号,35.691512,139.793252,03-3635-1126,使用可能時間帯：午前9時～午後5時30分（土・日曜日・祝日は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
緑小学校,墨田区緑二丁目12番12号,35.694026,139.801342,03-3634-6876,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
緑図書館,墨田区緑二丁目24番5号,35.695759,139.800608,03-3631-4621,使用可能時間帯：午前9時～午後8時（日・月曜日・祝日は午後5時まで、年末年始は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
みどりコミュニティセンター,墨田区緑三丁目7番3号,35.693615,139.803267,03-5608-5811,使用可能時間帯：午前9時～午後9時（第3月曜日、年末年始は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
本所消防署緑出張所,墨田区緑四丁目1番8号,35.69286,139.806827,03-3634-2656,使用可能時間帯：午前8時30分～午後5時（土・日曜日・祝日・年末年始は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
江東橋交番,墨田区緑四丁目22番13号,35.694948,139.80858,,使用可能時間帯：常時,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
すみだ障害者就労支援総合センター,墨田区緑四丁目25番4号,35.69556,139.807702,03-5600-2004,使用可能時間帯：午前8時30分～午後8時（日曜・祝日、年末年始、その他休館日を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
すみだふれあいセンター福祉作業所,墨田区緑四丁目35番6号,35.695803,139.807656,03-5600-2001,使用可能時間帯：午前9時～午後4時（月～金曜日、祝日･年末年始は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
