"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2019","総務費","195670","3.5","143218","2.6"
"2019","広域連合負担金","5105523","92.1","5225212","93.1"
"2019","保険給付費","84162","1.5","84162","1.5"
"2019","保健事業費","104584","1.9","104584","1.9"
"2019","諸支出金","4600","0.1","4600","0.1"
"2019","予備費","50000","0.9","50000","0.9"
"2019","歳出合計","5544539","100","5611776","100"
"2020","総務費","219878","3.8",,
"2020","広域連合負担金","5274654","91.9",,
"2020","保険給付費","84140","1.5",,
"2020","保健事業費","107555","1.9",,
"2020","諸支出金","3500","0.1",,
"2020","予備費","50000","0.9",,
"2020","歳出合計","5739727","100",,

"令和2年度港区行政資料集　後期高齢者医療会計歳出予算","Ver202003",,,,
