"年度[西暦]","款","予算現額[千円]","支出済額[千円]"
"2017","総務費",,"244803"
"2017","広域連合負担金",,"4811353"
"2017","保険給付費",,"65561"
"2017","保健事業費",,"98993"
"2017","諸支出金",,"3913"
"2017","予備費",,"0"
"2017","歳出合計",,"5224623"
"2018","総務費",,"160480"
"2018","広域連合負担金",,"4927605"
"2018","保険給付費",,"67734"
"2018","保健事業費",,"100501"
"2018","諸支出金",,"3273"
"2018","予備費",,"0"
"2018","歳出合計",,"5259595"
"2019","総務費","143218","129027"
"2019","広域連合負担金","5225212","5211656"
"2019","保険給付費","84162","71357"
"2019","保健事業費","104584","102545"
"2019","諸支出金","4600","4082"
"2019","予備費","50000","0"
"2019","歳出合計","5611776","5518667"
"2020","総務費","198243","190422"
"2020","広域連合負担金","5251945","5251556"
"2020","保険給付費","84140","74790"
"2020","保健事業費","107555","95064"
"2020","諸支出金","5427","5412"
"2020","予備費","49753","0"
"2020","歳出合計","5697063","5617245"
"2021","総務費","162344","136307"
"2021","広域連合負担金","5230236","5229140"
"2021","保険給付費","84163","73487"
"2021","保健事業費","112842","97166"
"2021","諸支出金","4925","4336"
"2021","予備費","49275","0"
"2021","歳出合計","5643785","5540434"

"令和4年度港区行政資料集　後期高齢者医療会計歳出決算","Ver202203",,
