区分,令和２年度当初予算額（億円）,令和元年度補正後予算額（億円）,令和元年度当初予算額（億円）,差引増減額等対元年度補正後（億円）,差引増減額等増減率（%）,差引増減額等対元年度当初（億円）,差引増減額等増減率（%）
都民税／個人,9620,9552,9516,68,0.7,104,1.1
都民税／法人,6641,9672,9369,[sanitize]3031,[sanitize]31.3,[sanitize]2728,[sanitize]29.1
都民税／利子割,70,73,74,[sanitize]3,[sanitize]4.1,[sanitize]4,[sanitize]5.2
事業税／個人,543,539,530,4,0.8,13,2.4
事業税／法人,11355,12047,11209,[sanitize]692,[sanitize]5.7,146,1.3
繰入地方消費税,6912,5265,5338,1647,31.3,1575,29.5
不動産取得税,803,816,873,[sanitize]12,[sanitize]1.5,[sanitize]70,[sanitize]8
都たばこ税,156,159,160,[sanitize]3,[sanitize]2.1,[sanitize]4,[sanitize]2.7
ゴルフ場利用税,6,6,6,0,[sanitize]0.9,0,0.8
自動車取得税,[sanitize],93,84,[sanitize]93,皆減,[sanitize]84,皆減
軽油引取税,392,393,402,[sanitize]1,[sanitize]0.2,[sanitize]11,[sanitize]2.6
自動車税／自動車税,[sanitize],1026,1028,[sanitize]1026,皆減,[sanitize]1028,皆減
自動車税／環境性能割,119,49,45,70,144.1,74,163.4
自動車税／種別割,1016,9,9,1007,著増,1007,著増
鉱区税,0,0,0,[sanitize],0,[sanitize],0
固定資産税,13126,12863,12772,262,2,354,2.8
特別土地保有税,0,0,0,0,0,0,0
狩猟税,0,0,0,[sanitize],0,0,5.1
事業所税,1120,1104,1098,16,1.5,23,2.1
都市計画税,2544,2489,2490,55,2.2,55,2.2
宿泊税,22,28,28,[sanitize]6,[sanitize]21.4,[sanitize]6,[sanitize]21.3
旧法による税,0,0,0,0,著増,0,著増
計,54446,56183,55032,[sanitize]1737,[sanitize]3.1,[sanitize]585,[sanitize]1.1
法人二税,17996,21719,20578,[sanitize]3723,[sanitize]17.1,[sanitize]2582,[sanitize]12.5
固定・都市計,15670,15353,15262,318,2.1,408,2.7
