投票区番号,投票区名,場所名,場所名(英語),都道府県名,市区町村名,行政区名,住所,住所(かな),電話番号,緯度,経度,説明(日本語),説明(英語),標準地域コード
1,第1投票区,御殿山小学校,"",東京都,品川区,"",東京都品川区北品川5-2-6,とうきょうとしながわくきたしながわ５－２－６,"",35.623133,139.731772,"","",http://statdb.nstac.go.jp/lod/sac/C13109
2,第2投票区,品川学園,"",東京都,品川区,"",東京都品川区北品川3-9-30,とうきょうとしながわくきたしながわ３－９－３０,"",35.61805,139.737983,"","",http://statdb.nstac.go.jp/lod/sac/C13109
3,第3投票区,台場小学校,"",東京都,品川区,"",東京都品川区東品川1-8-30,とうきょうとしながわくひがししながわ１－８－３０,"",35.621383,139.743185,"","",http://statdb.nstac.go.jp/lod/sac/C13109
4,第4投票区,城南第二小学校,"",東京都,品川区,"",東京都品川区東品川3-4-5,とうきょうとしながわくひがししながわ３－４－５,"",35.615579,139.74599,"","",http://statdb.nstac.go.jp/lod/sac/C13109
5,第5投票区,城南小学校,"",東京都,品川区,"",東京都品川区南品川2-8-21,とうきょうとしながわくみなみしながわ２－８－２１,"",35.613329,139.742746,"","",http://statdb.nstac.go.jp/lod/sac/C13109
6,第6投票区,都立品川特別支援学校,"",東京都,品川区,"",東京都品川区南品川6-15-20,とうきょうとしながわくみなみしながわ６－１５－２０,"",35.609696,139.738139,"","",http://statdb.nstac.go.jp/lod/sac/C13109
7,第7投票区,三木小学校,"",東京都,品川区,"",東京都品川区西品川3-16-28,とうきょうとしながわくにししながわ３－１６－２８,"",35.615528,139.726856,"","",http://statdb.nstac.go.jp/lod/sac/C13109
8,第8投票区,芳水小学校,"",東京都,品川区,"",東京都品川区大崎3-12-22,とうきょうとしながわくおおさき３－１２－２２,"",35.619255,139.724717,"","",http://statdb.nstac.go.jp/lod/sac/C13109
9,第9投票区,日野学園,"",東京都,品川区,"",東京都品川区東五反田2-11-1,とうきょうとしながわくひがしごたんだ２－１１－１,"",35.624505,139.728169,"","",http://statdb.nstac.go.jp/lod/sac/C13109
10,第10投票区,第三日野小学校,"",東京都,品川区,"",東京都品川区上大崎1-19-19,とうきょうとしながわくかみおおさき１－１９－１９,"",35.63279,139.723928,"","",http://statdb.nstac.go.jp/lod/sac/C13109
11,第11投票区,第一日野小学校,"",東京都,品川区,"",東京都品川区西五反田6-5-32,とうきょうとしながわくにしごたんだ６－５－３２,"",35.622169,139.716098,"","",http://statdb.nstac.go.jp/lod/sac/C13109
12,第12投票区,第四日野小学校,"",東京都,品川区,"",東京都品川区西五反田4-29-9,とうきょうとしながわくにしごたんだ４－２９－９,"",35.625804,139.712343,"","",http://statdb.nstac.go.jp/lod/sac/C13109
13,第13投票区,シティコート目黒,"",東京都,品川区,"",東京都品川区上大崎2-10-34,とうきょうとしながわくかみおおさき２－１０－３４,"",35.6358,139.717125,"","",http://statdb.nstac.go.jp/lod/sac/C13109
14,第14投票区,立会小学校,"",東京都,品川区,"",東京都品川区東大井4-15-9,とうきょうとしながわくひがしおおい４－１５－９,"",35.604469,139.740191,"","",http://statdb.nstac.go.jp/lod/sac/C13109
15,第15投票区,鮫浜小学校,"",東京都,品川区,"",東京都品川区東大井2-10-14,とうきょうとしながわくひがしおおい２－１０－１４,"",35.601716,139.740669,"","",http://statdb.nstac.go.jp/lod/sac/C13109
16,第16投票区,浜川小学校,"",東京都,品川区,"",東京都品川区南大井4-3-27,とうきょうとしながわくみなみおおい４－３－２７,"",35.598268,139.735864,"","",http://statdb.nstac.go.jp/lod/sac/C13109
17,第17投票区,鈴ヶ森小学校,"",東京都,品川区,"",東京都品川区南大井4-16-2,とうきょうとしながわくみなみおおい４－１６－２,"",35.594478,139.735242,"","",http://statdb.nstac.go.jp/lod/sac/C13109
18,第18投票区,山中小学校,"",東京都,品川区,"",東京都品川区大井3-7-19,とうきょうとしながわくおおい３－７－１９,"",35.602788,139.729925,"","",http://statdb.nstac.go.jp/lod/sac/C13109
19,第19投票区,大井第一小学校,"",東京都,品川区,"",東京都品川区大井6-1-32,とうきょうとしながわくおおい６－１－３２,"",35.598722,139.731187,"","",http://statdb.nstac.go.jp/lod/sac/C13109
20,第20投票区,伊藤学園,"",東京都,品川区,"",東京都品川区大井5-1-37,とうきょうとしながわくおおい５－１－３７,"",35.600152,139.726095,"","",http://statdb.nstac.go.jp/lod/sac/C13109
21,第21投票区,ウェルカムセンター原,"",東京都,品川区,"",東京都品川区西大井2-5-21,とうきょうとしながわくにしおおい２－５－２１,"",35.599255,139.721865,"","",http://statdb.nstac.go.jp/lod/sac/C13109
22,第22投票区,伊藤小学校,"",東京都,品川区,"",東京都品川区西大井5-6-8,とうきょうとしながわくにしおおい５－６－８,"",35.598755,139.717279,"","",http://statdb.nstac.go.jp/lod/sac/C13109
23,第23投票区,小山台小学校,"",東京都,品川区,"",東京都品川区小山台1-18-24,とうきょうとしながわくこやまだい１－１８－２４,"",35.622793,139.703471,"","",http://statdb.nstac.go.jp/lod/sac/C13109
24,第24投票区,後地小学校,"",東京都,品川区,"",東京都品川区小山2-4-6,とうきょうとしながわくこやま２－４－６,"",35.621568,139.708571,"","",http://statdb.nstac.go.jp/lod/sac/C13109
