名称,名称(英語),カテゴリ,カテゴリ補足,ジャンル,ジャンル,ジャンル,ジャンル,季節,場所,郵便番号,都道府県名,市区町村名,行政区名,住所,住所(かな),緯度,経度,説明(日本語),説明(英語),電話番号,FAX番号,営業時間,開所時刻,閉所時刻,定休日,利用料金,画像URL,画像URL,画像URL,サムネイル画像URL,ホームページアドレス,創設日,創設者,所在地（基本、名称と同じもの）,名称(中国語簡体字),説明(中国語簡体字),名称(中国語繁体字),説明(中国語繁体字),名称(韓国語),説明(韓国語),名称(ポルトガル語),説明(ポルトガル語),標準地域コード
稲荷堂,"",百景,鎮守の森と祭り,観る,"","","","","",1410001,東京都,品川区,"",北品川1-14-6,"",35.6248135,139.7431679,品川区の北東に位置する豊川稲荷の稲荷堂。大東京市誕生の昭和7年、当時の八ツ山埋立地に旧品川区の鬼門（丑寅）除けとして創建されたという。,"","","","","","","","","","","","","","","",稲荷堂,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
旧東海道のにぎわい,"",百景,古い顔・新しい顔,観る,"","","","","",1410001,東京都,品川区,"",北品川1-30-9,"",35.6201219,139.7425699,"東海道五十三次・第一番目の宿場、品川宿。慶応2年（1866）の記録では1,678軒の家数、7,554人が住んでいたという記録が残る。現在の旧東海道は往時の幅員を残す。 ","","","","","","","","","","","","","","","",旧東海道のにぎわい,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
品川浦と船だまり,"",百景,古い顔・新しい顔,観る,"","","","","",1400002,東京都,品川区,"",東品川1-7,"",35.6216083,139.7418514,かつて魚介類の豊富な水揚げを誇り、海苔の主要な産地でもあった品川浦。現在ではつり船や屋形船が舳先(へさき)を並べ、背景のビル群との対比が興味をそそる。  ,"","","","","","","","","","","","","","","",品川浦と船だまり,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
虚空蔵尊（養願寺）の縁日,"",百景,鎮守と森と祭り,観る,"","","","","",1410001,東京都,品川区,"",北品川2-3-12,"",35.6191503,139.7424293,虚空蔵菩薩を本尊とする養願寺。子どもが13歳になったときにお参りするという虚空蔵信仰から、13日にお参りをする人が多い。,"","","","","","","","","","","","","","","",虚空蔵尊（養願寺）の縁日,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
聖蹟公園（本陣跡）,"",百景,歴史の足跡、文化といこい,観る,"","","","","",1410001,東京都,品川区,"",北品川2-7-21,"",35.6188087,139.7439431,大名や勅使が休息・宿泊する旅宿を本陣といった。明治元年、明治天皇行幸の際の行在所にもなったこの地は、「東海道品川宿本陣跡」として歴史を重んじた公園となっている。 ,"","","","","","","","","","","","","","","",聖蹟公園（本陣跡）,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
鎮守橋から新緑の荏原神社を望む,"",百景,鎮守と森と祭り,観る,"","","","","",1410001,東京都,品川区,"",北品川2-30-28,"",35.6171117,139.7438265,南品川の鎮守として親しまれている荏原神社。河川改修前、昭和初期までは目黒川は神社の北側を流れていた。目黒川にかかる鎮守橋から望む荏原神社は緑の木立の中にある。 ,"","","","","","","","",http://www.city.shinagawa.tokyo.jp/ct/image000040500/chinju.jpg,"","","","","","",鎮守橋から新緑の荏原神社を望む,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
荏原神社の天王祭<6月>,"",百景,歴史の足跡、鎮守と森と祭り,観る,"","","","","",1410001,東京都,品川区,"",北品川2-30-28,"",35.6171117,139.7438265,荏原神社の三大祭りの一つ。豊漁と豊作を祈る「神輿の海中渡御」が行われることから「かっぱ祭り」とも呼ばれる。今はお台場海浜公園周辺で行われている。,"","","","","","","","","","","","","","","",荏原神社の天王祭<6月>,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
品川神社,"",百景,歴史の足跡、鎮守と森と祭り,観る,"","","","","",1410001,東京都,品川区,"",北品川3-7-15,"",35.6184352,139.739616,北品川の鎮守で「北の天王様」として親しまれている。神社には石造灯篭、石造鳥居、水盤、富士塚等の建造物や徳川家光寄進と伝えられる神輿等、文化財が多くある。,"","","","","","","","",http://www.city.shinagawa.tokyo.jp/ct/image000001400/01_08_hyakkei.jpg,"","","","","","",品川神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
品川神社の例大祭<6月>,"",百景,鎮守の森と祭り,観る,"","","","","",1410001,東京都,品川区,"",北品川3-7-15,"",35.6184352,139.739616,毎年6月上旬に行われる品川神社の例大祭は「北の天王祭」。千貫神輿と呼ばれる大神輿をかつぎ、「品川拍子」の独特なテンポに合せて各町内を練り歩く様子は勇壮なもの。,"","","","","","","","","","","","","","","",品川神社の例大祭<6月>,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
品川神社の太太神楽,"",百景,歴史の足跡、鎮守と森と祭り,観る,"","","","","",1410001,東京都,品川区,"",北品川3-7-15,"",35.6184352,139.739616,東京都の無形文化財に指定されている「太太神楽」。五穀豊饒、悪疫退散、無病息災等を祈願して舞い、現在、年4回、氏子保存会によって神社に奉納されている。,"","","","","","","","","","","","","","","",品川神社の太太神楽,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C13109
