地域階層,地域コード,地域,男女計（人）,男／計（人）,男／1～29日（人）,男／30～59（人）,男／60～99（人）,男／100～149（人）,男／150～199（人）,男／200～249（人）,男／250日以上（人）,女／計（人）,女／1～29日（人）,女／30～59（人）,女／60～99（人）,女／100～149（人）,女／150～199（人）,女／200～249（人）,女／250日以上（人）
0,13000,総数,6008,5412,187,250,373,501,601,978,2522,596,46,55,67,102,70,107,149
1,13100,区部,977,877,33,46,47,76,97,178,400,100,11,10,5,13,11,23,27
4,13101,千代田区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13102,中央区,25,18,1,4,1,1,-,6,5,7,-,4,-,-,-,-,3
4,13103,港区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13104,新宿区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13109,品川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,8,7,-,-,1,1,-,3,2,1,-,-,1,-,-,-,-
4,13111,大田区,6,6,-,-,-,-,1,1,4,-,-,-,-,-,-,-,-
4,13112,世田谷区,215,190,7,5,4,14,21,38,101,25,-,2,2,5,3,7,6
4,13113,渋谷区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13114,中野区,9,8,2,1,-,2,1,1,1,1,1,-,-,-,-,-,-
4,13115,杉並区,79,67,6,4,5,4,13,8,27,12,4,-,-,1,3,3,1
4,13116,豊島区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13117,北区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13118,荒川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13119,板橋区,31,29,3,1,2,6,3,5,9,2,-,-,-,1,-,-,1
4,13120,練馬区,307,278,6,16,11,27,31,62,125,29,-,2,1,4,3,8,11
4,13121,足立区,84,77,2,1,4,4,8,16,42,7,-,-,1,1,-,3,2
4,13122,葛飾区,74,70,-,5,8,5,7,14,31,4,-,-,-,-,1,1,2
4,13123,江戸川区,115,109,3,4,9,12,12,17,52,6,2,-,-,1,1,1,1
1,13200,市部,4184,3798,122,149,271,345,392,719,1800,386,31,31,53,68,44,74,85
4,13201,八王子市,392,372,17,23,23,31,38,51,189,20,2,1,3,6,2,2,4
4,13202,立川市,279,253,9,9,16,20,26,43,130,26,1,4,3,2,2,5,9
4,13203,武蔵野市,60,57,4,-,3,4,7,20,19,3,-,-,1,-,1,-,1
4,13204,三鷹市,223,194,13,11,7,15,17,32,99,29,12,3,2,3,3,2,4
4,13205,青梅市,192,178,9,16,16,26,21,22,68,14,-,4,1,4,2,2,1
4,13206,府中市,173,144,1,4,7,13,21,26,72,29,3,1,4,5,5,6,5
4,13207,昭島市,64,60,-,3,2,6,4,14,31,4,1,-,-,1,1,-,1
4,13208,調布市,150,146,2,2,6,13,14,30,79,4,-,-,1,-,-,1,2
4,13209,町田市,435,385,13,16,43,44,37,84,148,50,2,3,5,4,6,21,9
4,13210,小金井市,114,93,1,5,7,8,7,19,46,21,1,1,2,5,3,3,6
4,13211,小平市,214,189,6,4,6,20,28,36,89,25,1,1,1,7,3,4,8
4,13212,日野市,145,133,5,2,8,14,17,21,66,12,1,3,1,2,1,2,2
4,13213,東村山市,179,157,3,5,12,19,16,28,74,22,2,-,4,3,1,3,9
4,13214,国分寺市,170,153,1,4,5,10,12,35,86,17,1,2,4,4,2,2,2
4,13215,国立市,48,46,1,-,5,5,4,8,23,2,1,-,1,-,-,-,-
4,13218,福生市,14,14,-,1,2,-,3,3,5,-,-,-,-,-,-,-,-
4,13219,狛江市,61,53,-,2,4,2,4,11,30,8,2,-,2,1,-,2,1
4,13220,東大和市,92,82,1,3,7,10,9,14,38,10,-,2,2,3,-,1,2
4,13221,清瀬市,168,161,6,3,5,5,6,37,99,7,-,-,2,1,2,1,1
4,13222,東久留米市,194,182,1,7,19,11,19,30,95,12,-,-,2,3,-,3,4
4,13223,武蔵村山市,165,148,4,7,15,20,20,39,43,17,-,2,3,5,1,5,1
4,13224,多摩市,40,36,3,1,-,4,8,3,17,4,-,-,-,-,1,-,3
4,13225,稲城市,173,164,3,1,15,9,15,35,86,9,-,-,1,4,3,1,-
4,13227,羽村市,60,56,2,1,6,6,7,10,24,4,-,-,-,1,-,1,2
4,13228,あきる野市,194,182,13,12,25,12,21,26,73,12,1,1,4,1,1,1,3
4,13229,西東京市,185,160,4,7,7,18,11,42,71,25,-,3,4,3,4,6,5
1,13550,町村部,847,737,32,55,55,80,112,81,322,110,4,14,9,21,15,10,37
2,13300,西多摩郡,215,203,8,19,21,22,33,24,76,12,-,1,1,4,2,2,2
4,13303,瑞穂町,138,129,4,10,10,14,25,12,54,9,-,1,-,2,2,2,2
4,13305,日の出町,67,64,1,8,9,8,7,12,19,3,-,-,1,2,-,-,-
4,13307,檜原村,7,7,2,-,2,-,1,-,2,-,-,-,-,-,-,-,-
4,13308,奥多摩町,3,3,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-
2,13350,島部,632,534,24,36,34,58,79,57,246,98,4,13,8,17,13,8,35
3,13360,大島支庁,171,141,5,10,8,14,26,13,65,30,2,-,1,7,5,5,10
4,13361,大島町,107,93,2,6,4,7,18,11,45,14,1,-,-,5,2,3,3
4,13362,利島村,36,30,1,1,4,6,6,-,12,6,1,-,-,1,1,-,3
4,13363,新島村,8,8,1,1,-,1,-,2,3,-,-,-,-,-,-,-,-
4,13364,神津島村,20,10,1,2,-,-,2,-,5,10,-,-,1,1,2,2,4
3,13380,三宅支庁,65,53,10,3,8,7,7,6,12,12,-,2,1,4,1,-,4
4,13381,三宅村,51,41,4,1,7,4,7,6,12,10,-,1,1,3,1,-,4
4,13382,御蔵島村,14,12,6,2,1,3,-,-,-,2,-,1,-,1,-,-,-
3,13400,八丈支庁,354,304,9,18,16,34,42,34,151,50,1,10,6,6,5,2,20
4,13401,八丈町,348,299,9,17,16,33,41,34,149,49,1,9,6,6,5,2,20
4,13402,青ケ島村,6,5,-,1,-,1,1,-,2,1,-,1,-,-,-,-,-
3,13420,小笠原支庁,42,36,-,5,2,3,4,4,18,6,1,1,-,-,2,1,1
4,13421,小笠原村,42,36,-,5,2,3,4,4,18,6,1,1,-,-,2,1,1
,,,,,,,,,,,,,,,,,,,
2015年農林業センサス,,,,,,,,,,,,,,,,,,,
第40表　区市町村別経営者・役員等の農業経営従事状況,,,,,,,,,,,,,,,,,,,
地域階層（0：東京都総数　1：区部・市部・町村部　2：西多摩郡・島部　3：支庁　4：区市町村）,,,,,,,,,,,,,,,,,,,
