主副業階層,主副業,販売のあった農家数（戸）,稲作（戸）,麦類作（戸）,雑穀・いも類・豆類（戸）,工芸農作物（戸）,露地野菜（戸）,施設野菜（戸）,果樹類（戸）,花き・花木（戸）,その他の作物（戸）,酪農（戸）,肉用牛（戸）,養豚（戸）,養鶏（戸）,養蚕（戸）,その他の畜産（戸）
0,総数,5028,86,6,139,86,2591,322,774,823,112,48,10,8,17,2,4
1,主業農家,1869,20,1,32,22,997,148,214,323,53,37,4,7,8,2,1
2,うち65歳未満の農業専従者がいる,1707,14,1,26,17,916,144,180,304,47,36,4,7,8,2,1
1,準主業農家,1511,33,3,38,25,783,110,279,196,28,7,3,-,5,-,1
2,うち65歳未満の農業専従者がいる,1074,17,1,16,11,590,98,168,140,17,7,3,-,5,-,1
1,副業的農家,1648,33,2,69,39,811,64,281,304,31,4,3,1,4,-,2
,,,,,,,,,,,,,,,,,
2015年農林業センサス,,,,,,,,,,,,,,,,,
第30表　主副業、農産物販売金額１位の部門別農家数（販売農家）,,,,,,,,,,,,,,,,,
主副業階層（0：総数　1：主副業別　2：うち65歳未満の農業専従者がいる）,,,,,,,,,,,,,,,,,
