地域階層,地域コード,地域,計（a）,販売農家（a）,自給的農家（a）,土地持ち非農家（a）
0,13000,総数,95580,15940,25553,54087
1,13100,区部,4797,517,325,3955
4,13101,千代田区,-,-,-,-
4,13102,中央区,Ｘ,-,Ｘ,80
4,13103,港区,Ｘ,Ｘ,-,-
4,13104,新宿区,Ｘ,-,Ｘ,80
4,13105,文京区,Ｘ,-,Ｘ,150
4,13106,台東区,-,-,-,-
4,13107,墨田区,Ｘ,-,Ｘ,-
4,13108,江東区,Ｘ,-,Ｘ,315
4,13109,品川区,106,-,-,106
4,13110,目黒区,12,-,-,12
4,13111,大田区,105,-,-,105
4,13112,世田谷区,489,9,40,440
4,13113,渋谷区,Ｘ,-,Ｘ,-
4,13114,中野区,Ｘ,Ｘ,8,364
4,13115,杉並区,593,18,36,539
4,13116,豊島区,38,-,-,38
4,13117,北区,30,-,-,30
4,13118,荒川区,-,-,-,-
4,13119,板橋区,60,-,28,32
4,13120,練馬区,528,14,-,514
4,13121,足立区,548,166,135,247
4,13122,葛飾区,359,56,41,262
4,13123,江戸川区,927,254,32,641
1,13200,市部,35589,5544,8876,21169
4,13201,八王子市,7023,1060,2552,3411
4,13202,立川市,472,225,85,162
4,13203,武蔵野市,54,54,-,-
4,13204,三鷹市,336,159,7,170
4,13205,青梅市,3564,309,1509,1746
4,13206,府中市,370,43,118,209
4,13207,昭島市,187,40,37,110
4,13208,調布市,446,59,69,318
4,13209,町田市,5023,1267,1625,2131
4,13210,小金井市,63,20,10,33
4,13211,小平市,387,71,30,286
4,13212,日野市,496,80,110,306
4,13213,東村山市,145,40,30,75
4,13214,国分寺市,37,25,-,12
4,13215,国立市,206,30,83,93
4,13218,福生市,145,12,-,133
4,13219,狛江市,122,103,19,-
4,13220,東大和市,215,53,44,118
4,13221,清瀬市,3080,685,295,2100
4,13222,東久留米市,485,184,92,209
4,13223,武蔵村山市,856,231,82,543
4,13224,多摩市,142,-,47,95
4,13225,稲城市,348,66,22,260
4,13227,羽村市,5318,30,-,5288
4,13228,あきる野市,5824,698,2001,3125
4,13229,西東京市,245,-,9,236
1,13550,町村部,55194,9879,16352,28963
2,13300,西多摩郡,11093,471,5325,5297
4,13303,瑞穂町,2593,292,1294,1007
4,13305,日の出町,3751,128,2118,1505
4,13307,檜原村,3300,51,1584,1665
4,13308,奥多摩町,1449,-,329,1120
2,13350,島部,44101,9408,11027,23666
3,13360,大島支庁,Ｘ,3779,Ｘ,20486
4,13361,大島町,12146,1579,2706,7861
4,13362,利島村,Ｘ,1994,Ｘ,323
4,13363,新島村,9589,36,3407,6146
4,13364,神津島村,6889,170,563,6156
3,13380,三宅支庁,7045,2133,2979,1933
4,13381,三宅村,5649,1416,2379,1854
4,13382,御蔵島村,1396,717,600,79
3,13400,八丈支庁,Ｘ,2656,Ｘ,860
4,13401,八丈町,3836,2654,512,670
4,13402,青ケ島村,Ｘ,2,Ｘ,190
3,13420,小笠原支庁,2037,840,810,387
4,13421,小笠原村,2037,840,810,387
,,,,,,
2015年農林業センサス,,,,,,
第43表　区市町村別耕作放棄地面積（総農家数等）,,,,,,
注　1）　耕作放棄地とは、以前耕作していた土地で、過去1年以上作物を作付け（栽培）せず、この数年の間に再び作付け（栽培）する意思のない土地をいう。,,,,,,
注　2）　土地持ち非農家とは、農家以外で耕地及び耕作放棄地を5a以上所有している世帯,,,,,,
地域階層（0：東京都総数　1：区部・市部・町村部　2：西多摩郡・島部　3：支庁　4：区市町村）,,,,,,
