地域階層,地域コード,地域,男の経営主／経営方針の決定参画者がいる（戸）,男の経営主／経営方針の決定参画者がいる／男女の経営方針決定参画者がいる（戸）,男の経営主／経営方針の決定参画者がいる／男の経営方針決定参画者だけ（戸）,男の経営主／経営方針の決定参画者がいる／女の経営方針決定参画者だけ（戸）,男の経営主／いない（戸）,女の経営主／経営方針の決定参画者がいる（戸）,女の経営主／経営方針の決定参画者がいる／男女の経営方針決定参画者がいる（戸）,女の経営主／経営方針の決定参画者がいる／男の経営方針決定参画者だけ（戸）,女の経営主／経営方針の決定参画者がいる／女の経営方針決定参画者だけ（戸）,女の経営主／いない（戸）
0,13000,東京都総数,2554,485,461,1608,2573,252,58,151,43,244
1,13100,区部,409,97,80,232,365,45,8,27,10,30
4,13101,千代田区,-,-,-,-,-,-,-,-,-,-
4,13102,中央区,-,-,-,-,-,-,-,-,-,-
4,13103,港区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13104,新宿区,-,-,-,-,-,-,-,-,-,-
4,13105,文京区,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,-,-,-,-,-,-,-,-,-,-
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,-,-,-,-,-,-,-,-,-,-
4,13109,品川区,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,6,3,-,3,-,1,1,-,-,-
4,13111,大田区,6,1,1,4,1,-,-,-,-,-
4,13112,世田谷区,88,17,17,54,79,11,3,4,4,11
4,13113,渋谷区,-,-,-,-,-,-,-,-,-,-
4,13114,中野区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13115,杉並区,26,6,7,13,26,5,2,2,1,2
4,13116,豊島区,-,-,-,-,-,-,-,-,-,-
4,13117,北区,-,-,-,-,-,-,-,-,-,-
4,13118,荒川区,-,-,-,-,-,-,-,-,-,-
4,13119,板橋区,10,2,4,4,15,2,-,2,-,-
4,13120,練馬区,123,27,23,73,141,13,2,8,3,12
4,13121,足立区,54,17,8,29,19,5,-,5,-,2
4,13122,葛飾区,39,10,7,22,32,3,-,2,1,1
4,13123,江戸川区,54,14,12,28,49,5,-,4,1,2
1,13200,市部,1883,370,362,1151,1808,183,50,107,26,152
4,13201,八王子市,173,23,26,124,199,8,3,5,-,12
4,13202,立川市,132,27,32,73,112,12,3,9,-,13
4,13203,武蔵野市,38,5,5,28,20,2,1,1,-,1
4,13204,三鷹市,103,13,24,66,84,9,5,4,-,8
4,13205,青梅市,61,5,8,48,115,7,1,6,-,8
4,13206,府中市,92,25,10,57,52,14,3,10,1,4
4,13207,昭島市,28,6,4,18,30,3,-,3,-,2
4,13208,調布市,71,20,17,34,77,3,-,2,1,2
4,13209,町田市,140,31,29,80,200,8,4,4,-,26
4,13210,小金井市,40,6,10,24,40,8,2,4,2,5
4,13211,小平市,98,14,21,63,90,15,4,10,1,12
4,13212,日野市,58,8,10,40,76,11,2,6,3,5
4,13213,東村山市,74,18,18,38,85,11,4,7,-,7
4,13214,国分寺市,81,10,21,50,64,6,1,2,3,7
4,13215,国立市,25,6,8,11,25,3,-,2,1,1
4,13218,福生市,8,-,4,4,9,-,-,-,-,-
4,13219,狛江市,27,5,10,12,26,7,4,3,-,3
4,13220,東大和市,35,10,7,18,41,3,1,1,1,8
4,13221,清瀬市,107,26,15,66,60,5,2,2,1,2
4,13222,東久留米市,106,24,17,65,69,8,2,3,3,3
4,13223,武蔵村山市,77,22,13,42,72,11,2,8,1,7
4,13224,多摩市,13,4,3,6,10,-,-,-,-,-
4,13225,稲城市,95,24,12,59,71,5,-,2,3,4
4,13227,羽村市,28,5,6,17,27,2,-,1,1,1
4,13228,あきる野市,79,12,11,56,104,8,1,5,2,6
4,13229,西東京市,94,21,21,52,50,14,5,7,2,5
1,13550,町村部,262,18,19,225,400,24,-,17,7,62
2,13300,西多摩郡,73,9,11,53,125,6,-,5,1,6
4,13303,瑞穂町,49,4,8,37,83,5,-,4,1,4
4,13305,日の出町,22,4,2,16,35,1,-,1,-,2
4,13307,檜原村,-,-,-,-,6,-,-,-,-,-
4,13308,奥多摩町,2,1,1,-,1,-,-,-,-,-
2,13350,島部,189,9,8,172,275,18,-,12,6,56
3,13360,大島支庁,54,2,1,51,59,3,-,1,2,17
4,13361,大島町,20,1,-,19,45,-,-,-,-,5
4,13362,利島村,26,1,1,24,6,3,-,1,2,3
4,13363,新島村,3,-,-,3,3,-,-,-,-,-
4,13364,神津島村,5,-,-,5,5,-,-,-,-,9
3,13380,三宅支庁,20,2,1,17,30,2,-,1,1,9
4,13381,三宅村,20,2,1,17,18,2,-,1,1,7
4,13382,御蔵島村,-,-,-,-,12,-,-,-,-,2
3,13400,八丈支庁,96,5,5,86,176,13,-,10,3,28
4,13401,八丈町,95,5,5,85,172,12,-,9,3,28
4,13402,青ケ島村,1,-,-,1,4,1,-,1,-,-
3,13420,小笠原支庁,19,-,1,18,10,-,-,-,-,2
4,13421,小笠原村,19,-,1,18,10,-,-,-,-,2
,,,,,,,,,,,,
2015年農林業センサス,,,,,,,,,,,,
第24表　区市町村、経営方針の決定参画者（経営主を除く。）の有無別農家数（販売農家）,,,,,,,,,,,,
注）表名に「（販売農家）」を追加する修正を行いました（2019年4月4日）,,,,,,,,,,,,
地域階層（0：東京都総数　1：区部・市部・町村部　2：西多摩郡・島部　3：支庁　4：区市町村）,,,,,,,,,,,,
