地域階層,地域コード,地域,総農家数（戸）,総農家数／販売農家数（戸）,総農家数／自給的農家数（戸）,土地持ち非農家数（戸）
0,13000,総数,11222,5623,5599,3983
1,13100,区部,1455,849,606,462
4,13101,千代田区,-,-,-,-
4,13102,中央区,2,-,2,3
4,13103,港区,1,1,-,-
4,13104,新宿区,1,-,1,3
4,13105,文京区,1,-,1,1
4,13106,台東区,-,-,-,2
4,13107,墨田区,1,-,1,-
4,13108,江東区,2,-,2,8
4,13109,品川区,-,-,-,5
4,13110,目黒区,12,7,5,6
4,13111,大田区,10,7,3,11
4,13112,世田谷区,342,189,153,54
4,13113,渋谷区,1,-,1,-
4,13114,中野区,17,5,12,12
4,13115,杉並区,108,59,49,48
4,13116,豊島区,-,-,-,4
4,13117,北区,-,-,-,4
4,13118,荒川区,-,-,-,1
4,13119,板橋区,65,27,38,66
4,13120,練馬区,432,289,143,47
4,13121,足立区,173,80,93,80
4,13122,葛飾区,117,75,42,51
4,13123,江戸川区,170,110,60,56
1,13200,市部,8018,4026,3992,2319
4,13201,八王子市,1197,392,805,443
4,13202,立川市,341,269,72,19
4,13203,武蔵野市,68,61,7,10
4,13204,三鷹市,265,204,61,19
4,13205,青梅市,697,191,506,322
4,13206,府中市,326,162,164,75
4,13207,昭島市,142,63,79,43
4,13208,調布市,231,153,78,39
4,13209,町田市,849,374,475,283
4,13210,小金井市,149,93,56,12
4,13211,小平市,312,215,97,32
4,13212,日野市,301,150,151,82
4,13213,東村山市,284,177,107,28
4,13214,国分寺市,205,158,47,15
4,13215,国立市,109,54,55,26
4,13218,福生市,45,17,28,23
4,13219,狛江市,118,63,55,13
4,13220,東大和市,170,87,83,59
4,13221,清瀬市,225,174,51,80
4,13222,東久留米市,274,186,88,37
4,13223,武蔵村山市,327,167,160,119
4,13224,多摩市,83,23,60,29
4,13225,稲城市,251,175,76,40
4,13227,羽村市,104,58,46,35
4,13228,あきる野市,711,197,514,406
4,13229,西東京市,234,163,71,30
1,13550,町村部,1749,748,1001,1202
2,13300,西多摩郡,858,210,648,607
4,13303,瑞穂町,399,141,258,130
4,13305,日の出町,239,60,179,184
4,13307,檜原村,161,6,155,150
4,13308,奥多摩町,59,3,56,143
2,13350,島部,891,538,353,595
3,13360,大島支庁,333,133,200,491
4,13361,大島町,143,70,73,145
4,13362,利島村,39,38,1,4
4,13363,新島村,110,6,104,189
4,13364,神津島村,41,19,22,153
3,13380,三宅支庁,125,61,64,54
4,13381,三宅村,102,47,55,52
4,13382,御蔵島村,23,14,9,2
3,13400,八丈支庁,379,313,66,42
4,13401,八丈町,370,307,63,40
4,13402,青ケ島村,9,6,3,2
3,13420,小笠原支庁,54,31,23,8
4,13421,小笠原村,54,31,23,8
,,,,,,
2015年農林業センサス,,,,,,
第42表　区市町村別総農家数及び土地持ち非農家数（総農家数等）,,,,,,
地域階層（0：東京都総数　1：区部・市部・町村部　2：西多摩郡・島部　3：支庁　4：区市町村）,,,,,,
