主副業階層,主副業,総数（戸）,販売なし（戸）,50万円未満（戸）,50～100万円未満（戸）,100～200万円未満（戸）,200～300万円未満（戸）,300～500万円未満（戸）,500～700万円未満（戸）,700～1000万円未満（戸）,1000～1500万円未満（戸）,1500～2000万円未満（戸）,2000～3000万円未満（戸）,3000～5000万円未満（戸）,5000～1億円未満（戸）,1～3億円未満（戸）,3～5億円未満（戸）,5億円以上（戸）
0,総数,5623,595,1099,952,958,609,595,312,218,151,46,50,31,7,-,-,-
1,主業農家,1871,2,175,230,320,250,310,200,159,117,34,40,28,6,-,-,-
2,うち65歳未満の農業専従者がいる,1708,1,118,194,286,234,303,194,157,113,34,40,28,6,-,-,-
1,準主業農家,1512,1,386,309,315,194,164,68,33,28,7,6,1,-,-,-,-
2,うち65歳未満の農業専従者がいる,1075,1,173,204,243,164,155,64,32,26,7,5,1,-,-,-,-
1,副業的農家,2240,592,538,413,323,165,121,44,26,6,5,4,2,1,-,-,-
,,,,,,,,,,,,,,,,,,
2015年農林業センサス,,,,,,,,,,,,,,,,,,
第29表　主副業、農産物販売金額規模別農家数（販売農家）,,,,,,,,,,,,,,,,,,
主副業階層（0：総数　1：主副業別　2：うち65歳未満の農業専従者がいる）,,,,,,,,,,,,,,,,,,
