地域階層,地域コード,地域,総数／計（人）,総数／男（人）,総数／女（人）,15～19歳／計（人）,15～19歳／男（人）,15～19歳／女（人）,20～24歳／計（人）,20～24歳／男（人）,20～24歳／女（人）,25～29歳／計（人）,25～29歳／男（人）,25～29歳／女（人）,30～34歳／計（人）,30～34歳／男（人）,30～34歳／女（人）,35～39歳／計（人）,35～39歳／男（人）,35～39歳／女（人）,40～44歳／計（人）,40～44歳／男（人）,40～44歳／女（人）,45～49歳／計（人）,45～49歳／男（人）,45～49歳／女（人）,50～54歳／計（人）,50～54歳／男（人）,50～54歳／女（人）,55～59歳／計（人）,55～59歳／男（人）,55～59歳／女（人）,60～64歳／計（人）,60～64歳／男（人）,60～64歳／女（人）,65～69歳／計（人）,65～69歳／男（人）,65～69歳／女（人）,70～74歳／計（人）,70～74歳／男（人）,70～74歳／女（人）,75～79歳／計（人）,75～79歳／男（人）,75～79歳／女（人）,80～84歳／計（人）,80～84歳／男（人）,80～84歳／女（人）,85歳以上／計（人）,85歳以上／男（人）,85歳以上／女（人）
0,13000,総数,14308,7885,6423,129,76,53,272,193,79,433,294,139,441,303,138,517,320,197,759,436,323,908,489,419,1250,669,581,1497,794,703,1684,947,737,1570,860,710,1377,697,680,1400,703,697,1195,641,554,876,463,413
1,13100,区部,2432,1308,1124,31,23,8,58,36,22,74,48,26,82,61,21,100,59,41,139,76,63,171,85,86,222,112,110,265,140,125,269,153,116,227,124,103,213,97,116,235,115,120,193,101,92,153,78,75
4,13101,千代田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13102,中央区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13103,港区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13104,新宿区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13109,品川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,22,10,12,-,-,-,1,-,1,2,1,1,-,-,-,-,-,-,1,-,1,-,-,-,2,1,1,3,2,1,2,1,1,1,1,-,1,-,1,2,1,1,2,-,2,5,3,2
4,13111,大田区,20,9,11,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,1,1,2,-,2,6,4,2,1,-,1,-,-,-,-,-,-,2,-,2,2,-,2,4,3,1,-,-,-
4,13112,世田谷区,553,292,261,10,8,2,17,10,7,20,12,8,20,14,6,32,19,13,26,16,10,38,18,20,47,19,28,64,31,33,63,40,23,62,32,30,38,19,19,48,24,24,30,12,18,38,18,20
4,13113,渋谷区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13114,中野区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13115,杉並区,157,85,72,1,1,-,2,1,1,4,3,1,5,4,1,5,2,3,14,10,4,11,5,6,15,8,7,12,6,6,21,10,11,14,9,5,15,3,12,22,13,9,10,6,4,6,4,2
4,13116,豊島区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13117,北区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13118,荒川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13119,板橋区,79,44,35,2,-,2,2,1,1,2,1,1,2,1,1,4,3,1,6,5,1,2,2,-,7,3,4,6,3,3,9,4,5,10,6,4,5,3,2,7,2,5,5,5,-,10,5,5
4,13120,練馬区,807,442,365,13,11,2,22,15,7,26,19,7,26,18,8,21,16,5,31,17,14,51,24,27,77,41,36,100,52,48,95,57,38,77,41,36,65,34,31,82,38,44,76,43,33,45,16,29
4,13121,足立区,241,132,109,1,1,-,5,4,1,9,3,6,9,7,2,10,6,4,21,11,10,17,7,10,21,10,11,24,16,8,29,18,11,18,8,10,22,11,11,20,11,9,22,10,12,13,9,4
4,13122,葛飾区,223,121,102,1,1,-,4,3,1,7,6,1,8,8,-,10,5,5,16,6,10,14,10,4,19,10,9,24,11,13,25,14,11,17,11,6,19,8,11,19,5,14,21,11,10,19,12,7
4,13123,江戸川区,319,167,152,3,1,2,5,2,3,3,2,1,12,9,3,16,7,9,22,10,12,35,19,16,28,16,12,29,17,12,25,9,16,25,16,9,43,16,27,33,21,12,23,11,12,17,11,6
1,13200,市部,10538,5798,4740,93,50,43,199,144,55,341,232,109,340,230,110,376,235,141,581,332,249,693,378,315,942,507,435,1118,592,526,1238,699,539,1110,610,500,1003,503,500,983,489,494,865,453,412,656,344,312
4,13201,八王子市,955,533,422,9,4,5,14,10,4,26,15,11,21,13,8,29,18,11,38,20,18,59,30,29,90,48,42,103,61,42,125,68,57,103,65,38,91,48,43,85,43,42,93,48,45,69,42,27
4,13202,立川市,768,418,350,8,6,2,28,19,9,28,16,12,40,28,12,41,23,18,58,27,31,60,37,23,67,41,26,66,29,37,76,42,34,79,43,36,78,37,41,59,29,30,53,28,25,27,13,14
4,13203,武蔵野市,176,92,84,1,1,-,7,3,4,6,5,1,3,2,1,11,6,5,9,6,3,8,4,4,21,11,10,20,8,12,26,18,8,14,5,9,10,7,3,18,7,11,17,7,10,5,2,3
4,13204,三鷹市,587,315,272,9,-,9,12,10,2,25,16,9,25,18,7,21,12,9,51,27,24,45,26,19,57,30,27,58,31,27,52,32,20,69,34,35,57,30,27,44,18,26,34,19,15,28,12,16
4,13205,青梅市,432,246,186,2,2,-,10,4,6,8,7,1,12,7,5,8,6,2,21,13,8,20,14,6,27,15,12,42,20,22,57,37,20,54,33,21,57,24,33,38,23,15,41,24,17,35,17,18
