地域階層,地域コード,都道府県,計（a）,販売農家（a）,自給的農家（a）,土地持ち非農家（a）
0,0,総数,42306434,12710358,9082863,20513213
1,1,北海道,1865350,560250,173589,1131511
1,2,青森,1731959,572421,225293,934245
1,3,岩手,1742770,629543,371049,742178
1,4,宮城,1169246,475343,180421,513482
1,5,秋田,953026,435636,102938,414452
1,6,山形,837165,311744,171225,354196
1,7,福島,2522605,1077762,502049,942794
1,8,茨城,2391833,827724,528288,1035821
1,9,栃木,1029599,370895,183477,475227
1,10,群馬,1404175,246778,453067,704330
1,11,埼玉,1272827,216745,363803,692279
1,12,千葉,1906201,579441,347420,979340
1,13,東京,95580,15940,25553,54087
1,14,神奈川,249673,58803,85638,105232
1,15,新潟,1056030,414216,170990,470824
1,16,富山,252744,70113,40891,141740
1,17,石川,581699,135742,101319,344638
1,18,福井,197381,56291,37182,103908
1,19,山梨,578066,105882,195478,276706
1,20,長野,1677587,410106,617895,649586
1,21,岐阜,618839,139641,176089,303109
1,22,静岡,1284250,280728,316524,686998
1,23,愛知,851302,198128,236841,416333
1,24,三重,760349,211445,144775,404129
1,25,滋賀,227583,66750,35122,125711
1,26,京都,309824,86374,83225,140225
1,27,大阪,167087,32547,44327,90213
1,28,兵庫,690838,184286,159469,347083
1,29,奈良,363317,98918,95668,168731
1,30,和歌山,466061,167783,79209,219069
1,31,鳥取,383153,140979,89308,152866
1,32,島根,706538,188244,163490,354804
1,33,岡山,1137637,301280,267826,568531
1,34,広島,1188838,290366,290565,607907
1,35,山口,860644,186611,175398,498635
1,36,徳島,457725,108378,135660,213687
1,37,香川,609390,179368,142914,287108
1,38,愛媛,1030463,320722,228377,481364
1,39,高知,392121,103696,88025,200400
1,40,福岡,699173,233457,126342,339374
1,41,佐賀,506940,206945,71090,228905
1,42,長崎,1112639,301677,250833,560129
1,43,熊本,1246049,369507,239920,636622
1,44,大分,847748,250015,166922,430811
1,45,宮崎,502643,178606,102333,221704
1,46,鹿児島,1125254,261282,260766,603206
1,47,沖縄,244513,51250,34280,158983
,,,,,,
2015年農林業センサス,,,,,,
第12表　都道府県別耕作放棄地面積,,,,,,
地域階層（0：総数　1：都道府県）,,,,,,
