地域階層,地域コード,地域,総農家（a）,販売農家（a）,自給的農家（a）
0,13000,東京都総数,43.8,71.3,16.2
1,13100,区部,38.6,55.2,15.2
4,13101,千代田区,-,-,-
4,13102,中央区,Ｘ,-,Ｘ
4,13103,港区,Ｘ,Ｘ,-
4,13104,新宿区,Ｘ,-,Ｘ
4,13105,文京区,Ｘ,-,Ｘ
4,13106,台東区,-,-,-
4,13107,墨田区,Ｘ,-,Ｘ
4,13108,江東区,Ｘ,-,Ｘ
4,13109,品川区,-,-,-
4,13110,目黒区,23.2,29.1,14.8
4,13111,大田区,36.8,46.9,13.3
4,13112,世田谷区,29.2,41.1,14.5
4,13113,渋谷区,Ｘ,-,Ｘ
4,13114,中野区,Ｘ,Ｘ,17.3
4,13115,杉並区,35.5,50.7,17.1
4,13116,豊島区,-,-,-
4,13117,北区,-,-,-
4,13118,荒川区,-,-,-
4,13119,板橋区,29.2,49.3,14.9
4,13120,練馬区,40.9,53.6,15.3
4,13121,足立区,40.2,70.1,14.4
4,13122,葛飾区,65.7,93.5,16.1
4,13123,江戸川区,39.3,52.2,15.6
1,13200,市部,43.6,70.5,16.4
4,13201,八王子市,34.1,69.5,16.8
4,13202,立川市,79.1,96.1,15.8
4,13203,武蔵野市,46.7,50.5,13.7
4,13204,三鷹市,55.6,67.6,15.5
4,13205,青梅市,34,80.1,16.5
4,13206,府中市,37.5,58.7,16.6
4,13207,昭島市,34.8,57.3,16.9
4,13208,調布市,47.2,62.9,16.3
4,13209,町田市,36.9,64.1,15.5
4,13210,小金井市,47.6,66.7,15.9
4,13211,小平市,51.5,67,16.9
4,13212,日野市,33,51,15.2
4,13213,東村山市,50.3,71.2,15.6
4,13214,国分寺市,75.3,92.7,16.8
4,13215,国立市,39.9,63.2,17
4,13218,福生市,27.3,44,17.2
4,13219,狛江市,31.5,45.5,15.6
4,13220,東大和市,34.5,52.2,15.9
4,13221,清瀬市,77.2,96.2,12.5
4,13222,東久留米市,56.3,75.5,15.8
4,13223,武蔵村山市,47.5,76.2,17.5
4,13224,多摩市,38.7,97.1,16.4
4,13225,稲城市,42.7,54.2,16.4
4,13227,羽村市,38.1,55.1,16.8
4,13228,あきる野市,31,67.1,17.2
4,13229,西東京市,61.9,81.3,17.2
1,13550,町村部,49.3,94,15.9
2,13300,西多摩郡,30.5,74.6,16.2
4,13303,瑞穂町,40.1,82.3,17.1
4,13305,日の出町,27.4,62.1,15.7
4,13307,檜原村,16.5,43.7,15.4
4,13308,奥多摩町,15.7,23.3,15.3
2,13350,島部,67.4,101.6,15.4
3,13360,大島支庁,Ｘ,150.3,Ｘ
4,13361,大島町,56.5,96.7,17.9
4,13362,利島村,Ｘ,327.7,Ｘ
4,13363,新島村,17.7,62.7,15.1
4,13364,神津島村,16.7,20.8,13.1
3,13380,三宅支庁,32.3,51.3,14.3
4,13381,三宅村,32.3,53.4,14.3
4,13382,御蔵島村,32.5,44.1,14.3
3,13400,八丈支庁,Ｘ,94.1,Ｘ
4,13401,八丈町,80.9,94.5,14.4
4,13402,青ケ島村,Ｘ,70.3,Ｘ
3,13420,小笠原支庁,44.8,66.8,15.2
4,13421,小笠原村,44.8,66.8,15.2
,,,,,
2015年農林業センサス,,,,,
第27表　区市町村別農家１戸当たりの耕地面積,,,,,
地域階層（0：東京都総数　1：区部・市部・町村部　2：西多摩郡・島部　3：支庁　4：区市町村）,,,,,
