地域階層,地域コード,地域,計（戸）,専業農家（戸）,専業農家／男子生産年齢人口がいる（戸）,専業農家／女子生産年齢人口がいる（戸）,兼業農家（戸）,兼業農家／第1種兼業農家（戸）,兼業農家／第2種兼業農家（戸）
0,13000,東京都総数,5623,2613,1480,1223,3010,444,2566
1,13100,区部,849,351,245,214,498,49,449
4,13101,千代田区,-,-,-,-,-,-,-
4,13102,中央区,-,-,-,-,-,-,-
4,13103,港区,1,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13104,新宿区,-,-,-,-,-,-,-
4,13105,文京区,-,-,-,-,-,-,-
4,13106,台東区,-,-,-,-,-,-,-
4,13107,墨田区,-,-,-,-,-,-,-
4,13108,江東区,-,-,-,-,-,-,-
4,13109,品川区,-,-,-,-,-,-,-
4,13110,目黒区,7,3,1,1,4,-,4
4,13111,大田区,7,2,2,2,5,-,5
4,13112,世田谷区,189,65,47,37,124,4,120
4,13113,渋谷区,-,-,-,-,-,-,-
4,13114,中野区,5,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13115,杉並区,59,21,14,10,38,3,35
4,13116,豊島区,-,-,-,-,-,-,-
4,13117,北区,-,-,-,-,-,-,-
4,13118,荒川区,-,-,-,-,-,-,-
4,13119,板橋区,27,12,7,6,15,-,15
4,13120,練馬区,289,132,94,79,157,20,137
4,13121,足立区,80,31,20,19,49,7,42
4,13122,葛飾区,75,33,23,23,42,5,37
4,13123,江戸川区,110,52,37,37,58,9,49
1,13200,市部,4026,1806,1093,902,2220,346,1874
4,13201,八王子市,392,168,93,65,224,44,180
4,13202,立川市,269,108,79,68,161,38,123
4,13203,武蔵野市,61,26,19,15,35,3,32
4,13204,三鷹市,204,79,59,52,125,18,107
4,13205,青梅市,191,68,21,17,123,26,97
4,13206,府中市,162,77,50,39,85,9,76
4,13207,昭島市,63,25,13,10,38,5,33
4,13208,調布市,153,82,61,46,71,17,54
4,13209,町田市,374,145,68,57,229,33,196
4,13210,小金井市,93,40,21,22,53,3,50
4,13211,小平市,215,106,57,45,109,17,92
4,13212,日野市,150,75,32,29,75,9,66
4,13213,東村山市,177,74,56,48,103,17,86
4,13214,国分寺市,158,77,63,49,81,8,73
4,13215,国立市,54,35,19,15,19,1,18
4,13218,福生市,17,8,4,2,9,-,9
4,13219,狛江市,63,33,27,21,30,1,29
4,13220,東大和市,87,40,24,20,47,5,42
4,13221,清瀬市,174,99,77,67,75,18,57
4,13222,東久留米市,186,84,67,50,102,11,91
4,13223,武蔵村山市,167,76,38,31,91,12,79
4,13224,多摩市,23,11,4,2,12,-,12
4,13225,稲城市,175,80,43,40,95,18,77
4,13227,羽村市,58,28,15,10,30,3,27
4,13228,あきる野市,197,84,26,28,113,16,97
4,13229,西東京市,163,78,57,54,85,14,71
1,13550,町村部,748,456,142,107,292,49,243
2,13300,西多摩郡,210,81,35,33,129,20,109
4,13303,瑞穂町,141,61,28,29,80,14,66
4,13305,日の出町,60,18,6,3,42,5,37
4,13307,檜原村,6,2,1,1,4,-,4
4,13308,奥多摩町,3,-,-,-,3,1,2
2,13350,島部,538,375,107,74,163,29,134
3,13360,大島支庁,133,92,19,12,41,7,34
4,13361,大島町,70,58,13,7,12,2,10
4,13362,利島村,38,19,5,3,19,3,16
4,13363,新島村,6,5,1,1,1,-,1
4,13364,神津島村,19,10,-,1,9,2,7
3,13380,三宅支庁,61,33,8,3,28,1,27
4,13381,三宅村,47,31,8,3,16,1,15
4,13382,御蔵島村,14,2,-,-,12,-,12
3,13400,八丈支庁,313,231,69,48,82,18,64
4,13401,八丈町,307,228,66,47,79,18,61
4,13402,青ケ島村,6,3,3,1,3,-,3
3,13420,小笠原支庁,31,19,11,11,12,3,9
4,13421,小笠原村,31,19,11,11,12,3,9
,,,,,,,,,
2015年農林業センサス,,,,,,,,,
第31表　区市町村、専兼業別農家数（販売農家）,,,,,,,,,
注）表名に「（販売農家）」を追加する修正を行いました（2019年4月4日）,,,,,,,,,
地域階層（0：東京都総数　1：区部・市部・町村部　2：西多摩郡・島部　3：支庁　4：区市町村）,,,,,,,,,
