地域階層,地域コード,都道府県,総農家（戸）,総農家／販売農家（戸）,総農家／自給的農家（戸）,土地持ち非農家数（戸）
0,0,総数,2155082,1329591,825491,1413727
1,1,北海道,44433,38086,6347,18861
1,2,青森,44781,34866,9915,30299
1,3,岩手,66099,45254,20845,33226
1,4,宮城,52350,37533,14817,36758
1,5,秋田,49048,37810,11238,36743
1,6,山形,46224,32355,13869,33170
1,7,福島,75338,52270,23068,37238
1,8,茨城,87678,57239,30439,56041
1,9,栃木,55446,39810,15636,32932
1,10,群馬,50084,25520,24564,35125
1,11,埼玉,64178,36743,27435,39143
1,12,千葉,62636,44039,18597,45433
1,13,東京,11222,5623,5599,3983
1,14,神奈川,24552,12685,11867,7992
1,15,新潟,78453,54409,24044,65369
1,16,富山,23798,16744,7054,34963
1,17,石川,21087,13048,8039,29167
1,18,福井,22872,15245,7627,22374
1,19,山梨,32543,17020,15523,16689
1,20,長野,104759,51777,52982,45222
1,21,岐阜,60790,28511,32279,36092
1,22,静岡,61093,31864,29229,44425
1,23,愛知,73833,35068,38765,49446
1,24,三重,42921,25696,17225,35901
1,25,滋賀,29020,19306,9714,35982
1,26,京都,30723,17485,13238,15516
1,27,大阪,23983,9028,14955,9612
1,28,兵庫,81416,46831,34585,46499
1,29,奈良,25594,12930,12664,12687
1,30,和歌山,29713,20352,9361,13090
1,31,鳥取,27713,17846,9867,11771
1,32,島根,33513,19173,14340,23041
1,33,岡山,62592,36077,26515,37546
1,34,広島,56673,28169,28504,37592
1,35,山口,35542,20307,15235,26665
1,36,徳島,30767,17958,12809,13956
1,37,香川,35163,20316,14847,20353
1,38,愛媛,42252,25697,16555,23682
1,39,高知,25345,15387,9958,13689
1,40,福岡,52704,34659,18045,44239
1,41,佐賀,22033,15819,6214,28973
1,42,長崎,33802,21304,12498,24459
1,43,熊本,58414,40103,18311,40242
1,44,大分,39475,24300,15175,27856
1,45,宮崎,38428,25552,12876,20538
1,46,鹿児島,63943,37536,26407,47120
1,47,沖縄,20056,14241,5815,12027
,,,,,,
2015年農林業センサス,,,,,,
第９表　都道府県別総農家数及び土地持ち非農家数　,,,,,,
地域階層（0：総数　1：都道府県）,,,,,,
