設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号,定員
他の法人,さくら岩本町ハウス,101-0032,千代田区岩本町２－１５－８,139.77789,35.69454,JGD2011,03-3865-2438,32
他の法人,ふるさと下落合館,161-0033,新宿区下落合２－５－１７,139.70123,35.71674,JGD2011,03-6908-2030,24
他の法人,さくら上落合ハウス,161-0034,新宿区上落合１－１３－２,139.69226,35.71501,JGD2011,03-3366-8085,13
他の法人,ドミトリー落合,161-0034,新宿区上落合２－２８－１２,139.68573,35.71146,JGD2011,03-5386-5866,32
他の法人,ドミトリー落合（日住）,161-0034,新宿区上落合２－２８－１２,139.68573,35.71146,JGD2011,03-5386-5866,15
その他,いこい,162-0067,新宿区富久町２５－７,139.71503,35.69491,JGD2011,03-3341-4842,9
社福法人,春陽寮,162-0851,新宿区弁天町４２,139.7276,35.70423,JGD2011,03-3268-1443,24
他の法人,ＴＥＯＳ北新宿ハウス,169-0074,新宿区北新宿３－１０－２,139.69075,35.70206,JGD2011,03-3363-3588,19
他の法人,下谷荘,110-0004,台東区下谷２－１６－６,139.78426,35.72222,JGD2011,03-6802-1533,19
他の法人,おおぞら荘,111-0021,台東区日本堤１－１７－７,139.79912,35.72612,JGD2011,03-5603-8019,37
他の法人,ふるさと旅館朝日館,111-0021,台東区日本堤１－２４－４,139.8,35.72727,JGD2011,03-5808-9501,15
他の法人,ふるさと二丁目ハウス,111-0021,台東区日本堤２－３７－１,139.79497,35.7281,JGD2011,03-6240-6868,10
他の法人,山友荘,111-0022,台東区清川２－３８－２,139.80061,35.72885,JGD2011,03-3875-3646,21
他の法人,友愛ホーム,111-0022,台東区清川２－１６－３,139.80042,35.72757,JGD2011,03-5603-2829,15
他の法人,ふるさと清川荘,111-0022,台東区清川２－１８－５,139.80148,35.72767,JGD2011,03-6458-1274,15
他の法人,ふるさとホテル三晃,111-0022,台東区清川２－３８－５,139.80061,35.72885,JGD2011,03-3872-7082,78
他の法人,橋場荘,111-0023,台東区橋場１－１７－１０,139.80568,35.72424,JGD2011,03-5824-1438,11
他の法人,ふるさと・あさひ館,111-0031,台東区千束４－２８－１,139.79457,35.72276,JGD2011,03-5824-1050,16
他の法人,千束荘,111-0031,台東区千束３－２３－１３,139.79349,35.72248,JGD2011,03-3873-2633,33
他の法人,さくら千束ハウス,111-0031,台東区千束４－３４－１,139.79611,35.72474,JGD2011,03-3871-3662,16
他の法人,ふるさと・日の出館,-,台東区,-,-,-,-,16
他の法人,きぼうのいえ,-,台東区,-,-,-,-,21
他の法人,コスモスハウスおはな,-,台東区,-,-,-,-,13
他の法人,やすらぎの家,-,台東区,-,-,-,-,15
他の法人,ＳＴＥＰ－ＵＰ－ＨＯＵＳＥ,-,台東区,-,-,-,-,12
その他,グループホーム「ふうせん」,-,台東区,-,-,-,-,7
他の法人,ＴＥＯＳ千束三番館,-,台東区,-,-,-,-,32
他の法人,ステップなりひら,130-0002,墨田区業平２－１０－１１,139.81155,35.70767,JGD2011,03-3624-2735,5
他の法人,ふるさと寿々喜屋ハウス,130-0004,墨田区本所２－２０－５,139.80199,35.70481,JGD2011,03-6456-1442,20
他の法人,千歳荘,130-0025,墨田区千歳２－６－３,139.79436,35.69098,JGD2011,03-5638-8318,12
他の法人,向島荘,131-0033,墨田区向島４－１２－１３,139.81325,35.71723,JGD2011,03-5610-7576,18
他の法人,さくら向島ハウス,131-0033,墨田区向島５－１４－６,139.81097,35.71883,JGD2011,03-3829-8524,35
他の法人,ふるさと・向島５丁目ハウス,131-0033,墨田区向島５－１３－２１,139.81062,35.71927,JGD2011,03-3623-2611,12
他の法人,ぽたらか寮,131-0041,墨田区八広６－１－８,139.82535,35.72862,JGD2011,03-3610-9155,7
他の法人,あさひ　第３八広寮,131-0041,墨田区八広３－１－３,139.82495,35.71876,JGD2011,03-6657-0545,9
他の法人,あさひ　宮田記念第３八広寮,131-0041,墨田区八広３－１－３,139.82495,35.71876,JGD2011,03-6657-0545,10
他の法人,ふるさと晃荘,131-0041,墨田区八広１－１４－１,139.82338,35.72044,JGD2011,03-6657-2440,16
他の法人,ふるさと立花四丁目ハウス,131-0043,墨田区立花４－１１－４,139.83017,35.71003,JGD2011,03-3612-2749,8
他の法人,ふるさと・せせらぎ館,131-0044,墨田区文花３－１９－６,139.82701,35.71143,JGD2011,03-5630-6603,25
他の法人,フラワーハイツ,-,墨田区,-,-,-,-,15
営利法人,風待ちハウス,-,墨田区,-,-,-,-,11
他の法人,福住荘,135-0032,江東区福住１－１４－１０,139.79393,35.67499,JGD2011,03-5621-5033,13
他の法人,さくら亀戸ハウス,136-0071,江東区亀戸４－３３－５,139.82738,35.70295,JGD2011,03-3682-2076,11
他の法人,さくら第３亀戸ハウス,136-0071,江東区亀戸７－２４－１,139.83678,35.69941,JGD2011,03-3683-5139,33
他の法人,さくら第２亀戸ハウス,136-0071,江東区亀戸９－１８－１０,139.84254,35.69769,JGD2011,03-3636-2216,40
営利法人,砂町クラブ,136-0073,江東区北砂４－１１－２２,139.82986,35.67882,JGD2011,03-3640-7106,14
他の法人,五反田荘,141-0031,品川区西五反田８－６－７,139.72078,35.62095,JGD2011,03-5719-3810,59
他の法人,さくら東中延ハウス,142-0052,品川区東中延１－９－５,139.7122,35.60994,JGD2011,03-3788-1805,14
他の法人,さくら中延ハウス,142-0053,品川区中延４－２０－５,139.71112,35.60426,JGD2011,03-3782-0890,26
他の法人,柿の木坂荘,152-0022,目黒区柿の木坂３－３－４,139.67535,35.6277,JGD2011,03-5779-6266,12
他の法人,大森南荘,143-0013,大田区大森南２－１－２６,139.74091,35.56315,JGD2011,03-5735-5806,12
他の法人,カーサ大森,143-0023,大田区山王４－２１－６　１－Ｂ,139.7298,35.59214,JGD2011,03-3774-7132,15
他の法人,カーサ大田中央,143-0024,大田区中央８－３６－８,139.71883,35.57212,JGD2011,03-6410-6671,7
他の法人,Ｌ．Ｃ西糀谷,144-0034,大田区西糀谷１－４－４,139.73024,35.56016,JGD2011,03-5736-3787,11
他の法人,カーサ糀谷,144-0035,大田区南蒲田３－１２－１８,139.7291,35.5534,JGD2011,03-3743-3166,12
他の法人,カーサ大鳥居,144-0044,大田区本羽田３－１３－１６,139.73654,35.54794,JGD2011,03-5737-2931,28
他の法人,カーサ東六郷,144-0046,大田区東六郷１－１０－１１,139.72131,35.55215,JGD2011,03-5703-4651,13
他の法人,Ｌ．Ｃ西蒲田,144-0051,大田区西蒲田４－２－２,139.71831,35.56959,JGD2011,03-3753-1310,11
他の法人,蒲田荘,144-0053,大田区蒲田本町２－１９－４,139.71729,35.55631,JGD2011,03-5711-5258,54
社福法人,春風寮,144-0055,大田区仲六郷４－２－１２,139.70972,35.54505,JGD2011,03-3738-2563,32
他の法人,カーサ雪谷,145-0065,大田区東雪谷３－１４－２５,139.68898,35.59449,JGD2011,03-3720-3117,18
他の法人,さくら下丸子ハウス,146-0092,大田区下丸子１－１－８,139.68808,35.57084,JGD2011,03-5482-0366,12
他の法人,新町荘,154-0014,世田谷区新町３－２２－１０,139.64618,35.63218,JGD2011,03-5799-6948,20
他の法人,大蔵荘,157-0074,世田谷区大蔵６－７－２６,139.61195,35.62563,JGD2011,03-5727-1250,15
事務組合,千歳荘,-,世田谷区,-,-,-,-,56
他の法人,自立援助ホームわかば荘,164-0011,中野区中央２－５７－７,139.67661,35.70135,JGD2011,03-6279-2320,19
他の法人,中野本町荘,164-0012,中野区本町２－１８－１２,139.67995,35.69412,JGD2011,03-5308-6408,24
他の法人,やすらぎの里沼袋寮,165-0025,中野区沼袋４－３－１１,139.66138,35.72112,JGD2011,03-3389-4838,34
他の法人,下井草荘,167-0022,杉並区下井草１－７－１５,139.63242,35.71508,JGD2011,03-5303-5020,17
他の法人,本天沼荘,167-0031,杉並区本天沼２－３１－８,139.62544,35.71456,JGD2011,03-5303-7808,28
