区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／比（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／比（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／比（％）
15歳以上人口,11234,10976,258,2.4,5572,5425,147,2.7,5662,5551,111,2
〔就業状態〕／労働力人口,7036,6765,271,4,4247,4035,212,5.3,2788,2729,59,2.2
〔就業状態〕／労働力人口／就業者数,6723,6473,250,3.9,4054,3839,215,5.6,2669,2634,35,1.3
〔就業状態〕／労働力人口／就業者数／自営業主数,554,553,1,0.2,428,411,17,4.1,126,142,-16,-11.3
〔就業状態〕／労働力人口／就業者数／家族従業者数,143,150,-7,-4.7,24,33,-9,-27.3,119,117,2,1.7
〔就業状態〕／労働力人口／就業者数／雇用者数,5973,5722,251,4.4,3580,3363,217,6.5,2393,2360,33,1.4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5056,4871,185,3.8,3259,3049,210,6.9,1797,1823,-26,-1.4
〔就業状態〕／労働力人口／完全失業者数,313,292,21,7.2,194,197,-3,-1.5,119,95,24,25.3
〔就業状態〕／非労働力人口,4193,4207,-14,-0.3,1321,1387,-66,-4.8,2873,2820,53,1.9
〔就業者の活動状況別内訳〕／就業者数（再掲）,6723,6473,250,3.9,4054,3839,215,5.6,2669,2634,35,1.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6601,6335,266,4.2,4001,3760,241,6.4,2600,2575,25,1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5643,5409,234,4.3,3859,3610,249,6.9,1784,1800,-16,-0.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,764,741,23,3.1,39,50,-11,-22,725,691,34,4.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,195,185,10,5.4,104,101,3,3,91,84,7,8.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,121,138,-17,-12.3,52,78,-26,-33.3,69,59,10,16.9
