区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／比（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／比（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／比（％）
15歳以上人口,11307,11066,241,2.2,5609,5468,141,2.6,5698,5598,100,1.8
〔就業状態〕／労働力人口,7028,6763,265,3.9,4206,4017,189,4.7,2822,2747,75,2.7
〔就業状態〕／労働力人口／就業者数,6767,6463,304,4.7,4074,3836,238,6.2,2693,2627,66,2.5
〔就業状態〕／労働力人口／就業者数／自営業主数,587,637,-50,-7.8,426,475,-49,-10.3,161,162,-1,-0.6
〔就業状態〕／労働力人口／就業者数／家族従業者数,124,156,-32,-20.5,24,32,-8,-25,100,124,-24,-19.4
〔就業状態〕／労働力人口／就業者数／雇用者数,6018,5627,391,6.9,3598,3305,293,8.9,2420,2322,98,4.2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5267,4850,417,8.6,3316,3029,287,9.5,1951,1822,129,7.1
〔就業状態〕／労働力人口／完全失業者数,261,300,-39,-13,132,181,-49,-27.1,129,119,10,8.4
〔就業状態〕／非労働力人口,4271,4296,-25,-0.6,1401,1448,-47,-3.2,2869,2848,21,0.7
〔就業者の活動状況別内訳〕／就業者数（再掲）,6767,6463,304,4.7,4074,3836,238,6.2,2693,2627,66,2.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6634,6358,276,4.3,4005,3778,227,6,2630,2580,50,1.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5651,5397,254,4.7,3820,3622,198,5.5,1831,1775,56,3.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,748,757,-9,-1.2,53,54,-1,-1.9,695,703,-8,-1.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,235,205,30,14.6,131,103,28,27.2,104,102,2,2
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,132,105,27,25.7,69,57,12,21.1,63,47,16,34
〔就業者の主な産業別内訳〕／建設業,464,436,28,6.4,403,371,32,8.6,61,65,-4,-6.2
〔就業者の主な産業別内訳〕／製造業,845,771,74,9.6,624,529,95,18,221,243,-22,-9.1
〔就業者の主な産業別内訳〕／情報通信業,537,435,102,23.4,389,329,60,18.2,148,106,42,39.6
〔就業者の主な産業別内訳〕／運輸業,328,340,-12,-3.5,287,293,-6,-2,41,47,-6,-12.8
〔就業者の主な産業別内訳〕／卸売・小売業,1188,1171,17,1.5,644,589,55,9.3,544,583,-39,-6.7
〔就業者の主な産業別内訳〕／金融・保険業,273,235,38,16.2,150,131,19,14.5,123,104,19,18.3
〔就業者の主な産業別内訳〕／不動産業,177,159,18,11.3,118,94,24,25.5,59,65,-6,-9.2
〔就業者の主な産業別内訳〕／飲食店，宿泊業,446,435,11,2.5,209,205,4,2,237,230,7,3
〔就業者の主な産業別内訳〕／医療，福祉,537,514,23,4.5,142,120,22,18.3,395,394,1,0.3
〔就業者の主な産業別内訳〕／教育，学習支援業,300,256,44,17.2,131,112,19,17,169,144,25,17.4
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,1336,1298,38,2.9,748,775,-27,-3.5,588,523,65,12.4
〔雇用者の主な産業別内訳〕／建設業,395,355,40,11.3,339,299,40,13.4,56,57,-1,-1.8
〔雇用者の主な産業別内訳〕／製造業,777,710,67,9.4,578,489,89,18.2,199,220,-21,-9.5
〔雇用者の主な産業別内訳〕／情報通信業,514,411,103,25.1,372,310,62,20,141,101,40,39.6
〔雇用者の主な産業別内訳〕／運輸業,302,306,-4,-1.3,262,262,0,0,40,44,-4,-9.1
〔雇用者の主な産業別内訳〕／卸売・小売業,1089,1045,44,4.2,590,517,73,14.1,500,528,-28,-5.3
〔雇用者の主な産業別内訳〕／金融・保険業,271,231,40,17.3,149,128,21,16.4,122,103,19,18.4
〔雇用者の主な産業別内訳〕／不動産業,154,138,16,11.6,105,86,19,22.1,49,52,-3,-5.8
〔雇用者の主な産業別内訳〕／飲食店，宿泊業,359,338,21,6.2,159,151,8,5.3,201,186,15,8.1
〔雇用者の主な産業別内訳〕／医療，福祉,493,478,15,3.1,115,99,16,16.2,378,379,-1,-0.3
〔雇用者の主な産業別内訳〕／教育，学習支援業,277,229,48,21,128,110,18,16.4,149,119,30,25.2
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,1107,1044,63,6,611,607,4,0.7,496,436,60,13.8
〔非農林業雇用者の従業者規模別内訳〕／総数,6013,5622,391,7,3593,3303,290,8.8,2420,2319,101,4.4
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1817,1748,69,3.9,1054,1009,45,4.5,762,739,23,3.1
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1929,1727,202,11.7,1136,1001,135,13.5,793,726,67,9.2
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1870,1728,142,8.2,1171,1053,118,11.2,699,675,24,3.6
〔完全失業率（年齢階級別）(%)〕／総数,3.7,4.4,-0.7,,3.1,4.5,-1.4,,4.6,4.3,0.3,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,4.7,6.1,-1.4,,3.6,6.4,-2.8,,6,5.8,0.2,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,4,5.8,-1.8,,3.6,6.3,-2.7,,4.6,5,-0.4,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,4.2,4,0.2,,3,4,-1,,6,4.2,1.8,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.8,3.1,-0.3,,3.2,3,0.2,,2.1,3.2,-1.1,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,4,4.7,-0.7,,3,4.7,-1.7,,5.5,4.7,0.8,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2,2.1,-0.1,,2.3,1.9,0.4,,1.5,2.1,-0.6,
〔労働力人口比率(%)〕／総数,62.2,61.1,1.1,,75,73.5,1.5,,49.5,49.1,0.4,
,,,,,,,,,,,,
東京の労働力統計データ（平成19年10～12月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成19年10～12月期平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても、総数と一致しない。,,,,,,,,,,,,
