区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／比（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／比（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／比（％）
15歳以上人口,11273,11021,252,2.3,5591,5447,144,2.6,5683,5574,109,2
〔就業状態〕／労働力人口,7160,6943,217,3.1,4296,4098,198,4.8,2864,2845,19,0.7
〔就業状態〕／労働力人口／就業者数,6889,6660,229,3.4,4144,3938,206,5.2,2745,2722,23,0.8
〔就業状態〕／労働力人口／就業者数／自営業主数,577,546,31,5.7,437,407,30,7.4,140,139,1,0.7
〔就業状態〕／労働力人口／就業者数／家族従業者数,161,150,11,7.3,31,30,1,3.3,130,120,10,8.3
〔就業状態〕／労働力人口／就業者数／雇用者数,6090,5931,159,2.7,3646,3488,158,4.5,2445,2444,1,0
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5191,5058,133,2.6,3310,3173,137,4.3,1881,1884,-3,-0.2
〔就業状態〕／労働力人口／完全失業者数,271,283,-12,-4.2,153,160,-7,-4.4,119,123,-4,-3.3
〔就業状態〕／非労働力人口,4102,4071,31,0.8,1288,1346,-58,-4.3,2814,2726,88,3.2
〔就業者の活動状況別内訳〕／就業者数（再掲）,6889,6660,229,3.4,4144,3938,206,5.2,2745,2722,23,0.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6764,6550,214,3.3,4084,3886,198,5.1,2680,2664,16,0.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5785,5569,216,3.9,3899,3730,169,4.5,1886,1839,47,2.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,760,782,-22,-2.8,61,54,7,13,699,729,-30,-4.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,219,199,20,10.1,124,102,22,21.6,95,97,-2,-2.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,125,110,15,13.6,60,52,8,15.4,65,58,7,12.1
〔就業者の主な産業別内訳〕／建設業,527,490,37,7.6,454,416,38,9.1,73,74,-1,-1.4
〔就業者の主な産業別内訳〕／製造業,924,895,29,3.2,677,647,30,4.6,247,248,-1,-0.4
〔就業者の主な産業別内訳〕／情報通信業,517,501,16,3.2,386,375,11,2.9,131,126,5,4
〔就業者の主な産業別内訳〕／運輸業,333,342,-9,-2.6,276,289,-13,-4.5,57,53,4,7.5
〔就業者の主な産業別内訳〕／卸売・小売業,1203,1138,65,5.7,654,615,39,6.3,549,523,26,5
〔就業者の主な産業別内訳〕／金融・保険業,221,207,14,6.8,128,122,6,4.9,93,85,8,9.4
〔就業者の主な産業別内訳〕／不動産業,202,171,31,18.1,112,106,6,5.7,91,65,26,40
〔就業者の主な産業別内訳〕／飲食店，宿泊業,436,441,-5,-1.1,202,205,-3,-1.5,234,236,-2,-0.8
〔就業者の主な産業別内訳〕／医療，福祉,505,539,-34,-6.3,137,128,9,7,368,411,-43,-10.5
〔就業者の主な産業別内訳〕／教育，学習支援業,282,313,-31,-9.9,140,135,5,3.7,141,178,-37,-20.8
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,1295,1281,14,1.1,686,688,-2,-0.3,610,592,18,3
〔雇用者の主な産業別内訳〕／建設業,439,417,22,5.3,375,353,22,6.2,63,64,-1,-1.6
〔雇用者の主な産業別内訳〕／製造業,857,827,30,3.6,637,606,31,5.1,220,222,-2,-0.9
〔雇用者の主な産業別内訳〕／情報通信業,501,478,23,4.8,375,358,17,4.7,126,120,6,5
〔雇用者の主な産業別内訳〕／運輸業,294,304,-10,-3.3,238,252,-14,-5.6,56,52,4,7.7
〔雇用者の主な産業別内訳〕／卸売・小売業,1102,1038,64,6.2,595,559,36,6.4,507,479,28,5.8
〔雇用者の主な産業別内訳〕／金融・保険業,218,202,16,7.9,127,117,10,8.5,92,85,7,8.2
〔雇用者の主な産業別内訳〕／不動産業,164,156,8,5.1,92,98,-6,-6.1,73,58,15,25.9
〔雇用者の主な産業別内訳〕／飲食店，宿泊業,331,343,-12,-3.5,151,156,-5,-3.2,180,187,-7,-3.7
〔雇用者の主な産業別内訳〕／医療，福祉,467,498,-31,-6.2,113,102,11,10.8,354,396,-42,-10.6
〔雇用者の主な産業別内訳〕／教育，学習支援業,259,286,-27,-9.4,134,132,2,1.5,125,154,-29,-18.8
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,1096,1088,8,0.7,558,569,-11,-1.9,538,519,19,3.7
〔非農林業雇用者の従業者規模別内訳〕／総数,6083,5926,157,2.6,3640,3484,156,4.5,2443,2442,1,0
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1949,1897,52,2.7,1134,1124,10,0.9,815,773,42,5.4
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1950,1877,73,3.9,1148,1080,68,6.3,802,798,4,0.5
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1721,1699,22,1.3,1081,1030,51,5,640,669,-29,-4.3
〔完全失業率（年齢階級別）(%)〕／総数,3.8,4.1,-0.3,,3.6,3.9,-0.3,,4.2,4.3,-0.1,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,5.8,5.8,0,,6,5,1,,5.7,6.5,-0.8,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,5.1,5.2,-0.1,,4.8,5.8,-1,,5.5,4.5,1,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3,2.6,0.4,,2.7,1.5,1.2,,3.4,4.6,-1.2,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3,3.9,-0.9,,2,3.6,-1.6,,4.5,4.2,0.3,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,3.5,4.8,-1.3,,3.6,5.1,-1.5,,3.3,4.4,-1.1,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.3,1.8,0.5,,3.1,2.6,0.5,,0.9,0.5,0.4,
〔労働力人口比率(%)〕／総数,63.5,63,0.5,,76.8,75.2,1.6,,50.4,51,-0.6,
,,,,,,,,,,,,
東京の労働力統計データ（平成19年４～６月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成19年４～６月期平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても、総数と一致しない。,,,,,,,,,,,,
