区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／比（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／比（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／比（％）
15歳以上人口,11295,11039,256,2.3,5603,5456,147,2.7,5692,5583,109,2
〔就業状態〕／労働力人口,7196,6903,293,4.2,4257,4064,193,4.7,2939,2839,100,3.5
〔就業状態〕／労働力人口／就業者数,6951,6633,318,4.8,4100,3902,198,5.1,2851,2730,121,4.4
〔就業状態〕／労働力人口／就業者数／自営業主数,592,573,19,3.3,419,424,-5,-1.2,173,149,24,16.1
〔就業状態〕／労働力人口／就業者数／家族従業者数,146,172,-26,-15.1,28,37,-9,-24.3,117,135,-18,-13.3
〔就業状態〕／労働力人口／就業者数／雇用者数,6185,5845,340,5.8,3640,3416,224,6.6,2545,2429,116,4.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5369,5063,306,6,3325,3113,212,6.8,2043,1950,93,4.8
〔就業状態〕／労働力人口／完全失業者数,245,270,-25,-9.3,157,162,-5,-3.1,88,109,-21,-19.3
〔就業状態〕／非労働力人口,4087,4125,-38,-0.9,1339,1387,-48,-3.5,2747,2737,10,0.4
〔就業者の活動状況別内訳〕／就業者数（再掲）,6951,6633,318,4.8,4100,3902,198,5.1,2851,2730,121,4.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6788,6485,303,4.7,4024,3819,205,5.4,2764,2666,98,3.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5815,5555,260,4.7,3859,3674,185,5,1956,1881,75,4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,779,751,28,3.7,58,58,0,0,720,693,27,3.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,195,180,15,8.3,106,88,18,20.5,89,91,-2,-2.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,162,148,14,9.5,76,83,-7,-8.4,87,65,22,33.8
〔就業者の主な産業別内訳〕／建設業,471,454,17,3.7,409,399,10,2.5,62,55,7,12.7
〔就業者の主な産業別内訳〕／製造業,819,827,-8,-1,593,571,22,3.9,226,256,-30,-11.7
〔就業者の主な産業別内訳〕／情報通信業,538,516,22,4.3,373,364,9,2.5,164,153,11,7.2
〔就業者の主な産業別内訳〕／運輸業,312,350,-38,-10.9,251,285,-34,-11.9,61,65,-4,-6.2
〔就業者の主な産業別内訳〕／卸売・小売業,1311,1151,160,13.9,683,564,119,21.1,628,587,41,7
〔就業者の主な産業別内訳〕／金融・保険業,269,232,37,15.9,145,124,21,16.9,124,108,16,14.8
〔就業者の主な産業別内訳〕／不動産業,180,184,-4,-2.2,117,127,-10,-7.9,63,57,6,10.5
〔就業者の主な産業別内訳〕／飲食店，宿泊業,500,459,41,8.9,245,227,18,7.9,255,233,22,9.4
〔就業者の主な産業別内訳〕／医療，福祉,528,549,-21,-3.8,150,143,7,4.9,378,406,-28,-6.9
〔就業者の主な産業別内訳〕／教育，学習支援業,311,294,17,5.8,143,134,9,6.7,169,160,9,5.6
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,1359,1278,81,6.3,766,721,45,6.2,593,557,36,6.5
〔雇用者の主な産業別内訳〕／建設業,405,377,28,7.4,348,331,17,5.1,57,46,11,23.9
〔雇用者の主な産業別内訳〕／製造業,751,750,1,0.1,548,526,22,4.2,204,224,-20,-8.9
〔雇用者の主な産業別内訳〕／情報通信業,512,494,18,3.6,358,348,10,2.9,154,145,9,6.2
〔雇用者の主な産業別内訳〕／運輸業,282,316,-34,-10.8,222,254,-32,-12.6,60,62,-2,-3.2
〔雇用者の主な産業別内訳〕／卸売・小売業,1224,1049,175,16.7,634,509,125,24.6,590,541,49,9.1
〔雇用者の主な産業別内訳〕／金融・保険業,267,228,39,17.1,143,120,23,19.2,124,108,16,14.8
〔雇用者の主な産業別内訳〕／不動産業,147,157,-10,-6.4,99,114,-15,-13.2,49,43,6,14
〔雇用者の主な産業別内訳〕／飲食店，宿泊業,388,364,24,6.6,193,179,14,7.8,196,185,11,5.9
〔雇用者の主な産業別内訳〕／医療，福祉,490,520,-30,-5.8,128,125,3,2.4,362,395,-33,-8.4
〔雇用者の主な産業別内訳〕／教育，学習支援業,279,269,10,3.7,137,127,10,7.9,142,142,0,0
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,1133,1045,88,8.4,631,580,51,8.8,502,465,37,8
〔非農林業雇用者の従業者規模別内訳〕／総数,6174,5835,339,5.8,3632,3406,226,6.6,2542,2429,113,4.7
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,2051,1923,128,6.7,1187,1106,81,7.3,865,818,47,5.7
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1974,1886,88,4.7,1125,1081,44,4.1,849,804,45,5.6
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1680,1609,71,4.4,1065,981,84,8.6,615,628,-13,-2.1
〔完全失業率（年齢階級別）(%)〕／総数,3.4,3.9,-0.5,,3.7,4,-0.3,,3,3.8,-0.8,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,6.6,6.5,0.1,,4.5,7,-2.5,,8.8,6.1,2.7,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,4.2,5.4,-1.2,,4.8,5.2,-0.4,,3.3,5.7,-2.4,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3.3,3.3,0,,3.7,3.4,0.3,,2.7,2.9,-0.2,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.3,2.7,-0.4,,2.8,2.3,0.5,,1.5,3.4,-1.9,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,2.7,3,-0.3,,3.2,3.9,-0.7,,1.9,1.7,0.2,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.2,3,-0.8,,2.8,3.5,-0.7,,1.3,2.1,-0.8,
〔労働力人口比率(%)〕／総数,63.7,62.5,1.2,,76,74.5,1.5,,51.6,50.9,0.7,
,,,,,,,,,,,,
東京の労働力統計データ（平成19年７～９月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成19年７～９月期平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても、総数と一致しない。,,,,,,,,,,,,
