区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,11277,11026,251,2.3,5594,5449,145,2.7,5684,5577,107,1.9
〔就業状態〕／労働力人口,7105,6844,261,3.8,4252,4054,198,4.9,2853,2790,63,2.3
〔就業状態〕／労働力人口／就業者数,6832,6557,275,4.2,4093,3879,214,5.5,2740,2678,62,2.3
〔就業状態〕／労働力人口／就業者数／自営業主数,577,577,0,0,427,429,-2,-0.5,150,148,2,1.4
〔就業状態〕／労働力人口／就業者数／家族従業者数,143,157,-14,-8.9,27,33,-6,-18.2,117,124,-7,-5.6
〔就業状態〕／労働力人口／就業者数／雇用者数,6067,5781,286,4.9,3616,3393,223,6.6,2451,2388,63,2.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5221,4961,260,5.2,3302,3091,211,6.8,1918,1870,48,2.6
〔就業状態〕／労働力人口／完全失業者数,273,286,-13,-4.5,159,175,-16,-9.1,114,112,2,1.8
〔就業状態〕／非労働力人口,4163,4175,-12,-0.3,1337,1392,-55,-4,2826,2783,43,1.5
〔就業者の活動状態別内訳〕／就業者数（再掲）,6832,6557,275,4.2,4093,3879,214,5.5,2740,2678,62,2.3
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数,6697,6432,265,4.1,4028,3811,217,5.7,2669,2621,48,1.8
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／主に仕事,5723,5482,241,4.4,3859,3659,200,5.5,1864,1824,40,2.2
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,763,758,5,0.7,53,54,-1,-1.9,710,704,6,0.9
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,211,192,19,9.9,116,98,18,18.4,95,94,1,1.1
〔就業者の活動状態別内訳〕／就業者数（再掲）／休業者数,135,125,10,8,64,68,-4,-5.9,71,57,14,24.6
〔就業者の主な産業別内訳〕／建設業,484,460,24,5.2,415,391,24,6.1,69,69,0,0
〔就業者の主な産業別内訳〕／製造業,875,836,39,4.7,633,584,49,8.4,242,251,-9,-3.6
〔就業者の主な産業別内訳〕／情報通信業,531,481,50,10.4,391,355,36,10.1,141,126,15,11.9
〔就業者の主な産業別内訳〕／運輸業,337,345,-8,-2.3,281,288,-7,-2.4,56,57,-1,-1.8
〔就業者の主な産業別内訳〕／卸売・小売業,1226,1155,71,6.1,651,595,56,9.4,575,559,16,2.9
〔就業者の主な産業別内訳〕／金融・保険業,245,220,25,11.4,136,122,14,11.5,109,99,10,10.1
〔就業者の主な産業別内訳〕／不動産業,192,175,17,9.7,117,110,7,6.4,74,65,9,13.8
〔就業者の主な産業別内訳〕／飲食店，宿泊業,447,434,13,3,211,205,6,2.9,236,229,7,3.1
〔就業者の主な産業別内訳〕／医療，福祉,515,515,0,0,142,128,14,10.9,373,387,-14,-3.6
〔就業者の主な産業別内訳〕／教育，学習支援業,291,293,-2,-0.7,139,133,6,4.5,152,161,-9,-5.6
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,1304,1267,37,2.9,720,708,12,1.7,584,558,26,4.7
〔就業者の主な産業別内訳〕／その他(上記以外のもの),358,348,10,2.9,236,238,-2,-0.8,120,109,11,10.1
〔雇用者の主な産業別内訳〕／建設業,409,381,28,7.3,348,322,26,8.1,62,59,3,5.1
〔雇用者の主な産業別内訳〕／製造業,807,768,39,5.1,589,542,47,8.7,218,225,-7,-3.1
〔雇用者の主な産業別内訳〕／情報通信業,511,461,50,10.8,377,340,37,10.9,134,121,13,10.7
〔雇用者の主な産業別内訳〕／運輸業,303,309,-6,-1.9,248,255,-7,-2.7,55,54,1,1.9
〔雇用者の主な産業別内訳〕／卸売・小売業,1128,1046,82,7.8,596,533,63,11.8,533,514,19,3.7
〔雇用者の主な産業別内訳〕／金融・保険業,243,217,26,12,135,119,16,13.4,108,98,10,10.2
〔雇用者の主な産業別内訳〕／不動産業,162,155,7,4.5,101,100,1,1,61,55,6,10.9
〔雇用者の主な産業別内訳〕／飲食店，宿泊業,353,342,11,3.2,164,160,4,2.5,189,182,7,3.8
〔雇用者の主な産業別内訳〕／医療，福祉,472,477,-5,-1,116,104,12,11.5,356,373,-17,-4.6
〔雇用者の主な産業別内訳〕／教育，学習支援業,266,265,1,0.4,133,128,5,3.9,132,137,-5,-3.6
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,1092,1049,43,4.1,589,572,17,3,502,477,25,5.2
〔雇用者の主な産業別内訳〕／その他(上記以外のもの),314,306,8,2.6,193,212,-19,-9,98,92,6,6.5
〔非農林業雇用者の従業者規模別内訳〕／総数,6059,5775,284,4.9,3610,3388,222,6.6,2449,2386,63,2.6
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1926,1860,66,3.5,1120,1076,44,4.1,806,784,22,2.8
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1919,1826,93,5.1,1119,1056,63,6,800,769,31,4
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1764,1655,109,6.6,1109,1003,106,10.6,654,652,2,0.3
〔完全失業率（年齢階級別）(%)〕／総数,3.8,4.2,-0.4,,3.7,4.3,-0.6,,4,4,0,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,6.4,6,0.4,,5.6,6.2,-0.6,,6.8,5.7,1.1,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,4.7,5.5,-0.8,,4.9,5.8,-0.9,,4.4,5.1,-0.7,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3.6,3.4,0.2,,3.2,3.3,-0.1,,4.2,3.7,0.5,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.9,3.3,-0.4,,2.7,3.1,-0.4,,3.3,3.6,-0.3,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,3.5,4.2,-0.7,,3.5,4.7,-1.2,,3.4,3.1,0.3,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.3,2.3,0,,2.8,2.7,0.1,,1.4,1.4,0,
〔労働力人口比率(%)〕／総数,63,62.1,0.9,,76,74.4,1.6,,50.2,50,0.2,
,,,,,,,,,,,,
東京の労働力統計データ（平成19年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成19年平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても総数と一致しない。,,,,,,,,,,,,
注3)「雇用者の主な産業別内訳」は17年集計から追加した。,,,,,,,,,,,,
