"年度[西暦]","款","予算現額[千円]","支出済額[千円]"
"2014","総務費",,"641008"
"2014","保険給付費",,"13134619"
"2014","地域支援事業費",,"388214"
"2014","基金積立金",,"41166"
"2014","諸支出金",,"99241"
"2014","公債費",,
"2014","歳出合計",,"14304248"
"2015","総務費",,"734676"
"2015","保険給付費",,"13410112"
"2015","地域支援事業費",,"415789"
"2015","基金積立金",,"47673"
"2015","諸支出金",,"68168"
"2015","公債費",,"21784"
"2015","歳出合計",,"14698202"
"2016","総務費",,"637867"
"2016","保険給付費",,"13307186"
"2016","地域支援事業費",,"643418"
"2016","基金積立金",,"213425"
"2016","諸支出金",,"135085"
"2016","公債費",,"21784"
"2016","歳出合計",,"14958766"
"2017","総務費","680223","616438"
"2017","保険給付費","15068847","13520830"
"2017","地域支援事業費","992416","897537"
"2017","基金積立金","304355","255742"
"2017","諸支出金","193054","189555"
"2017","公債費","21784","21784"
"2017","歳出合計","17260679","15501887"
"2018","総務費","720554","663064"
"2018","保険給付費","14210987","13708516"
"2018","地域支援事業費","946651","902793"
"2018","基金積立金","332987","256749"
"2018","諸支出金","261814","261536"
"2018","公債費",,
"2018","歳出合計","16472993","15792658"

"令和元年度港区行政資料集　介護保険会計歳出決算","Ver201903",,
