和暦（年次）,西暦（年次）,都内間移動者数(人),区相互間、市町村相互間の移動者数/総数(人),区相互間、市町村相互間の移動者数/区相互間(人),区相互間、市町村相互間の移動者数/市町村相互間(人),区部と市町村部との移動者数/総数(人),区部と市町村部との移動者数/区部から市町村部へ(人),区部と市町村部との移動者数/市町村部から区部へ(人)
平成8,1996,414623,321055,225196,95859,93568,48337,45231
平成9,1997,402425,313708,219807,93901,88717,46040,42677
平成10,1998,395603,306695,216057,90638,88908,45722,43186
平成11,1999,401886,313236,220643,92593,88650,45552,43098
平成12,2000,407370,316760,227622,89138,90610,45178,45432
平成13,2001,399544,309431,223305,86126,90113,45109,45004
平成14,2002,391559,303721,219199,84522,87838,43301,44537
平成15,2003,405310,314405,225689,88716,90905,45826,45079
平成16,2004,401240,311804,226289,85515,89436,45255,44181
平成17,2005,395554,308723,228276,80447,86831,41500,45331
平成18,2006,384458,298831,220199,78632,85627,39612,46015
平成19,2007,383753,300662,223775,76887,83091,38821,44270
平成20,2008,369920,289577,217921,71656,80343,37968,42375
平成21,2009,394708,309524,237178,72346,85184,42912,42272
平成22,2010,392852,308612,238056,70556,84240,42507,41733
平成23,2011,383489,303024,236446,66578,80465,38976,41489
平成24,2012,393949,310629,240819,69810,83320,40182,43138
平成25,2013,394854,311812,241918,69894,83042,39786,43256
平成26,2014,384426,303023,236982,66041,81403,39302,42101
平成27,2015,402066,316168,247786,68382,85898,41245,44653
平成28,2016,386150,302955,237045,65910,83195,41421,41774
平成29,2017,391214,307057,241652,65405,84157,41550,42607
平成30,2018,389299,304031,240287,63744,85268,42529,42739
平成31・令和元,2019,391515,305260,242311,62949,86255,43086,43169
令和2,2020,402429,314208,251717,62491,88221,46819,41402
令和3,2021,412038,323780,260785,62995,88258,49079,39179
令和4,2022,398523,312520,251835,60685,86003,46117,39886
令和5,2023,392560,307692,247643,60049,84868,43249,41619
,,,,,,,,
東京都住民基本台帳人口移動報告,,,,,,,,
第８表　 区部・市町村部別都内間移動者数の推移（平成8年～令和5年）　日本人のみ,,,,,,,,
