性別階層,年月階層,性別,月次,他道府県との移動者数/転入者数(人),他道府県との移動者数/転出者数(人),他道府県との移動者数/転入超過数(人),他道府県と区部との移動者数/転入者数(人),他道府県と区部との移動者数/転出者数(人),他道府県と区部との移動者数/転入超過数(人),他道府県と市町村部との移動者数/転入者数(人),他道府県と市町村部との移動者数/転出者数(人),他道府県と市町村部との移動者数/転入超過数(人)
0,0,総数,年計,454133,385848,68285,355486,299495,55991,98647,86353,12294
0,1,総数,1月,27178,24291,2887,21547,19023,2524,5631,5268,363
0,1,総数,2月,30866,26964,3902,24516,21001,3515,6350,5963,387
0,1,総数,3月,101405,62100,39305,79267,46583,32684,22138,15517,6621
0,1,総数,4月,59802,50977,8825,45311,39502,5809,14491,11475,3016
0,1,総数,5月,34284,31040,3244,27184,24122,3062,7100,6918,182
0,1,総数,6月,29177,27738,1439,22913,21619,1294,6264,6119,145
0,1,総数,7月,30366,29080,1286,24087,22887,1200,6279,6193,86
0,1,総数,8月,29825,28392,1433,23402,21970,1432,6423,6422,1
0,1,総数,9月,27962,25166,2796,21921,19668,2253,6041,5498,543
0,1,総数,10月,30784,28652,2132,24300,22596,1704,6484,6056,428
0,1,総数,11月,25786,25057,729,20234,19657,577,5552,5400,152
0,1,総数,12月,26698,26391,307,20804,20867,-63,5894,5524,370
1,0,男,年計,240345,209080,31265,187196,161460,25736,53149,47620,5529
1,1,男,1月,14282,13047,1235,11303,10136,1167,2979,2911,68
1,1,男,2月,16170,14517,1653,12784,11382,1402,3386,3135,251
1,1,男,3月,52247,33368,18879,40606,24871,15735,11641,8497,3144
1,1,男,4月,32215,28487,3728,24301,21958,2343,7914,6529,1385
1,1,男,5月,18286,16887,1399,14402,13052,1350,3884,3835,49
1,1,男,6月,15624,15041,583,12214,11645,569,3410,3396,14
1,1,男,7月,16435,15860,575,13025,12470,555,3410,3390,20
1,1,男,8月,15858,15174,684,12405,11677,728,3453,3497,-44
1,1,男,9月,15125,13675,1450,11750,10584,1166,3375,3091,284
1,1,男,10月,16302,15738,564,12768,12344,424,3534,3394,140
1,1,男,11月,13600,13386,214,10616,10416,200,2984,2970,14
1,1,男,12月,14201,13900,301,11022,10925,97,3179,2975,204
2,0,女,年計,213788,176768,37020,168290,138035,30255,45498,38733,6765
2,1,女,1月,12896,11244,1652,10244,8887,1357,2652,2357,295
2,1,女,2月,14696,12447,2249,11732,9619,2113,2964,2828,136
2,1,女,3月,49158,28732,20426,38661,21712,16949,10497,7020,3477
2,1,女,4月,27587,22490,5097,21010,17544,3466,6577,4946,1631
2,1,女,5月,15998,14153,1845,12782,11070,1712,3216,3083,133
2,1,女,6月,13553,12697,856,10699,9974,725,2854,2723,131
2,1,女,7月,13931,13220,711,11062,10417,645,2869,2803,66
2,1,女,8月,13967,13218,749,10997,10293,704,2970,2925,45
2,1,女,9月,12837,11491,1346,10171,9084,1087,2666,2407,259
2,1,女,10月,14482,12914,1568,11532,10252,1280,2950,2662,288
2,1,女,11月,12186,11671,515,9618,9241,377,2568,2430,138
2,1,女,12月,12497,12491,6,9782,9942,-160,2715,2549,166
,,,,,,,,,,,,
東京都住民基本台帳人口移動報告/令和5年,,,,,,,,,,,,
第2表 他道府県との月別、男女別移動者数(令和5年) 外国人含む,,,,,,,,,,,,
注）－は転出超過数,,,,,,,,,,,,
性別階層(0:総数 1:男 2:女),,,,,,,,,,,,
年月階層(0:年計 1:月次),,,,,,,,,,,,
