国籍階層,国籍,年,移動階層,移動階層,地域,東京都/転入者数,東京都/転出者数,東京都/転入超過数,区部/転入者数,区部/転出者数,区部/転入超過数,市町村部/転入者数,市町村部/転出者数,市町村部/転入超過数
0,外国人含む,令和4,0,総数,総数(人),534089,496066,38023,384643,363223,21420,149446,132843,16603
0,外国人含む,令和4,0,総数,総数/構成比(%),100,100,,100,100,,100,100,
0,外国人含む,令和4,1,都内間移動,区部(人),50564,43738,6826,-,-,-,50564,43738,6826
0,外国人含む,令和4,1,都内間移動,区部/構成比(%),9.5,8.8,,,,,33.8,32.9,
0,外国人含む,令和4,1,都内間移動,市町村部(人),43738,50564,-6826,43738,50564,-6826,-,-,-
0,外国人含む,令和4,1,都内間移動,市町村部/構成比(%),8.2,10.2,,11.4,13.9,,,,
0,外国人含む,令和4,1,都内間移動,小計(人),94302,94302,0,43738,50564,-6826,50564,43738,6826
0,外国人含む,令和4,1,都内間移動,小計/構成比(%),17.7,19,,11.4,13.9,,33.83429466,32.9,
0,外国人含む,令和4,1,他道府県間移動,埼玉･千葉･神奈川県(人),199523,224322,-24799,153055,176661,-23606,46468,47661,-1193
0,外国人含む,令和4,1,他道府県間移動,埼玉･千葉･神奈川県/構成比(%),37.4,45.2,,39.8,48.6,,31.1,35.9,
0,外国人含む,令和4,1,他道府県間移動,その他の道府県(人),240264,177442,62822,187850,135998,51852,52414,41444,10970
0,外国人含む,令和4,1,他道府県間移動,その他の道府県/構成比(%),45,35.8,,48.8,37.4,,35.07219999,31.2,
0,外国人含む,令和4,1,他道府県間移動,小計(人),439787,401764,38023,340905,312659,28246,98882,89105,9777
0,外国人含む,令和4,1,他道府県間移動,小計/構成比(%),82.3,81,,88.6,86.1,,66.16570534,67.1,
0,外国人含む,令和5,0,総数,総数(人),548067,479782,68285,401407,347508,53899,146660,132274,14386
0,外国人含む,令和5,0,総数,総数/構成比(%),100,100,,100,100,,100,100,
0,外国人含む,令和5,1,都内間移動,区部(人),48013,45921,2092,-,-,-,48013,45921,2092
0,外国人含む,令和5,1,都内間移動,区部/構成比(%),8.8,9.6,,,,,32.7,34.7,
0,外国人含む,令和5,1,都内間移動,市町村部(人),45921,48013,-2092,45921,48013,-2092,-,-,-
0,外国人含む,令和5,1,都内間移動,市町村部/構成比(%),8.4,10,,11.4,13.8,,,,
0,外国人含む,令和5,1,都内間移動,小計(人),93934,93934,0,45921,48013,-2092,48013,45921,2092
0,外国人含む,令和5,1,都内間移動,小計/構成比(%),17.1,19.6,,11.4,13.8,,32.7,34.7,
0,外国人含む,令和5,1,他道府県間移動,埼玉･千葉･神奈川県(人),203359,212144,-8785,157423,165631,-8208,45936,46513,-577
0,外国人含む,令和5,1,他道府県間移動,埼玉･千葉･神奈川県/構成比(%),37.1,44.2,,39.2,47.7,,31.3,35.2,
0,外国人含む,令和5,1,他道府県間移動,その他の道府県(人),250774,173704,77070,198063,133864,64199,52711,39840,12871
0,外国人含む,令和5,1,他道府県間移動,その他の道府県/構成比(%),45.8,36.2,,49.3,38.5,,35.9,30.1,
0,外国人含む,令和5,1,他道府県間移動,小計(人),454133,385848,68285,355486,299495,55991,98647,86353,12294
0,外国人含む,令和5,1,他道府県間移動,小計/構成比(%),82.9,80.4,,88.6,86.2,,67.3,65.3,
1,日本人のみ,令和4,0,総数,総数(人),485272,451363,33909,347830,327943,19887,137442,123420,14022
1,日本人のみ,令和4,0,総数,総数/構成比(%),100,100,,100,100,,100,100,
1,日本人のみ,令和4,1,都内間移動,区部(人),46117,39886,6231,-,-,-,46117,39886,6231
1,日本人のみ,令和4,1,都内間移動,区部/構成比(%),9.5,8.8,,,,,33.6,32.3,
1,日本人のみ,令和4,1,都内間移動,市町村部(人),39886,46117,-6231,39886,46117,-6231,-,-,-
1,日本人のみ,令和4,1,都内間移動,市町村部/構成比(%),8.2,10.2,,11.5,14.1,,,,
1,日本人のみ,令和4,1,都内間移動,小計(人),86003,86003,0,39886,46117,-6231,46117,39886,6231
1,日本人のみ,令和4,1,都内間移動,小計/構成比(%),17.7,19.1,,11.5,14.1,,33.6,32.3,
1,日本人のみ,令和4,1,他道府県間移動,埼玉･千葉･神奈川県(人),176573,200748,-24175,134142,156583,-22441,42431,44165,-1734
1,日本人のみ,令和4,1,他道府県間移動,埼玉･千葉･神奈川県/構成比(%),36.4,44.5,,38.6,47.7,,30.9,35.8,
1,日本人のみ,令和4,1,他道府県間移動,その他の道府県(人),222696,164612,58084,173802,125243,48559,48894,39369,9525
1,日本人のみ,令和4,1,他道府県間移動,その他の道府県/構成比(%),45.9,36.5,,50,38.2,,35.6,31.9,
1,日本人のみ,令和4,1,他道府県間移動,小計(人),399269,365360,33909,307944,281826,26118,91325,83534,7791
1,日本人のみ,令和4,1,他道府県間移動,小計/構成比(%),82.3,80.9,,88.5,85.9,,66.4,67.7,
1,日本人のみ,令和5,0,総数,総数(人),491617,433128,58489,358266,310675,47591,133351,122453,10898
1,日本人のみ,令和5,0,総数,総数/構成比(%),100,100,,100,100,,100,100,
1,日本人のみ,令和5,1,都内間移動,区部(人),43249,41619,1630,-,-,-,43249,41619,1630
1,日本人のみ,令和5,1,都内間移動,区部/構成比(%),8.8,9.6,,,,,32.4,34,
1,日本人のみ,令和5,1,都内間移動,市町村部(人),41619,43249,-1630,41619,43249,-1630,-,-,-
1,日本人のみ,令和5,1,都内間移動,市町村部/構成比(%),8.5,10,,11.6,13.9,,,,
1,日本人のみ,令和5,1,都内間移動,小計(人),84868,84868,0,41619,43249,-1630,43249,41619,1630
1,日本人のみ,令和5,1,都内間移動,小計/構成比(%),17.3,19.6,,11.6,13.9,,32.4,34,
1,日本人のみ,令和5,1,他道府県間移動,埼玉･千葉･神奈川県(人),178014,188241,-10227,136565,145181,-8616,41449,43060,-1611
1,日本人のみ,令和5,1,他道府県間移動,埼玉･千葉･神奈川県/構成比(%),36.2,43.5,,38.1,46.7,,31.1,35.2,
1,日本人のみ,令和5,1,他道府県間移動,その他の道府県(人),228735,160019,68716,180082,122245,57837,48653,37774,10879
1,日本人のみ,令和5,1,他道府県間移動,その他の道府県/構成比(%),46.5,36.9,,50.3,39.3,,36.5,30.8,
1,日本人のみ,令和5,1,他道府県間移動,小計(人),406749,348260,58489,316647,267426,49221,90102,80834,9268
1,日本人のみ,令和5,1,他道府県間移動,小計/構成比(%),82.7,80.4,,88.4,86.1,,67.6,66,
,,,,,,,,,,,,,,
東京都住民基本台帳人口移動報告/令和5年,,,,,,,,,,,,,,
第10表　  区部･市町村部別移動者数とその割合の推移（令和4年～令和5年）,,,,,,,,,,,,,,
注）都内間移動は、区相互間及び市町村相互間移動を除く。-は転出超過数。,,,,,,,,,,,,,,
国籍階層（0:外国人含む　１:日本人のみ）,,,,,,,,,,,,,,
移動階層（0:総数　1:都内間移動・他道府県間移動）,,,,,,,,,,,,,,
