"年月[西暦]","調査項目","設問","考え","調査回答者の属性種別","調査回答者の属性","調査数[人]","そう思う[人]","ややそう思う[人]","どちらともいえない[人]","あまり思わない[人]","思わない[人]","無回答[人]"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","全体",,"558","9","17","55","117","315","45"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","男性（計）","231","5","9","30","56","116","15"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","男性 18～29歳","13","0","0","3","4","6","0"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","男性 30～39歳","38","1","2","0","7","24","4"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","男性 40～49歳","50","0","4","10","14","21","1"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","男性 50～59歳","47","0","0","3","16","25","3"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","男性 60～69歳","42","2","1","6","7","24","2"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","男性 70歳以上","40","2","2","7","8","16","5"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","男性 無回答","1","0","0","1","0","0","0"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","４　誰かに悩みを相談することは弱い人のすることだと思う","性・年代別","女性（計）","313","4","8","25","60","197","19"
