年月,三池港定期船回数（回）,三池港定期船トン数（トン）,三池港臨時船回数（回）,三池港臨時船トン数（トン）,三池港計回数（回）,三池港計トン数（トン）,阿古漁港定期船回数（回）,阿古漁港定期船トン数（トン）,阿古漁港臨時船回数（回）,阿古漁港臨時船トン数（トン）,阿古漁港計回数（回）,阿古漁港計トン数（トン）,伊ヶ谷漁港定期船回数（回）,伊ヶ谷漁港定期船トン数（トン）,伊ヶ谷漁港臨時船回数（回）,伊ヶ谷漁港臨時船トン数（トン）,伊ヶ谷漁港計回数（回）,伊ヶ谷漁港計トン数（トン）,御蔵島港定期船回数（回）,御蔵島港定期船トン数（トン）,御蔵島港臨時船回数（回）,御蔵島港臨時船トン数（トン）,御蔵島港計回数（回）,御蔵島港計トン数（トン）
4,26,"146,328",7,"3,259",33,"149,587",17,"95,888",8,"2,636",25,"98,524",9,"50,440",6,"2,650",15,"53,090",28,"157,001",9,"3,685",37,"160,686"
5,31,"173,355",3,"1,358",34,"174,713",25,"140,647",6,"2,273",31,"142,920",6,"32,708",5,"2,234",11,"34,942",51,"286,286",7,"3,035",58,"289,321"
6,35,"185,055",12,"16,273",47,"201,328",17,"88,998",7,"1,748",24,"90,746",7,"35,633",4,"7,435",11,"43,068",42,"222,066",7,"8,333",49,"230,399"
7,52,"295,412",11,"5,112",63,"300,524",6,"34,086",6,"1,747",12,"35,833",3,"17,043",3,"1,314",6,"18,357",47,"267,007",7,"2,694",54,"269,701"
8,33,"187,473",5,"2,339",38,"189,812",23,"130,663",10,"3,022",33,"133,685",6,"34,086",6,"2,736",12,"36,822",62,"352,222",6,"1,971",68,"354,193"
9,12,"68,172",2,920,14,"69,092",19,"109,611",8,"3,271",27,"112,882",22,"124,982",8,"3,710",30,"128,692",35,"199,671",5,"2,076",40,"201,747"
10,9,"51,129",2,920,11,"52,049",41,"235,011",12,"4,507",53,"239,518",5,"28,823",7,"3,304",12,"32,127",33,"189,145",8,"3,154",41,"192,299"
11,28,"160,740",6,"2,799",34,"163,539",29,"165,585",9,"3,145",38,"168,730",3,"17,043",7,"3,228",10,"20,271",39,"223,649",6,"2,243",45,"225,892"
12,35,"198,835",8,"3,947",43,"202,782",22,"127,072",6,"2,234",28,"129,306",2,"11,780",4,"1,860",6,"13,640",27,"155,059",6,"2,497",33,"157,556"
1,34,"194,826",4,1818,38,"196,644",7,"39,767",12,"4,067",19,"43,834",5,"28,405",3,"1,368",8,"29,773",13,"73,853",5,"1,515",18,"75,368"
2,30,"170,430",7,"31,987",37,"173,628",14,"76,534",8,"2,706",22,"82,240",2,"11,362",4,"1,752",6,"13,114",18,"102,258",7,"2,694",25,"104,952"
3,11,"62,491",3,"1,451",14,"63,942",35,"198,835",13,"4,967",48,"203,802",13,"73,853",8,"3,666",21,"77,519",45,"255,645",9,"3,692",54,"259,337"
合計,336,"1,894,246",70,"43,394",406,"1,937,640",255,"1,445,697",105,"36,323",360,"1,482,020",83,"466,158",65,"35,257",148,"501,415",440,"2,483,862",82,"37,589",522,"2,521,451"
31,250,"1,407,159",68,"31,381",318,"1,438,540",270,"1,504,932",121,"43,213",391,"1,548,145",138,"775,710",100,"45,460",238,"821,170",420,"2,349,503",80,"31,202",500,"2,380,705"
30,317,"1,780,207",109,"50,687",426,"1,830,894",262,"1,471,886",119,"45,459",381,"1,517,345",99,"554,840",83,"38,011",182,"592,851",429,"2,410,967",82,"35,444",511,"2,446,411"
29,291,"1,633,879",124,"58,364",415,"1,692,243",283,"1,582,230",122,"43,803",405,"1,626,033",89,"501,475",74,"35,040",163,"536,515",475,"2,663,336",88,"34,641",563,"2,697,977"
28,219,"1,232,426",97,"46,349",316,"1,278,775",300,"1,682,252",156,"56,651",456,"1,738,903",150,"840,437",138,"63,341",288,"903,778",471,"2,644,057",150,"60,846",621,"2,704,903"
27,232,"1,298,700",118,"67,594",350,"1,366,294",298,"1,648,153",134,"51,258",432,"1,699,411",152,"857,311",111,"50,435",263,"907,746",497,"2,768,337",95,"38,208",592,"2,806,545"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
