島名,事業項目,箇所名,施行地又は受益地,事業主体,着工年度（年）,完了年度（年）,全体計画事業費（千円）,全体計画国費（千円）,03年度予算当初事業費（千円）,03年度予算当初国費（千円）,03年度予算当初都費（千円）,03年度予算当初町村費（千円）,03年度予算当初その他費（千円）,備考事業概要,所感局
三宅島,離島活性化交付金（流通効率化事業含む）,三宅村,三宅村全域,村,H31,R3,0,0,5703,2851,0,0,0,三宅村人材確保事業,総務局
三宅島,特定有人国境離島地域社会維持推進交付金,三宅島,三宅島全域,村,H30,,0,0,4762,2380,0,1191,1191,雇用機会拡充事業,総務局
三宅島,離島漁業再生支援交付金,三宅村,三宅島全域,村,R2,R6,30060,15030,6012,3006,1503,1503,0,漁業の生産力向上に係る取組、漁業の再生に関する実践的な取組,産業労働局
三宅島,医療施設等設備整備費,へき地診療所施設等整備費補助,三宅村,村,,,0,0,12991,6495,3248,3248,0,へき地診療所を運営する町村に対し、施設の整備、または医療機器の整備に要する経費の一部を補助することにより、地域医療の確保と向上に資する。,福祉保健局
三宅島,へき地児童生徒援助費補助金,高度へき地修学旅行費,三宅村,村,R3,R3,2847,0,2847,1053,0,1794,0,児童生徒の修学旅行に要する経費を一部負担。年度単位で実施,教育庁
三宅島,その他（生活基盤施設耐震化等交付金）,水道施設等耐震化事業・生活基盤近代化事業・基幹改良,三宅村,村,R5,R5,513657,129258,52939,13773,25356,2110,11700,排水管整備事業,福祉保健局
三宅島,三宅島計,,,,,,546564,144288,85254,29558,30107,9846,12891,,
御蔵島,離島漁業再生支援交付金,御蔵島村,御蔵島全域,村,R6,R6,16740,8370,3348,1674,837,837,0,漁業の生産力向上に係る取組、漁業の再生に関する実践的な取組,産業労働局
御蔵島,医療施設等設備整備費,へき地診療所施設等整備費補助,,,,,0,0,17724,8250,4125,5349,0,へき地診療所を運営する町村に対し、施設の整備、または医療機器の整備に要する経費の一部を補助することにより、地域医療の確保と向上に資する。,福祉保健局
御蔵島,へき地児童生徒援助費補助金のうち離島高校生修学支援事業,離島高校生修学支援費,御蔵島村,村,R3,R3,900,0,900,450,0,450,0,高校修学のための居住費支援。年度単位で実施,教育庁
御蔵島,へき地児童生徒援助費補助金,高度へき地修学旅行費,御蔵島村,村,R3,R3,540,0,540,360,0,180,0,児童生徒の修学旅行に要する経費を一部負担。年度単位で実施,教育庁
御蔵島,その他（防災・安全交付金）,御蔵島環状線,御蔵島全域,都,R5,R5,157000,78500,0,0,0,0,0,災害防除,建設局
御蔵島,御蔵島計,,,,,,175180,86870,22512,10734,4962,6816,0,,
三宅支庁管内計,,,,,,,721744,231158,107766,40292,35069,16662,12891,,
