科目,02決算額（千円）,02構成比（％）,01決算額（千円）,01構成比（％）,対前年度増減額（千円）,増減率（％）
地方税,356929,7.3,362658,8.5,△5729,△1.6
地方譲与税,21988,0.5,20360,0.5,1628,8
利子割交付金,487,0,521,0,△34,△6.5
配当割交付金,2354,0,2590,0.1,△236,△9.1
株式等譲渡所得割交付金,2727,0.1,1593,0,1134,71.2
地方消費税交付金,56342,1.2,45662,1.1,10680,23.4
自動車取得税交付金,195,0,5624,0.1,△5429,△96.5
自動車税環境性能割交付金,3402,0.1,1987,0,1415,71.2
法人事業税交付金,713,0,,,713,皆増
地方特例交付金,2586,0.1,10491,0.2,△7905,△75.4
地方交付税,1455456,29.8,1345063,31.5,110393,8.2
交通安全対策特別交付金,1238,0,1092,0,146,13.4
分担金及び負担金,969,0,1064,0,△95,△8.9
使用料,57435,1.2,66299,1.6,△8864,△13.4
手数料,41191,0.8,24957,0.6,16234,65
国庫支出金,514518,10.5,85607,2,428911,501
都支出金,1622463,33.3,1356716,31.8,265747,19.6
財産収入,21718,0.4,17719,0.4,3999,22.6
寄附金,2355,0.1,3864,0.1,△1509,△39.1
繰入金,58619,1.2,223394,5.2,△164775,△73.8
繰越金,154595,3.2,130629,3.1,23966,18.3
諸収入,59123,1.2,49027,1.2,10096,20.6
村債,440824,9,514251,12,△73427,△14.3
合計,4878227,100,4271168,100,607059,14.2
