補助単独別,事業名,事業量,事業費（千円）,財源内訳国庫支出金（千円）,財源内訳都支出金（千円）,財源内訳地方債（千円）,財源内訳その他（千円）,財源内訳一般財源（千円）
単独,旧ヘリポート耐震補強工事,旧ヘリポート耐震補強,"41,162",,,,,"41,162"
補助,ユニットハウス設置工事,ユニットハウス2棟設置,"96,096",77258,,,,"18,838"
単独,産業センター減衰雑菌郡除去装置設置工事,減衰雑菌郡除去装置,"9,768",,,,,"9,768"
単独,焼却灰運搬コンテナ購入,焼却灰運搬コンテナ購入,"2,178",,,,,"2,178"
単独,集荷所改修工事,集荷所改修工事,"10,795",,,,5000,"5,795"
単独,鉢ヶ山モノレール整備工事,鉢ヶ山モノレール整備工事,"14,916",,9402,,,"5,514"
単独,水産物荷捌き施設改修工事,水産物荷捌き施設改修工事,"61,094",,45820,,,"15,274"
単独,ふれあい広場整備,バンガロー設置工事,"25,960",,12980,,,"12,980"
単独,村道赤沢線道路新設工事,H26年～R2年,"39,229",,19614,,,"19,615"
単独,えびね公園改修工事,えびね公園改修工事,"20,988",,20988,,,
単独,残土置き場整備工事,赤沢地区・イナサ地区残土置場,"33,770",,,,20000,"13,770"
補助,たりぼう・森山ヶ下地区住宅整備事業,仮設道路及び擁壁設置ほか,"20,900",3696,,,10000,"6,931"
単独,まえだいろ住宅整備事業,まえだいろ住宅整備事業,"88,649",,,,15000,"73,649"
単独,学校給食プレハブ冷蔵庫更新事業,学校給食プレハブ冷蔵庫設備更新,"6,233",,,,,"6,233"
単独,用地購入,庁舎用地・村道赤沢線用地,"9,435",,,,5000,"4,435"
,,,,,,,,
