科目,02決算額（千円）,02構成比（％）,01決算額（千円）,01構成比（％）,対前年度増減額（千円）,増減率（％）
地方税,43630,2.2,45236,2.8,△1606,△3.6
地方譲与税,1820,0.1,1639,0.1,181,11
利子割交付金,67,0.1,71,0,△4,△5.6
地方消費税交付金,7774,0.4,6334,0.4,1440,22.7
配当割交付金,325,0.1,358,0,△33,△9.2
株式等譲渡所得割交付金,378,0.1,221,0,157,71
地方特例交付金,318,0.1,442,0,△124,△28.1
地方交付税,411989,21.2,391225,24.5,20764,5.3
自動車取得税交付金,0,0,436,0,△436,△100
自動車税環境性能割交付金,263,0.1,153,0,110,71.9
使用料,17433,0.9,20158,1.3,△2725,△13.5
手数料,258,0.1,200,0,58,29
国庫支出金,158731,8.2,24295,1.5,134436,553.3
都道府県支出金,556399,28.6,666956,41.7,△110557,△16.6
財産収入,4158,0.2,3938,0.2,220,5.6
寄附金,360,0.1,600,0,△240,△40
分担金及び負担金,742,0.1,1081,0.1,△339,△31.4
繰入金,553338,28.5,241290,15.1,312048,129.3
繰越金,62926,3.2,46194,2.9,16732,36.2
諸収入,110536,5.6,139869,8.7,△29333,△21
地方債,10081,0.5,9000,0.6,1081,12
合計,1941526,100.4,1599696,100,341573,21.4
