科目,02決算額（千円）,02構成比（％）,01決算額（千円）,01構成比（％）,対前年度増減額01（千円）,増減率01（％）
議会費,12209,0.6,15129,1,△2920,△19.3
総務費,902446,47,853624,55.5,48822,5.7
民生費,93813,4.9,95943,6.2,△2130,△2.2
衛生費,261768,13.6,102287,6.7,159481,155.9
労働費,0,0,0,0,0,0
農林水産業費,136194,7.1,95934,6.2,40260,42
商工費,63099,3.3,70475,4.6,△7376,△10.5
土木費,289053,15.1,179383,11.7,109670,61.1
消防費,12568,0.7,9091,0.6,3477,38.2
教育費,80559,4.2,58036,3.8,22523,38.8
災害復旧費,0,0,0,0,0,0
公債費,66388,3.5,56868,3.7,9520,16.7
諸支出金,0,0,0,0,0,0
合計,1918097,100,1536770,100,381327,24.8
