事業区分,30年度施工箇所,30年度数量,30年度工事費（千円）,元年度施工箇所,元年度数量,元年度工事費（千円）,2年度施工箇所,2年度数量,2年度工事費（千円）
復旧治山,三宅村（阿古）,法面工（900ｍ2）,71775,三宅村（阿古）,法面工（490ｍ2）,45603,御蔵島村（卯辰川）,鋼製谷止工,61174
復旧治山,御蔵島村（卯辰川）,鋼製谷止工（1基）,33934,,,,三宅村（阿古）,法面工（821.1m?）,70950
都単林地荒廃復旧,三宅村（角屋敷沢）,谷止工（1基）,67217,三宅村（大久保）,流路浚渫等（1式）,483,三宅村（伊ヶ谷）,補強土工（581m?）,明繰
都単林地荒廃復旧,三宅村（榎木沢）,流路浚渫（1式）,7111,,,,御蔵島村（卯辰川）,護岸工（28.6m),明繰
都単林地荒廃復旧,三宅村（伊ヶ谷）,堰堤補修（1基）,5594,,,,,,
都単委託（災害）,三宅村（卯辰川）,測量・設計,5724,御蔵島村（卯辰川）,測量・設計,2398,御蔵島村（卯辰川）,機能強化,3465
都単委託（災害）,三宅村（金曽）,測量・設計,3240,御蔵島村（卯辰川）,全体計画作成,11220,三宅村（伊ヶ谷）,測量・設計,4389
都単委託（災害）,三宅村（金曽）,緑化試験区,1382,三宅村（島内一円）,機能強化強化,4400,御蔵島村（卯辰川）,測量・設計,3795
都単委託（災害）,三宅村（阿古）,機能強化,4320,三宅村（島内一円）,機能強化強化,4180,三宅村（夕景）,全体計画作成,10296
都単委託（災害）,三宅支庁,建設資材価格調査,166,三宅支庁,建設資材価格調査,132,三宅村（タデノ沢）,測量・設計,3729
都単委託（災害）,三宅支庁,建設資材調査委託,125,,,,三宅支庁,建設資材価格調整,242
