税目１,税目２,税目３,調定額現年課税分（千円）,調定額滞納繰越分（千円）,収入額現年課税分（千円）,収入額滞納繰越分（千円）,収入歩合現年（％）,収入歩合滞納（％）
普通税,村民税,個人,149894,4517,149110,2699,99.5,59.8
普通税,村民税,法人,12442,10,12272,10,98.6,100
普通税,村民税,計,162336,4527,161382,2709,99.4,59.8
普通税,固定資産税,純固定資産税,123853,7348,122385,2959,98.8,40.3
普通税,固定資産税,交付金,24775,0,24775,0,100,[sanitize]
普通税,固定資産税,計,148628,7348,147160,2959,99,40.3
普通税,軽自動車税,,13581,828,13537,460,99.7,55.6
普通税,たばこ税,,27726,0,27726,0,100,[sanitize]
普通税,特別土地保有税,,0,0,0,0,[sanitize],[sanitize]
普通税,入湯税,,995,0,995,0,100,[sanitize]
普通税,合計,,353266,12703,350800,6128,99.3,48.2
国民健康保険税,,,57994,8650,56560,5188,97.5,60
