区分,神着（箇所）,伊豆（箇所）,伊ヶ谷（箇所）,阿古（箇所）,坪田（箇所）,小計（箇所）,御蔵島（箇所）,合計（箇所）
総数,44,20,4,70,42,180,41,221
飲食店営業（旅館・ホテル以外）,13,6,1,21,14,55,8,63
飲食店営業（旅館・ホテル）,7,1,2,17,9,36,9,45
喫茶店営業,1,,,1,,2,,2
菓子製造業,3,2,,5,3,13,5,18
乳類販売業,3,1,,4,4,12,3,15
食肉販売業,3,1,,4,3,11,2,13
魚介類販売業,3,1,,6,3,13,3,16
魚介類せり売営業,,,,,,,,
食品の冷蔵業,,,,,,,2,2
清涼飲料水製造業,,,,,,,1,1
氷雪製造業,,,,,,,1,1
氷雪販売業,,,,2,,2,,2
酒類製造業,1,,,,,1,,1
そうざい製造業,1,1,,3,,5,,5
製菓材料等製造業,,,,,,,,
粉末食品製造業,,2,,,,2,1,3
調味料等製造業,,1,,,,1,,1
魚介類加工業,2,1,,,,3,2,5
食料品等販売業,3,1,1,7,4,16,2,18
卵選別包装業,4,,,,,4,,4
給食施設（届出）,,2,,,2,4,2,6
