科目,02決算額（千円）,02構成比（％）,01決算額（千円）,01構成比（％）,対前年度増減額01（千円）,増減率01（％）
議会費,44557,0.9,52740,1.3,△8183,△15.5
総務費,868755,18.3,677630,16.4,191125,28.2
民生費,801289,16.8,484124,11.7,317165,65.5
衛生費,612842,12.9,822586,20,△209744,△25.5
労働費,51541,1.1,53245,1.3,△1704,△3.2
農林水産業費,300793,6.3,208236,5.1,92557,44.5
商工費,302182,6.4,253293,6.1,48889,19.3
土木費,350104,7.4,511420,12.4,△161316,△31.5
消防費,700571,14.7,323817,7.9,376754,116.3
教育費,306139,6.4,369230,9,△63091,△17.1
災害復旧費,73164,1.5,81089,2,△7925,△9.8
公債費,257321,5.4,242263,5.9,15058,6.2
諸支出金,88190,1.9,36900,0.9,51290,139
合計,4757448,100,4116573,100,640875,15.6
