"年[西暦]","用途","建築物数[棟]","床面積の合計[平方メートル]"
"2014","居住専用住宅","245","303550"
"2014","居住専用準住宅","2","1075"
"2014","居住産業併用建築物","46","422528"
"2014","農林水産業用建築物","0","0"
"2014","鉱工・建設業用建築物","3","25991"
"2014","製造業用建築物","0","0"
"2014","電気・ガス・熱供給・水道業用建築物","1","447"
"2014","情報通信業用建築物","3","2238"
"2014","運輸業用建築物","9","1441"
"2014","卸売・小売業用建築物","18","9509"
"2014","金融・保険業用建築物","0","0"
"2014","不動産業用建築物","30","157059"
"2014","飲食店、宿泊業用建築物","22","24453"
"2014","教育、学習支援業用建築物","4","27834"
"2014","医療、福祉用建築物","5","10331"
"2014","その他のサービス業用建築物","89","11926"
"2014","公務用建築物","10","6362"
"2014","他に分類されない建築物","1","43"
"2014","合計","488","1004787"
"2015","居住専用住宅","219","220749"
"2015","居住専用準住宅","0","0"
"2015","居住産業併用建築物","38","82996"
"2015","農林水産業用建築物","1","222"
"2015","鉱工・建設業用建築物","0","0"
"2015","製造業用建築物","2","22354"
"2015","電気・ガス・熱供給・水道業用建築物","0","0"
"2015","情報通信業用建築物","15","2187"
"2015","運輸業用建築物","3","544"
"2015","卸売・小売業用建築物","21","14398"
"2015","金融・保険業用建築物","2","110704"
"2015","不動産業用建築物","47","123084"
"2015","飲食店、宿泊業用建築物","33","77408"
"2015","教育、学習支援業用建築物","2","1482"
"2015","医療、福祉用建築物","9","38877"
"2015","その他のサービス業用建築物","47","40727"
"2015","公務用建築物","9","17542"
"2015","他に分類されない建築物","1","70"
"2015","合計","449","753344"
"2016","居住専用住宅","234","153676"
"2016","居住専用準住宅","1","754"
"2016","居住産業併用建築物","25","92078"
"2016","農林水産業用建築物","0","0"
"2016","鉱工・建設業用建築物","2","2085"
"2016","製造業用建築物","4","12121"
"2016","電気・ガス・熱供給・水道業用建築物","1","4742"
"2016","情報通信業用建築物","6","655"
"2016","運輸業用建築物","7","1750"
"2016","卸売・小売業用建築物","13","27592"
"2016","金融・保険業用建築物","1","1489"
"2016","不動産業用建築物","18","29569"
"2016","飲食店、宿泊業用建築物","52","221993"
"2016","教育、学習支援業用建築物","2","24672"
"2016","医療、福祉用建築物","6","38007"
"2016","その他のサービス業用建築物","61","11828"
"2016","公務用建築物","6","580"
"2016","他に分類されない建築物","7","340"
"2016","合計","446","623931"
"2017","居住専用住宅","210","184465"
"2017","居住専用準住宅","0","0"
"2017","居住産業併用建築物","43","392843"
"2017","農林水産業用建築物","0","0"
"2017","鉱工・建設業用建築物","1","74"
"2017","製造業用建築物","0","0"
"2017","電気・ガス・熱供給・水道業用建築物","1","16"
"2017","情報通信業用建築物","2","69"
"2017","運輸業用建築物","9","8313"
"2017","卸売・小売業用建築物","20","9458"
"2017","金融・保険業用建築物","0","0"
"2017","不動産業用建築物","42","552011"
"2017","飲食店、宿泊業用建築物","41","130938"
"2017","教育、学習支援業用建築物","8","984"
"2017","医療、福祉用建築物","1","68"
"2017","その他のサービス業用建築物","27","194277"
"2017","公務用建築物","7","43116"
"2017","他に分類されない建築物","42","1743"
"2017","合計","454","1518375"
"2018","居住専用住宅","166","193657"
"2018","居住専用準住宅","0","0"
"2018","居住産業併用建築物","41","153746"
"2018","農林水産業用建築物","0","0"
"2018","鉱工・建設業用建築物","1","16"
"2018","製造業用建築物","1","323"
"2018","電気・ガス・熱供給・水道業用建築物","0","0"
"2018","情報通信業用建築物","7","280"
"2018","運輸業用建築物","9","34235"
"2018","卸売・小売業用建築物","17","12851"
"2018","金融・保険業用建築物","0","0"
"2018","不動産業用建築物","23","225791"
"2018","飲食店、宿泊業用建築物","61","54616"
"2018","教育、学習支援業用建築物","11","12793"
"2018","医療、福祉用建築物","9","68217"
"2018","その他のサービス業用建築物","48","95701"
"2018","公務用建築物","6","18589"
"2018","他に分類されない建築物","1","26"
"2018","合計","401","870841"

"令和2年度港区行政資料集　用途分類項目別建築物数","Ver202003",,
