補償金の種別,内容,分類,収用等の課税特例に該当するもの,交付の目的に従って使用した場合、総収入金額に算入しないもの
建物移転料,建物等の移転費用,移転補償金,-,○
建物移転料,建物等の移転費用,対価補償金,◎,-
工作物移転料,工作物等の移転費用,移転補償金,-,○
工作物移転料,工作物等の移転費用,対価補償金,◎,-
竹木土石等移転料,樹木の移植、庭石等の移転費用,移転補償金,-,○
竹木土石等移転料,樹木の移植、庭石等の移転費用,対価補償金,△,-
動産移転料,動産等の移転費用,移転補償金,-,○
仮住居補償,移転期間中の仮住居費用等,移転補償金,-,○
借家人補償,転居先の家屋賃借のための権利金等,対価補償金,◎,-
家賃減収補償,移転期間中の家賃の減収補償金,収益補償金,-,-
移転雑費,移転に伴う諸雑費,移転補償金,-,○
営業補償／営業休止,休止期間中の収益減の補償,収益補償金,-,-
営業補償／営業休止,経費補償（休業手当、固定的経費）,経費補償金,-,-
営業補償／仮営業,仮店舗等の設置及び借入に要する費用,経費補償金,-,-
農業補償,農業休止期間中の収益減補償金,収益補償金,-,-
