権利者別補償金の項目,建物所有者,占有者
建物移転料,曳家又は再築等の工法により、仮換地に移転していただくための費用です。／再築工法の場合には、建物解体費を含みます。,占有者が増築した部分については、建物所有者に準じて算定します。ただし、その部分の補償にあたっては、建物所有者との合意が必要です。
工作物移転料,門、塀などの構築物や電話、機械設備などの移転に要する費用です。,同左／ただし、占有者の所有物に限ります。
竹木土石等移転料,樹木の移植費若しくは伐採費及び庭石などの移転に要する費用です。,同左／ただし、占有者の所有物に限ります。
動産移転料,家財道具など建物内外にある動産の運搬に要する費用です。,同左
仮住居補償,建物を移転する期間中の仮住まいに要する費用です。,同左
借家人補償,-,同等の建物の賃借りに要する費用の補償です。賃借りの継続が著しく困難な場合に適用します。
家賃減収補償,移転期間中、賃貸料を得ることができないための減収分の補償です。ただし、アパート業等の場合は営業補償の扱いとなります。,-
移転雑費,建築確認申請など法令上の手続きに要する費用やその他移転に係る費用です。,同左
営業補償／休止補償,営業を休止するための補償です。／1.収益補償2.経費補償3.給料補償,同左
営業補償／仮営業所設置等の補償,営業の実態等により休業ができない場合、営業を継続していただくための補償です。仮営業所の設置又は借入に要する費用があります。ただし、この期間、休止補償はありません。,同左
農業補償,移転期間中、農業を休止したときの収益減の補償です。,同左
