"年月[西暦]","調査項目","設問","選択肢","回答数[件]","構成比[%]"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","クールビズ、ウォームビズの実践","84","65.1"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","空室の照明消灯及び必要な部分のみの照明点灯の徹底","75","58.1"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","夏季室温28度、冬季室温19度を目安とした空調の温度設定","45","34.9"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","ブラインド・カーテンのこまめな開閉による空調機器の負荷抑制","38","29.5"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","パソコンの省エネモード設定、離席・非使用時のログオフまたはシャットダウンの徹底","49","38.0"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","エレベーターの電力使用抑制のための階段利用の実践 ","20","15.5"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","用紙の適正使用の徹底","68","52.7"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","資源、ごみの分別利用の徹底","97","75.2"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","環境負荷の少ない交通手段の利用やカーシェアリングの活用","27","20.9"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","自動車を使用する際のエコドライブの実践","21","16.3"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","事業所周辺の清掃や地域の美化活動への参加","26","20.2"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","みなとタバコルールの周知・徹底","38","29.5"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","グリーン購入の実施","27","20.9"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","ノー残業デーの実施","46","35.7"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","環境保全に関わるボランティア活動への参加奨励","17","13.2"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","その他","0","0.0"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","特に周知・徹底していることはない","6","4.7"
"202003","環境に関する取組","Q3. 貴組織において、従業員に周知・徹底している環境に配慮した行動をお選びください。（○はいくつでも）","無回答","1","0.8"

"港区の環境に関する事業者アンケート調査結果・単純集計表・環境に関する取組Q3","Ver202003",,,,
