"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"202404","せせらぎ鍼灸院","東京都港区赤坂八丁目6番27号","スカイプラザ赤坂404","03-6824-2622","2024/4/19","はり、きゅう","35.671402","139.727762"
"202404","Ｐｈｉｌｉｐｓ　ｍａｓｓａｇｅ　Ｒｏｏｍ","東京都港区麻布台一丁目3番1号","麻布台ヒルズ森JPタワー15階","03-4486-5565","2024/4/1","あん摩、はり、きゅう","35.660882","139.740657"
"202404","株式会社電通総研　マッサージルーム","東京都港区港南二丁目17番1号","19階 株式会社電通総研","03-6713-9542","2024/4/1","あん摩、はり、きゅう","35.624577","139.739503"
"202404","ＴＭＥＳボディケアルーム","東京都港区芝浦三丁目1番21号","msbTamachi田町ステーションタワーS23階","03-3455-3600","2024/4/1","あん摩、はり、きゅう","35.645424","139.749466"
"202404","Ｅｎ鍼灸整骨院南青山","東京都港区南青山一丁目11番43号","南青山一丁目建物1F","03-4400-0439","2024/4/2","はり、きゅう","35.670408","139.726235"
"202404","メディカルトータル青山鍼灸院","東京都港区南青山二丁目18番5号","アエリア南青山802",,"2024/4/4","はり、きゅう","35.669253","139.720399"
"202404","青南針療院","東京都港区南青山三丁目7番5号","アルプスプラザ302号室","03-6721-0657","2024/4/30","はり、きゅう","35.666758","139.716439"
"202404","Ｓａｌｏｎ　ｄｅ　Ｌｅ　ｓｅｕｌ","東京都港区南麻布一丁目27番20号","カーサ麻布ルグラン901",,"2024/3/27","はり、きゅう","35.649923","139.734252"
"202405","Ｈａｌｉａｎ","東京都港区麻布十番二丁目8番12号","リレント麻布十番503",,"2024/4/3","あん摩、はり、きゅう","35.655463 ","139.734208 "
"202405","表参道　鍼灸　ＳＣＥＮＴ","東京都港区北青山三丁目5番44号","HT青山302","03-6721-0279","2024/5/15","はり、きゅう","35.666897","139.711868"
"202405","Ｋｅｅｐ在宅マッサージ","東京都港区白金一丁目25番23号","江塚マンション402","03-3445-8280","2024/5/1","あん摩、はり、きゅう","35.643802","139.731767"
"202405","みやび鍼灸院","東京都港区白金台三丁目2番16号","カーサデ・ベンターナ102","03-5860-2650","2024/5/15","はり、きゅう","35.637691","139.727346"
"202405","新橋　元氣計画治療院　指圧マッサージ・はり・きゅう","東京都港区新橋五丁目9番7号","第19大協ビル4階","03-3438-0949","2024/5/9","あん摩、はり、きゅう","35.663528","139.755501"
"202405","女性のための鍼灸サロンＨＡＬＩＤＡ","東京都港区高輪三丁目3番8号","アヴニール高輪3階",,"2024/5/13","はり、きゅう","35.634607","139.732366"
"202406","シンプレクス株式会社リラクゼーションルーム","東京都港区麻布台一丁目3番1号","麻布台ヒルズ森JPタワー18階","03-3539-7370","2024/6/1","あん摩","35.660882","139.740657"
"202406","オーロラマッサージ院品川・港区店","東京都港区白金台五丁目10番16号","ブライズ白金台403",,"2024/6/1","あん摩","35.641960","139.719965"
"202406","株式会社Ｏｎｅ　Ｌｅａｆ　Ｃｌｏｖｅｒリラクゼーションルーム","東京都港区新橋四丁目1番1号","新虎通りCORE6階","03-4550-6150","2024/6/20","あん摩","35.665253","139.753792"
"202407","桜琴鍼灸治療院","東京都港区赤坂二丁目14番31号",,"03-6426-5976","2024/7/29","はり、きゅう","35.672693","139.737281"
"202407","はりねずみ鍼灸マッサージ","東京都港区赤坂二丁目20番7号","第2成光ビル202",,"2024/7/15","あん摩、はり、きゅう","35.668708","139.739376"
"202407","カラダコーディネートラボ","東京都港区麻布十番一丁目10番3号","モンテプラザ麻布706",,"2024/7/6","はり、きゅう","35.656191","139.736423"
"202407","オンダスポーツ鍼灸院","東京都港区麻布十番二丁目3番7号","グリーンコート麻布十番701",,"2024/7/1","はり、きゅう","35.655342","139.735245"
"202407","鍼灸サロンＬｉｎｏ","東京都港区浜松町一丁目7番3号","第一ビル3階",,"2024/7/8","はり、きゅう","35.659214","139.757022"
"202407","ＨＯＳＨＩ鍼灸マッサージ院","東京都港区南麻布三丁目5番20号",,,"2024/7/1","あん摩、はり、きゅう","35.650561","139.729486"

"施術所（あはき）開設一覧(令和6年7月31日現在)","Ver202407",,,,,,,
