"年度[西暦]","内訳","健診 40歳以上 基本検査受診者[人]","健診 40歳以上 詳細・港区独自検査受診者[人]","健診 40歳以上 所見のある人[人]","区民健診(30健診)30歳以上39歳以下 受診者[人]","区民健診(30健診)30歳以上39歳以下 要指導[人]","区民健診(30健診)30歳以上39歳以下 要医療[人]"
"2018",,"22354","23988","20702","2616","1520","67"
"2019",,"22372","23923","20776","2609","1619","55"
"2020",,"19607","20892","18243","2509","1543","76"
"2021",,"21372","22843","20065","2642","1609","54"
"2022",,"20680","22102","19281","2382","1468","30"
"2022","特定健診","11163","11134","10076",,,
"2022","後期高齢者(長寿)医療制度の健診","8642","8642","8389",,,
"2022","基本健診","875","875","816",,,
"2022","集合契約",,"1451",,,,

"令和5年度港区行政資料集　健康診査","Ver202303",,,,,,
