名称,住所,電話
こども フローラ,練馬区下石神井2-35-16,03-3996-6699 
こどもくらぶ　じゃんけんぽん    ,練馬区西大泉2-12-5,03-3925-2150
明光学童クラブ石神井公園,練馬区石神井町3-17-16　ニューハイツ石神井公園1階,03-3904-5255
学童保育あそびーむ　 ,練馬区羽沢3-39-15,070-5021-3297
石保学童クラブ,練馬区南田中5-20-2,03-3996-0040
colors桜台二丁目学童クラブ,練馬区桜台2-46-12　ビアメゾン三井パート22 1階,03-6914-5691
りっこう学童クラブ,練馬区小竹町2-43-12,03-5986-0261
コビーアフタースクールせきまち,練馬区関町南3-11-16-501,03-6904-8752
明光学童クラブ南大泉,練馬区南大泉4-55-6　杉本ビル1階,03-3921-0025
キッズボイス中村橋学童クラブ,練馬区中村北4-2-6　LIVECITY90 1階,03-5848-6786
キッズクラブどろちゃん,練馬区大泉町4-29-13,03-5935-8910
関町南アフタースクール,練馬区関町南4-19-6　ブリリアシティ三鷹1階,03-6904-8090
明光学童クラブ大泉学園,練馬区西大泉1-1-16リバーサイド本橋2階,03-3978-0550
