項目名,全世帯／実数（円）,全世帯／対前年増加率／名目（％）,全世帯／対前年増加率／実質（％）,勤労者世帯／実数（円）,勤労者世帯／対前年増加率／名目（％）,勤労者世帯／対前年増加率／実質（％）
集計世帯数,7259,,,3924,,
世帯人員(人),2.9,,,3.23,,
有業人員(人),1.34,,,1.78,,
世帯主の配偶者のうち女の有業率（％）,41.2,,,55.5,,
世帯主の年齢 (歳),60.2,,,50.4,,
実収入,-,-,-,608182,-1.5,-5.1
経常収入,-,-,-,598050,-1.1,-4.7
勤め先収入,-,-,-,554801,-1.6,-5.2
世帯主収入,-,-,-,441862,-2,-5.6
世帯主収入うち男,-,-,-,418197,-1.8,-5.4
定期収入,-,-,-,359762,-1.5,-5.1
臨時収入,-,-,-,3831,-3.4,-6.9
賞与,-,-,-,78269,-4.3,-7.8
世帯主の配偶者の収入,-,-,-,97670,0.3,-3.4
世帯主の配偶者の収入うち女,-,-,-,94883,0.3,-3.4
他の世帯員収入,-,-,-,15269,-2.9,-6.5
事業・内職収入,-,-,-,4614,-7.3,-10.7
他の経常収入,-,-,-,38635,7.7,3.8
特別収入,-,-,-,10132,-20.9,-23.8
実収入以外の受取(繰入金を除く),-,-,-,454304,0.5,-
預貯金引出,-,-,-,335938,-3.1,-
実支出,-,-,-,432269,-1.2,-
消費支出,293997,1.1,-2.6,318755,-0.6,-4.2
食料,81738,5.5,-2.4,84552,5,-2.9
穀類,6551,3.3,-3.9,6681,3,-4.2
米,1632,2.5,-1.3,1552,2.8,-1
パン,2784,4.5,-3.3,2903,3.5,-4.3
麺類,1664,3.1,-7.2,1742,3,-7.3
他の穀類,472,-0.2,-5.3,484,0.4,-4.7
魚介類,5996,2.6,-8.2,5024,2.6,-8.2
生鮮魚介,3313,2.2,-6.8,2806,2.5,-6.5
塩干魚介,1075,4.9,-7.8,888,4.5,-8.2
魚肉練製品,728,2.2,-10.4,577,1.8,-10.8
他の魚介加工品,879,1.6,-12.7,753,1.3,-13
肉類,8041,2.1,-4.3,8475,0.9,-5.4
生鮮肉,6551,2.2,-4.5,6896,1.1,-5.5
加工肉,1489,1.4,-3.7,1580,-0.1,-5.1
乳卵類,4313,8.9,-6.1,4180,8.1,-6.8
牛乳,1309,4.9,-6.6,1210,3.5,-7.8
乳製品,1932,3.5,-8.4,1932,3.2,-8.7
卵,1072,26.6,-1.6,1038,25.5,-2.5
野菜・海藻,8860,1.8,-4.2,8068,1.5,-4.5
生鮮野菜,5919,1,-4.7,5509,0.9,-4.8
乾物・海藻,704,2.3,-4.3,619,1.5,-5.1
大豆加工品,1136,5,-3.1,1004,3.5,-4.5
他の野菜・海藻加工品,1100,2.6,-3,937,3.2,-2.5
果物,3093,4.6,-2.2,2459,4.8,-2
生鮮果物,2794,4.6,-2.5,2185,5.3,-1.9
果物加工品,298,3.5,1.5,274,0.7,-1.3
油脂・調味料,3892,1.8,-6.6,3876,1.8,-6.6
油脂,438,-0.7,-10.3,417,-1.4,-10.9
調味料,3454,2.1,-6.1,3460,2.3,-5.9
菓子類,7122,5.4,-4.2,7878,4.8,-4.7
調理食品,12307,4.8,-3.6,12529,3.7,-4.6
主食的調理食品,5275,5,-2.7,5397,3.1,-4.4
他の調理食品,7033,4.6,-4.3,7131,4.1,-4.8
飲料,5277,3.9,-3.3,5612,3.8,-3.4
茶類,1106,1.9,-2.4,1129,2.8,-1.5
コーヒー・ココア,1076,4.2,-1.9,1150,3.6,-2.4
他の飲料,3095,4.6,-4,3333,4.2,-4.4
酒類,3633,3.8,-2.5,3642,1.4,-4.8
外食,12653,16.3,10.3,16128,14,8.2
一般外食,11945,18.5,11.6,14938,16.6,9.8
学校給食,708,-11.4,-4.5,1190,-10.9,-4
住居,18006,-3.4,-6.9,18971,-5.7,-9.2
家賃地代,7962,-7.4,-7.5,10926,-6.6,-6.7
設備修繕・維持,10044,0,-6.1,8044,-4.4,-10.2
設備材料,3663,12.2,6.9,2892,0.1,-4.7
工事その他のサービス,6381,-5.9,-12.1,5152,-6.8,-13
光熱・水道,23855,-2.7,4.3,23566,-3.5,3.4
電気代,12265,-3.3,11.1,12185,-4,10.3
ガス代,5209,-0.4,1.2,5184,-0.8,0.8
他の光熱,1275,-9.2,-10.2,977,-11.5,-12.5
上下水道料,5106,-1.9,-2.7,5220,-3.4,-4.2
家具・家事用品,12190,0.6,-6.8,12855,-1.1,-8.3
家庭用耐久財,4132,-0.6,-6.5,4100,-6.2,-11.8
家事用耐久財,2070,-1.3,-6,2055,-6.1,-10.6
冷暖房用器具,1518,1.8,-6,1435,-3.6,-11
一般家具,544,-4.2,-9.4,609,-12.5,-17.2
室内装備・装飾品,745,3.9,-4.5,853,15,5.7
寝具類,752,-0.3,-5.3,846,1.3,-3.8
家事雑貨,2209,-2.2,-9.9,2576,-2.7,-10.3
家事用消耗品,3481,2.3,-8.4,3766,2.7,-8.1
家事サービス,871,4.6,3.3,714,-3,-4.2
被服及び履物,9297,2.1,-1.4,11344,0.5,-3
和服,77,-42.1,-43.5,122,-20.3,-22.2
洋服,3614,1.8,-0.7,4549,-2.8,-5.2
男子用洋服,1233,4.9,2.3,1563,-0.6,-3
婦人用洋服,2007,0.3,-2,2380,-4.5,-6.6
子供用洋服,374,-0.3,-3.6,606,-2.3,-5.5
シャツ・セーター類,1924,5.1,2,2264,4.1,1.1
男子用シャツ・セーター類,644,10.7,7,776,10.7,7
婦人用シャツ・セーター類,1135,2.6,-0.4,1251,0.6,-2.3
子供用シャツ・セーター類,145,2.1,0.6,238,3.5,2
下着類,908,1.7,-4.3,1019,3.6,-2.5
男子用下着類,281,2.6,-6.6,273,8.3,-1.4
婦人用下着類,526,1,-3.3,578,1.9,-2.4
子供用下着類,101,3.1,-3.4,168,2.4,-4
生地・糸類,89,-5.3,-,77,-15.4,-
他の被服,752,2.5,-1.1,903,4.6,1
履物類,1374,6.4,1,1714,4.9,-0.4
被服関連サービス,558,-3.8,-8.3,695,-2.4,-7
保健医療,14645,-0.4,-2.3,13515,-1.4,-3.2
医薬品,2662,1.2,-1.5,2409,4.6,1.9
健康保持用摂取品,1119,0,-,846,4.3,-
保健医療用品・器具,2689,-6.9,-12.4,3015,-8.7,-14.1
保健医療サービス,8175,1.3,1.3,7246,-0.6,-0.6
交通・通信,42693,3.1,0.6,51199,1,-1.5
交通,5224,21.2,18.5,6643,15.2,12.6
自動車等関係費,25274,3.2,1.9,30810,0.9,-0.4
自動車等購入,7259,6.7,4.9,9582,1,-0.7
自転車購入,336,-7.9,-15.6,417,-13.3,-20.5
自動車等維持,17679,2,1,20811,1.2,0.2
通信,12195,-3.2,-8.9,13746,-4.4,-10
教育,10446,-8.7,-9.8,16838,-7.1,-8.2
授業料等,7857,-6.2,-6.6,12599,-3.3,-3.7
教科書・学習参考教材,193,-9.4,-10.6,325,-7.9,-9.1
補習教育,2397,-15.9,-18.5,3914,-17.6,-20.2
教養娯楽,28630,7.5,3.1,31149,4.7,0.4
教養娯楽用耐久財,2032,-1.5,-3.4,2420,-6,-7.8
教養娯楽用品,6945,2.6,-3.2,7837,1.7,-4.1
書籍・他の印刷物,3006,-1.7,-5.1,2555,-3.1,-6.5
教養娯楽サービス,16646,12.9,8.5,18338,9,4.7
宿泊料,2207,28.2,9.3,2536,24.7,6.3
パック旅行費,2324,54.2,-,2070,49.7,-
月謝類,2702,-2.3,-4.4,3676,-5,-7
他の教養娯楽サービス,9413,7.5,6.2,10055,5.5,4.2
その他の消費支出,52498,-4.2,-7.7,54766,-7.2,-10.6
諸雑費,24791,-2.6,-3.9,26116,-4.3,-5.6
理美容サービス,3208,4.7,2.2,3420,5.4,2.9
理美容用品,4852,3.3,2.2,5571,4.1,3
身の回り用品,1654,0.1,-5.2,1961,-2,-7.2
たばこ,1141,-4.1,-4.6,1288,-3,-3.5
他の諸雑費,13937,-6.2,-6.3,13876,-9.6,-9.7
こづかい(使途不明) ,5890,-11.3,-14.5,7022,-14.3,-17.4
交際費,17058,1.9,-1.8,14675,-0.9,-4.5
食料,4817,9.1,-,3886,10.2,-
家具・家事用品,185,-31.2,-,200,-37.1,-
被服及び履物,347,-10.6,-,319,-5.9,-
教養娯楽,1135,16.3,-,884,10.5,-
他の物品サービス,448,1.6,-,401,-10.3,-
贈与金,6895,-1.5,-,4842,-8.3,-
他の交際費,3231,-0.3,-,4143,1,-
仕送り金,4759,-20.5,-23.4,6953,-20.6,-23.5
非消費支出,-,-,-,113514,-2.8,-
勤労所得税,-,-,-,19684,-7.3,-
個人住民税,-,-,-,19553,-4.1,-
他の税,-,-,-,7308,-6.5,-
社会保険料,-,-,-,66896,-0.4,-
実支出以外の支払(繰越金を除く),-,-,-,654396,0.3,-
預貯金,-,-,-,492989,-1.1,-
可処分所得,-,-,-,494668,-1.2,-4.8
黒字,-,-,-,175913,-2.4,-
金融資産純増,-,-,-,174966,1.7,-
貯蓄純増,-,-,-,171990,2.2,-
預貯金純増,-,-,-,157052,3.3,-
保険純増,-,-,-,14938,-7.6,-
有価証券純購入,-,-,-,2976,-21.9,-
土地家屋借金純減,-,-,-,36892,3.7,-
クレジット購入借入金純減,-,-,-,-16084,-,-
平均消費性向（％）,-,-,-,64.4,-,-
貯蓄純増(平均貯蓄率) （％）　　　　,-,-,-,34.8,-,-
エンゲル係数（％）,27.8,-,-,26.5,-,-
,,,,,,
東京都生計分析調査　令和５年,,,,,,
参考表１　１世帯当たり年平均１か月間の収入と支出－全国,,,,,,
注1） 内訳は主要項目を掲げたため、内訳を足し上げても必ずしも合計とは一致しない。,,,,,,
注2） 「その他の消費支出」、「こづかい（使途不明）」、「交際費」及び「仕送り金」は、消費者物価指数（持家の帰属家賃を除く総合）を用いて実質化している。,,,,,,
注3） 令和５年平均,,,,,,
資料）「家計調査結果」（総務省統計局）を加工して作成,,,,,,
