1,"東京都生計分析調査　令和 5年 9月","","","","","","","","","","","","","","","","","","",""
2,"","","","第１１表　生計支出７分位階層別１世帯当たり１か月間の公共的料金支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","","項目（0：世帯数等　1：公共料金等　2：準公共料金等）","","","","","","","","","","","","","","","",""
4,"項目","階層","項目名","都平均／実数（円）","都平均／負担率（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／負担率（％）","第2階層／実数（円）","第2階層／負担率（％）","第3階層／実数（円）","第3階層／負担率（％）","第4階層／実数（円）","第4階層／負担率（％）","第5階層／実数（円）","第5階層／負担率（％）","第6階層／実数（円）","第6階層／負担率（％）","第7階層／実数（円）","第7階層／負担率（％）"
5,"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","0","調査世帯数",627,-,-,97,-,88,-,92,-,94,-,88,-,84,-,84,-
7,"0","0","世帯人員",2.97,-,-,2.62,-,2.98,-,2.80,-,2.91,-,3.08,-,3.31,-,3.07,-
8,"0","0","有業人員",1.36,-,-,1.11,-,1.27,-,1.14,-,1.36,-,1.46,-,1.51,-,1.65,-
9,"0","0","世帯主平均年齢",59.5,-,-,64.3,-,61.5,-,61.1,-,60.3,-,54.8,-,57.6,-,56.7,-
10,"0","0","消費支出",314314,-,-2.8,101416,-,162887,-,211194,-,265218,-,320928,-,404608,-,731410,-
11,"0","0","公共的料金",84399,26.9,-10.8,24043,23.7,38769,23.8,54723,25.9,71788,27.1,86282,26.9,88889,22.0,225756,30.9
12,"1","0","公共料金等",53425,17.0,-9.5,21491,21.2,31981,19.6,42373,20.1,53865,20.3,59373,18.5,71454,17.7,93127,12.7
13,"1","1","米",1630,0.5,3.3,1624,1.6,1342,0.8,1536,0.7,1548,0.6,2195,0.7,1722,0.4,1439,0.2
14,"1","1","食塩",38,0.0,-11.6,14,0.0,35,0.0,28,0.0,25,0.0,36,0.0,71,0.0,59,0.0
15,"1","1","学校給食",395,0.1,-51.1,60,0.1,389,0.2,425,0.2,175,0.1,413,0.1,730,0.2,566,0.1
16,"1","1","公営家賃",495,0.2,-87.4,49,0.0,216,0.1,1304,0.6,1181,0.4,722,0.2,-,-,-,-
17,"1","1","電気代",11337,3.6,-12.9,6025,5.9,9503,5.8,11435,5.4,10344,3.9,12228,3.8,16052,4.0,13693,1.9
18,"1","1","都市ガス",2731,0.9,-22.3,1801,1.8,2072,1.3,2679,1.3,2874,1.1,2918,0.9,3441,0.9,3322,0.5
19,"1","1","上下水道料",4439,1.4,5.5,2364,2.3,3366,2.1,4574,2.2,5901,2.2,4763,1.5,4675,1.2,5438,0.7
20,"1","1","医科診療代",3938,1.3,-4.9,1812,1.8,2120,1.3,3157,1.5,4651,1.8,4255,1.3,4151,1.0,7414,1.0
21,"1","1","歯科診療代",2307,0.7,-14.2,463,0.5,778,0.5,1688,0.8,4100,1.5,2540,0.8,1346,0.3,5255,0.7
22,"1","1","出産入院料",19,0.0,...,-,-,-,-,-,-,-,-,-,-,131,0.0,-,-
23,"1","1","他の入院料",1314,0.4,-21.5,-,-,456,0.3,-,-,1796,0.7,-,-,-,-,6955,1.0
24,"1","1","鉄道運賃",3596,1.1,38.9,246,0.2,1417,0.9,1744,0.8,1521,0.6,3707,1.2,7475,1.8,8987,1.2
25,"1","1","鉄道通学定期代",624,0.2,-37.2,150,0.1,-,-,151,0.1,644,0.2,481,0.1,468,0.1,2472,0.3
26,"1","1","鉄道通勤定期代",2448,0.8,34.0,8,0.0,702,0.4,7,0.0,268,0.1,4867,1.5,6163,1.5,5049,0.7
