1,東京都生計分析調査　令和 5年 1月,,,,,,,,,,,,,,,,,,,
2,,,,第１１表　生計支出７分位階層別１世帯当たり１か月間の公共的料金支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,項目（0：世帯数等　1：公共料金等　2：準公共料金等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
5,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,0,0,調査世帯数,590,-,-,86,-,85,-,81,-,85,-,85,-,83,-,85,-
7,0,0,世帯人員,2.93,-,-,2.50,-,2.86,-,2.88,-,2.84,-,2.83,-,3.13,-,3.43,-
8,0,0,有業人員,1.45,-,-,1.05,-,1.21,-,1.31,-,1.59,-,1.41,-,1.72,-,1.82,-
9,0,0,世帯主平均年齢,59.7,-,-,66.5,-,60.8,-,62.2,-,58.4,-,56.9,-,58.1,-,55.0,-
10,0,0,消費支出,342467,-,9.3,110891,-,177665,-,234053,-,291004,-,349521,-,434718,-,792565,-
11,0,0,公共的料金,93164,27.2,18.6,34103,30.8,55005,31.0,76697,32.8,86670,29.8,107800,30.8,103351,23.8,186897,23.6
12,1,0,公共料金等,64984,19.0,20.1,29197,26.3,44590,25.1,57029,24.4,69829,24.0,73185,20.9,81657,18.8,98603,12.4
13,1,1,米,1629,0.5,8.7,1597,1.4,1451,0.8,1261,0.5,1439,0.5,1582,0.5,1636,0.4,2429,0.3
14,1,1,食塩,36,0.0,5.9,13,0.0,34,0.0,47,0.0,49,0.0,15,0.0,58,0.0,35,0.0
15,1,1,学校給食,982,0.3,46.1,153,0.1,715,0.4,649,0.3,990,0.3,925,0.3,1293,0.3,2123,0.3
16,1,1,公営家賃,3793,1.1,14.4,2212,2.0,1531,0.9,6080,2.6,3254,1.1,6552,1.9,2725,0.6,4181,0.5
17,1,1,電気代,13983,4.1,39.9,7620,6.9,10780,6.1,12099,5.2,16682,5.7,14480,4.1,16915,3.9,19171,2.4
18,1,1,都市ガス,10292,3.0,40.1,5802,5.2,8189,4.6,10284,4.4,10807,3.7,12485,3.6,12958,3.0,11443,1.4
19,1,1,上下水道料,5259,1.5,32.9,2988,2.7,3706,2.1,4484,1.9,5840,2.0,5788,1.7,6505,1.5,7449,0.9
20,1,1,医科診療代,3402,1.0,-4.5,1671,1.5,2629,1.5,2806,1.2,4037,1.4,3273,0.9,4896,1.1,4471,0.6
21,1,1,歯科診療代,1283,0.4,-48.7,368,0.3,674,0.4,643,0.3,780,0.3,878,0.3,1547,0.4,4056,0.5
22,1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,1,1,他の入院料,1937,0.6,249.0,319,0.3,445,0.3,2337,1.0,2292,0.8,1617,0.5,2300,0.5,4224,0.5
24,1,1,鉄道運賃,3447,1.0,52.8,361,0.3,1971,1.1,1336,0.6,1992,0.7,5191,1.5,5688,1.3,7490,0.9
25,1,1,鉄道通学定期代,335,0.1,238.4,-,-,139,0.1,-,-,384,0.1,222,0.1,374,0.1,1210,0.2
26,1,1,鉄道通勤定期代,2092,0.6,62.3,52,0.0,1192,0.7,1253,0.5,2284,0.8,2472,0.7,1099,0.3,6222,0.8
27,1,1,バス代,372,0.1,146.4,77,0.1,50,0.0,270,0.1,366,0.1,760,0.2,500,0.1,571,0.1
