1,東京都生計分析調査　令和 5年 2月,,,,,,,,,,,,,,,,,,,
2,,,,第１６表　生計支出７分位階層別１世帯当たり１か月間の財・サービス別支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,注1)財・サービス別結果は、品目別分類を再分類して集計した。,,,,,,,,,,,,,,,,
4,,,,注2)消費支出には、「こづかい」、「贈与金」、「他の交際費」及び「仕送り金」は含まれていない。,,,,,,,,,,,,,,,,
5,,,,項目（0：世帯数等、消費支出等　1：耐久財　2：半耐久財　3：非耐久財　4：サービス）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
6,区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
7,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
8,0,0,調査世帯数,601,-,-,83,-,85,-,87,-,90,-,88,-,85,-,83,-
9,0,0,世帯人員,2.92,-,-,2.64,-,2.71,-,2.75,-,3.03,-,2.91,-,2.88,-,3.48,-
10,0,0,有業人員,1.41,-,-,1.01,-,1.12,-,1.20,-,1.66,-,1.50,-,1.59,-,1.80,-
11,0,0,世帯主平均年齢,59.8,-,-,66.6,-,63.0,-,59.7,-,60.3,-,59.0,-,56.3,-,53.8,-
12,0,0,消費支出,283051,100.0,6.0,101567,100.0,156326,100.0,197874,100.0,244592,100.0,290515,100.0,355361,100.0,632646,100.0
13,1,0,商品,154608,54.6,3.2,81063,79.8,112900,72.2,122965,62.1,153254,62.7,162939,56.1,191693,53.9,256323,40.5
14,1,1,耐久財,10159,3.6,-25.4,890,0.9,2178,1.4,2043,1.0,4686,1.9,8462,2.9,11714,3.3,41019,6.5
15,1,2,半耐久財,18555,6.6,4.9,4295,4.2,7828,5.0,9673,4.9,11897,4.9,19459,6.7,31281,8.8,45245,7.2
16,1,3,非耐久財,125894,44.5,6.2,75877,74.7,102894,65.8,111249,56.2,136672,55.9,135019,46.5,148698,41.8,170059,26.9
17,1,0,サービス,128444,45.4,9.5,20504,20.2,43427,27.8,74909,37.9,91338,37.3,127576,43.9,163667,46.1,376323,59.5
18,2,0,食料,87126,30.8,8.8,53087,52.3,71149,45.5,72580,36.7,90209,36.9,90078,31.0,106570,30.0,125671,19.9
19,2,3,非耐久財,71214,25.2,2.6,48446,47.7,59773,38.2,63344,32.0,75251,30.8,71389,24.6,83118,23.4,96849,15.3
20,2,4,サービス,15912,5.6,49.3,4642,4.6,11377,7.3,9235,4.7,14957,6.1,18688,6.4,23451,6.6,28822,4.6
21,2,0,住居,24197,8.5,-19.7,1915,1.9,3079,2.0,18469,9.3,14655,6.0,33526,11.5,26261,7.4,71185,11.3
22,2,1,耐久財,2368,0.8,3.5,-,-,84,0.1,71,0.0,-,-,-,-,-,-,16406,2.6
23,2,2,半耐久財,204,0.1,-37.6,14,0.0,165,0.1,193,0.1,461,0.2,343,0.1,185,0.1,62,0.0
24,2,4,サービス,21625,7.6,-21.4,1901,1.9,2830,1.8,18205,9.2,14193,5.8,33182,11.4,26076,7.3,54716,8.6
25,2,0,光熱・水道（非耐久財）,33282,11.8,14.1,16914,16.7,29422,18.8,30988,15.7,39012,15.9,39854,13.7,38239,10.8,38243,6.0
26,2,0,家具・家事用品,8306,2.9,-5.8,2821,2.8,5555,3.6,5408,2.7,9078,3.7,8061,2.8,12177,3.4,14958,2.4
27,2,1,耐久財,2210,0.8,-28.5,244,0.2,1150,0.7,960,0.5,3133,1.3,1707,0.6,4018,1.1,4230,0.7
28,2,2,半耐久財,2477,0.9,-3.8,761,0.7,1831,1.2,1644,0.8,1948,0.8,2933,1.0,3471,1.0,4721,0.7
29,2,3,非耐久財,2889,1.0,4.6,1754,1.7,2293,1.5,2545,1.3,3334,1.4,3218,1.1,3657,1.0,3401,0.5
30,2,4,サービス,730,0.3,90.6,63,0.1,281,0.2,260,0.1,664,0.3,203,0.1,1030,0.3,2606,0.4
31,2,0,被服及び履物,8281,2.9,7.7,2324,2.3,3370,2.2,4506,2.3,5509,2.3,9444,3.3,15072,4.2,17649,2.8
32,2,2,半耐久財,7896,2.8,8.7,2097,2.1,3255,2.1,4046,2.0,5163,2.1,8828,3.0,14748,4.2,17048,2.7
33,2,4,サービス,385,0.1,-10.0,228,0.2,115,0.1,461,0.2,346,0.1,616,0.2,324,0.1,601,0.1
34,2,0,保健医療,16525,5.8,28.8,5655,5.6,7427,4.8,9236,4.7,13763,5.6,18994,6.5,22443,6.3,37989,6.0
35,2,1,耐久財,1794,0.6,76.2,-,-,317,0.2,425,0.2,863,0.4,2463,0.8,2906,0.8,5550,0.9
36,2,2,半耐久財,289,0.1,-7.7,48,0.0,335,0.2,24,0.0,99,0.0,1111,0.4,341,0.1,54,0.0
37,2,3,非耐久財,5725,2.0,8.9,3374,3.3,3469,2.2,4338,2.2,6255,2.6,5893,2.0,7457,2.1,9256,1.5
38,2,4,サービス,8718,3.1,39.6,2234,2.2,3306,2.1,4449,2.2,6545,2.7,9528,3.3,11739,3.3,23128,3.7
39,2,0,交通・通信,26158,9.2,-12.7,6802,6.7,11388,7.3,17454,8.8,22002,9.0,29574,10.2,41751,11.7,53864,8.5
40,2,1,耐久財,2088,0.7,-55.5,565,0.6,22,0.0,9,0.0,396,0.2,1387,0.5,3045,0.9,9178,1.5
41,2,2,半耐久財,1302,0.5,-20.2,228,0.2,79,0.1,448,0.2,292,0.1,1308,0.5,3667,1.0,3082,0.5
42,2,3,非耐久財,1754,0.6,-19.1,671,0.7,796,0.5,1634,0.8,2191,0.9,1797,0.6,2095,0.6,3081,0.5
43,2,4,サービス,21014,7.4,-2.2,5338,5.3,10491,6.7,15362,7.8,19123,7.8,25082,8.6,32943,9.3,38523,6.1
44,2,0,教育,16280,5.8,22.9,139,0.1,1526,1.0,4069,2.1,3785,1.5,2818,1.0,15579,4.4,85940,13.6
45,2,3,非耐久財,367,0.1,567.3,-,-,11,0.0,15,0.0,21,0.0,8,0.0,181,0.1,2332,0.4
46,2,4,サービス,15913,5.6,20.6,139,0.1,1515,1.0,4053,2.0,3764,1.5,2810,1.0,15399,4.3,83609,13.2
47,2,0,教養娯楽,32910,11.6,14.8,6835,6.7,13654,8.7,20093,10.2,25490,10.4,31923,11.0,42370,11.9,89672,14.2
48,2,1,耐久財,1534,0.5,-24.4,69,0.1,367,0.2,473,0.2,148,0.1,2839,1.0,1684,0.5,5124,0.8
49,2,2,半耐久財,3865,1.4,-12.3,973,1.0,1172,0.7,2496,1.3,2831,1.2,2812,1.0,6795,1.9,9954,1.6
50,2,3,非耐久財,5438,1.9,9.1,2731,2.7,4104,2.6,4837,2.4,5009,2.0,6425,2.2,6200,1.7,8712,1.4
51,2,4,サービス,22073,7.8,28.1,3062,3.0,8011,5.1,12286,6.2,17501,7.2,19847,6.8,27691,7.8,65882,10.4
52,2,0,諸雑費,29987,10.6,13.0,5074,5.0,9755,6.2,15071,7.6,21091,8.6,26244,9.0,34900,9.8,97475,15.4
53,2,1,耐久財,166,0.1,-66.8,11,0.0,238,0.2,104,0.1,145,0.1,66,0.0,61,0.0,531,0.1
54,2,2,半耐久財,2520,0.9,113.7,175,0.2,990,0.6,822,0.4,1102,0.5,2123,0.7,2074,0.6,10324,1.6
55,2,3,非耐久財,5227,1.8,12.5,1988,2.0,3026,1.9,3547,1.8,5599,2.3,6435,2.2,7751,2.2,8184,1.3
56,2,4,サービス,22074,7.8,9.2,2900,2.9,5501,3.5,10598,5.4,14245,5.8,17620,6.1,25013,7.0,78435,12.4
