1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","","","","",""
2,"","","第２６表　勤め先収入７分位階層別１世帯当たり年平均１か月間の基礎的・選択的支出　―　勤労者世帯　―","","","","","","","","","","","","","","","",""
3,"","","項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","",""
4,"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
5,"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","調査世帯数",331,-,-,48,-,49,-,47,-,48,-,47,-,47,-,46,-
7,"0","世帯人員",3.27,-,-,2.96,-,3.11,-,3.29,-,3.30,-,3.41,-,3.39,-,3.42,-
8,"0","有業人員",1.77,-,-,1.61,-,1.66,-,1.68,-,1.71,-,1.88,-,1.93,-,1.95,-
9,"0","世帯主平均年齢",50.3,-,-,56.3,-,52.0,-,49.3,-,47.4,-,48.4,-,49.4,-,49.3,-
10,"0","消費支出",363224,100.0,3.7,256926,100.0,301582,100.0,324653,100.0,345039,100.0,375738,100.0,439700,100.0,499025,100.0
11,"2","基礎的支出",181115,49.9,3.2,157235,61.2,176164,58.4,169602,52.2,170661,49.5,180630,48.1,204648,46.5,208776,41.8
12,"3","選択的支出",182109,50.1,4.3,99691,38.8,125418,41.6,155050,47.8,174378,50.5,195107,51.9,235051,53.5,290249,58.2
13,"1","食料",104786,28.8,10.1,92017,35.8,90498,30.0,93006,28.6,100064,29.0,106065,28.2,115132,26.2,136561,27.4
14,"2","基礎的支出",76796,21.1,8.3,72816,28.3,68821,22.8,71103,21.9,73880,21.4,76997,20.5,81138,18.5,92781,18.6
15,"3","選択的支出",27990,7.7,15.6,19202,7.5,21677,7.2,21903,6.7,26184,7.6,29068,7.7,33994,7.7,43780,8.8
16,"1","住居",28036,7.7,1.1,20808,8.1,29908,9.9,23237,7.2,27678,8.0,27948,7.4,43225,9.8,23651,4.7
17,"2","基礎的支出",25979,7.2,6.1,20305,7.9,28845,9.6,22551,6.9,24718,7.2,23776,6.3,40365,9.2,21538,4.3
18,"3","選択的支出",2056,0.6,-36.6,503,0.2,1064,0.4,685,0.2,2960,0.9,4173,1.1,2860,0.7,2113,0.4
19,"1","光熱・水道",22587,6.2,-1.8,20130,7.8,20752,6.9,24103,7.4,21783,6.3,24566,6.5,23015,5.2,23702,4.7
20,"2","基礎的支出",22587,6.2,-1.8,20130,7.8,20752,6.9,24103,7.4,21783,6.3,24566,6.5,23015,5.2,23702,4.7
21,"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"1","家具・家事用品",14520,4.0,2.4,10621,4.1,12060,4.0,12589,3.9,16733,4.8,15626,4.2,16383,3.7,17523,3.5
23,"2","基礎的支出",10069,2.8,11.6,7909,3.1,9233,3.1,8867,2.7,9780,2.8,10648,2.8,12168,2.8,11812,2.4
24,"3","選択的支出",4452,1.2,-13.7,2712,1.1,2827,0.9,3722,1.1,6953,2.0,4978,1.3,4216,1.0,5712,1.1
25,"1","被服及び履物",13580,3.7,-9.0,8322,3.2,9320,3.1,11171,3.4,12106,3.5,15865,4.2,17494,4.0,20914,4.2
26,"2","基礎的支出",748,0.2,-2.2,505,0.2,659,0.2,708,0.2,719,0.2,691,0.2,945,0.2,1015,0.2
27,"3","選択的支出",12832,3.5,-9.4,7817,3.0,8660,2.9,10463,3.2,11387,3.3,15174,4.0,16549,3.8,19899,4.0
28,"1","保健医療",15344,4.2,-4.3,11386,4.4,17462,5.8,12970,4.0,14409,4.2,15652,4.2,16187,3.7,19416,3.9
29,"2","基礎的支出",12571,3.5,-4.1,10120,3.9,14750,4.9,11067,3.4,11931,3.5,12373,3.3,12658,2.9,15214,3.0
30,"3","選択的支出",2773,0.8,-5.3,1266,0.5,2712,0.9,1903,0.6,2478,0.7,3279,0.9,3529,0.8,4202,0.8
31,"1","交通・通信",40903,11.3,5.5,22406,8.7,35774,11.9,46588,14.4,39686,11.5,39625,10.5,52266,11.9,50405,10.1
