1,"東京都生計分析調査　令和 5年11月","","","","","","","","","","","","","","","","","","",""
2,"","","","第１１表　生計支出７分位階層別１世帯当たり１か月間の公共的料金支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","","項目（0：世帯数等　1：公共料金等　2：準公共料金等）","","","","","","","","","","","","","","","",""
4,"項目","階層","項目名","都平均／実数（円）","都平均／負担率（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／負担率（％）","第2階層／実数（円）","第2階層／負担率（％）","第3階層／実数（円）","第3階層／負担率（％）","第4階層／実数（円）","第4階層／負担率（％）","第5階層／実数（円）","第5階層／負担率（％）","第6階層／実数（円）","第6階層／負担率（％）","第7階層／実数（円）","第7階層／負担率（％）"
5,"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","0","調査世帯数",625,-,-,90,-,92,-,90,-,88,-,91,-,84,-,90,-
7,"0","0","世帯人員",2.93,-,-,2.81,-,2.60,-,2.89,-,2.97,-,3.17,-,3.08,-,3.00,-
8,"0","0","有業人員",1.35,-,-,1.14,-,1.18,-,1.26,-,1.28,-,1.56,-,1.36,-,1.69,-
9,"0","0","世帯主平均年齢",59.8,-,-,62.7,-,63.7,-,60.2,-,58.9,-,57.9,-,57.8,-,57.6,-
10,"0","0","消費支出",318458,-,-8.1,102806,-,168011,-,224473,-,273070,-,335032,-,427320,-,694616,-
11,"0","0","公共的料金",73448,23.1,-19.0,22678,22.1,42705,25.4,59589,26.5,70508,25.8,77334,23.1,80357,18.8,159921,23.0
12,"1","0","公共料金等",51217,16.1,-18.8,18973,18.5,34107,20.3,45303,20.2,49069,18.0,54592,16.3,67333,15.8,88725,12.8
13,"1","1","米",1540,0.5,-3.3,1259,1.2,1060,0.6,1698,0.8,1474,0.5,1824,0.5,1408,0.3,2051,0.3
14,"1","1","食塩",37,0.0,-19.6,35,0.0,36,0.0,46,0.0,12,0.0,55,0.0,35,0.0,41,0.0
15,"1","1","学校給食",335,0.1,-68.2,36,0.0,150,0.1,528,0.2,113,0.0,628,0.2,335,0.1,551,0.1
16,"1","1","公営家賃",632,0.2,-84.2,358,0.3,-,-,959,0.4,542,0.2,722,0.2,1857,0.4,-,-
17,"1","1","電気代",9893,3.1,-7.9,5559,5.4,8744,5.2,9419,4.2,10082,3.7,10807,3.2,11744,2.7,12851,1.9
18,"1","1","都市ガス",3951,1.2,-26.0,2110,2.1,3303,2.0,3419,1.5,4369,1.6,4869,1.5,4791,1.1,4777,0.7
19,"1","1","上下水道料",4933,1.5,7.4,2119,2.1,4518,2.7,5727,2.6,4933,1.8,6055,1.8,4840,1.1,6312,0.9
20,"1","1","医科診療代",3703,1.2,-16.1,980,1.0,2144,1.3,3551,1.6,3675,1.3,4021,1.2,4799,1.1,6718,1.0
21,"1","1","歯科診療代",2195,0.7,-30.1,730,0.7,805,0.5,753,0.3,1157,0.4,1374,0.4,1488,0.3,8991,1.3
22,"1","1","出産入院料",270,0.1,...,-,-,-,-,-,-,-,-,-,-,1903,0.4,-,-
23,"1","1","他の入院料",1587,0.5,113.0,-,-,-,-,665,0.3,-,-,-,-,2099,0.5,8290,1.2
24,"1","1","鉄道運賃",3566,1.1,-3.7,263,0.3,1221,0.7,2451,1.1,3749,1.4,5841,1.7,4139,1.0,7245,1.0
25,"1","1","鉄道通学定期代",112,0.0,-70.8,-,-,179,0.1,278,0.1,143,0.1,-,-,-,-,183,0.0
26,"1","1","鉄道通勤定期代",1178,0.4,-46.9,-,-,369,0.2,608,0.3,386,0.1,761,0.2,2616,0.6,3495,0.5
