1,東京都生計分析調査　令和 5年 1月,,,,,,,,,,,,,,,,,,
2,,,第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
5,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,0,調査世帯数,590,-,-,86,-,85,-,81,-,85,-,85,-,83,-,85,-
7,0,世帯人員,2.93,-,-,2.50,-,2.86,-,2.88,-,2.84,-,2.83,-,3.13,-,3.43,-
8,0,有業人員,1.45,-,-,1.05,-,1.21,-,1.31,-,1.59,-,1.41,-,1.72,-,1.82,-
9,0,世帯主平均年齢,59.7,-,-,66.5,-,60.8,-,62.2,-,58.4,-,56.9,-,58.1,-,55.0,-
10,0,消費支出,342467,100.0,9.3,110891,100.0,177665,100.0,234053,100.0,291004,100.0,349521,100.0,434718,100.0,792565,100.0
11,2,基礎的支出,193036,56.4,4.1,88218,79.6,120850,68.0,161941,69.2,180046,61.9,207019,59.2,243166,55.9,347351,43.8
12,3,選択的支出,149431,43.6,16.9,22673,20.4,56816,32.0,72111,30.8,110958,38.1,142503,40.8,191552,44.1,445214,56.2
13,1,食料,96204,28.1,12.7,52874,47.7,67319,37.9,78033,33.3,94161,32.4,99574,28.5,129221,29.7,151184,19.1
14,2,基礎的支出,72874,21.3,6.8,47086,42.5,54754,30.8,62937,26.9,73059,25.1,72187,20.7,95796,22.0,103723,13.1
15,3,選択的支出,23329,6.8,36.2,5788,5.2,12565,7.1,15096,6.4,21102,7.3,27387,7.8,33425,7.7,47462,6.0
16,1,住居,29029,8.5,19.0,4471,4.0,8082,4.5,23503,10.0,15816,5.4,43524,12.5,27901,6.4,79124,10.0
17,2,基礎的支出,26718,7.8,18.8,3363,3.0,6494,3.7,22561,9.6,15327,5.3,37908,10.8,24251,5.6,76398,9.6
18,3,選択的支出,2311,0.7,21.1,1108,1.0,1588,0.9,942,0.4,490,0.2,5616,1.6,3650,0.8,2726,0.3
19,1,光熱・水道,31180,9.1,35.8,17459,15.7,24599,13.8,28726,12.3,35308,12.1,34718,9.9,36969,8.5,40196,5.1
20,2,基礎的支出,31180,9.1,35.8,17459,15.7,24599,13.8,28726,12.3,35308,12.1,34718,9.9,36969,8.5,40196,5.1
21,3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,1,家具・家事用品,11103,3.2,-9.7,3221,2.9,6959,3.9,7279,3.1,9900,3.4,12924,3.7,18556,4.3,18684,2.4
23,2,基礎的支出,7912,2.3,-4.2,2951,2.7,5530,3.1,6523,2.8,6438,2.2,7611,2.2,12611,2.9,13607,1.7
24,3,選択的支出,3191,0.9,-21.0,270,0.2,1429,0.8,755,0.3,3462,1.2,5312,1.5,5945,1.4,5077,0.6
25,1,被服及び履物,13324,3.9,11.2,2460,2.2,5334,3.0,6455,2.8,9066,3.1,12125,3.5,21694,5.0,35805,4.5
26,2,基礎的支出,789,0.2,29.3,325,0.3,779,0.4,391,0.2,829,0.3,681,0.2,1221,0.3,1285,0.2
27,3,選択的支出,12535,3.7,10.2,2135,1.9,4555,2.6,6064,2.6,8237,2.8,11445,3.3,20472,4.7,34520,4.4
28,1,保健医療,15604,4.6,5.7,5716,5.2,9135,5.1,12614,5.4,15408,5.3,15848,4.5,22235,5.1,28045,3.5
29,2,基礎的支出,13396,3.9,2.9,5608,5.1,8143,4.6,11241,4.8,13547,4.7,12846,3.7,18686,4.3,23524,3.0
30,3,選択的支出,2209,0.6,27.0,108,0.1,991,0.6,1373,0.6,1861,0.6,3001,0.9,3549,0.8,4521,0.6
31,1,交通・通信,32205,9.4,-9.3,6773,6.1,17894,10.1,17479,7.5,32147,11.0,29195,8.4,40024,9.2,81148,10.2
32,2,基礎的支出,6718,2.0,-13.2,1569,1.4,4590,2.6,4640,2.0,7616,2.6,5144,1.5,10219,2.4,13133,1.7
33,3,選択的支出,25486,7.4,-8.3,5204,4.7,13304,7.5,12839,5.5,24532,8.4,24051,6.9,29805,6.9,68015,8.6
34,1,教育,16465,4.8,26.7,44,0.0,1255,0.7,1181,0.5,3593,1.2,5176,1.5,13418,3.1,89831,11.3
35,2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,3,選択的支出,16465,4.8,26.7,44,0.0,1255,0.7,1181,0.5,3593,1.2,5176,1.5,13418,3.1,89831,11.3
37,1,教養娯楽,43708,12.8,37.8,7698,6.9,16106,9.1,19976,8.5,29979,10.3,42212,12.1,58497,13.5,130271,16.4
38,2,基礎的支出,7099,2.1,16.3,3533,3.2,4136,2.3,4819,2.1,6549,2.3,7816,2.2,8122,1.9,14605,1.8
39,3,選択的支出,36609,10.7,42.9,4165,3.8,11971,6.7,15157,6.5,23430,8.1,34396,9.8,50375,11.6,115667,14.6
40,1,その他の消費支出,53645,15.7,-12.4,10175,9.2,20983,11.8,38808,16.6,45626,15.7,54225,15.5,66203,15.2,138275,17.4
41,2,基礎的支出,26349,7.7,-26.8,6324,5.7,11825,6.7,20105,8.6,21373,7.3,28108,8.0,35291,8.1,60880,7.7
42,3,選択的支出,27296,8.0,8.1,3851,3.5,9159,5.2,18703,8.0,24253,8.3,26117,7.5,30913,7.1,77395,9.8
