1,東京都生計分析調査　令和 5年 4月,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第８表　世帯主年齢階層別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,965,-,604,-,1287,-,1730,-,1570,-,1348,-,1227,-,1267,-
7,0,0,0,0,0,調査世帯数,331,-,30,-,21,-,41,-,57,-,56,-,45,-,40,-,41,-
8,0,0,0,0,0,世帯人員,3.24,-,3.02,-,3.90,-,3.63,-,3.70,-,3.37,-,2.84,-,2.93,-,2.65,-
9,0,0,0,0,0,有業人員,1.80,-,1.54,-,1.50,-,1.64,-,1.67,-,1.91,-,1.95,-,2.08,-,1.87,-
10,0,0,0,0,0,世帯主平均年齢,51.1,-,30.9,-,37.5,-,42.6,-,47.0,-,51.4,-,57.0,-,61.9,-,69.8,-
11,1,0,0,0,0,受取,1460118,-,1642832,-,1447317,-,1627487,-,1381029,-,1729919,-,1372326,-,1290308,-,1188517,-
12,1,1,0,0,0,実収入,628462,100.0,573950,100.0,609088,100.0,676167,100.0,592294,100.0,727742,100.0,637310,100.0,652110,100.0,524802,100.0
13,1,2,0,0,0,経常収入,621883,99.0,561115,97.8,598840,98.3,670439,99.2,585491,98.9,721978,99.2,627729,98.5,649283,99.6,522724,99.6
14,1,3,0,0,0,勤め先収入,557407,88.7,518908,90.4,598840,98.3,612782,90.6,556339,93.9,699729,96.2,599689,94.1,550165,84.4,297867,56.8
15,1,4,0,0,0,世帯主収入,443906,70.6,412898,71.9,545701,89.6,484933,71.7,461083,77.8,528037,72.6,497506,78.1,431445,66.2,204687,39.0
16,1,6,0,0,0,うち男,423024,67.3,384509,67.0,505806,83.0,471583,69.7,441706,74.6,506180,69.6,464498,72.9,426140,65.3,187903,35.8
17,1,5,0,0,0,定期収入,430046,68.4,409939,71.4,518643,85.2,479964,71.0,443457,74.9,512487,70.4,490492,77.0,392781,60.2,203757,38.8
18,1,5,0,0,0,臨時収入,6333,1.0,2959,0.5,10327,1.7,468,0.1,5227,0.9,13620,1.9,7014,1.1,10243,1.6,930,0.2
19,1,5,0,0,0,賞与,7526,1.2,-,-,16732,2.7,4501,0.7,12399,2.1,1930,0.3,-,-,28421,4.4,-,-
20,1,4,0,0,0,世帯主の配偶者の収入,100064,15.9,106009,18.5,53138,8.7,126750,18.7,95256,16.1,157065,21.6,72285,11.3,96490,14.8,59732,11.4
21,1,6,0,0,0,うち女,95079,15.1,85864,15.0,53138,8.7,126750,18.7,81979,13.8,157065,21.6,72285,11.3,96490,14.8,53870,10.3
22,1,4,0,0,0,他の世帯員収入,13437,2.1,-,-,-,-,1099,0.2,-,-,14627,2.0,29899,4.7,22230,3.4,33448,6.4
23,1,3,0,0,0,事業・内職収入,8755,1.4,13906,2.4,-,-,15483,2.3,942,0.2,5760,0.8,2960,0.5,19563,3.0,12248,2.3
24,1,4,0,0,0,家賃収入,5452,0.9,10814,1.9,-,-,8748,1.3,-,-,-,-,-,-,18096,2.8,8373,1.6
25,1,4,0,0,0,他の事業収入,1634,0.3,3092,0.5,-,-,5759,0.9,942,0.2,2748,0.4,-,-,-,-,-,-
26,1,4,0,0,0,内職収入,1669,0.3,-,-,-,-,976,0.1,-,-,3012,0.4,2960,0.5,1466,0.2,3875,0.7
27,1,3,0,0,0,他の経常収入,55721,8.9,28301,4.9,-,-,42175,6.2,28210,4.8,16489,2.3,25080,3.9,79555,12.2,212608,40.5
28,1,4,0,0,0,財産収入,379,0.1,0,0.0,-,-,297,0.0,-,-,1,0.0,105,0.0,2658,0.4,-,-
29,1,4,0,0,0,社会保障給付,55342,8.8,28300,4.9,-,-,41878,6.2,28210,4.8,16488,2.3,24975,3.9,76897,11.8,212608,40.5
30,1,5,0,0,0,公的年金給付,49341,7.9,17231,3.0,-,-,30299,4.5,23072,3.9,10447,1.4,24975,3.9,70329,10.8,206312,39.3
31,1,5,0,0,0,他の社会保障給付,6001,1.0,11070,1.9,-,-,11578,1.7,5138,0.9,6041,0.8,-,-,6568,1.0,6296,1.2
32,1,4,0,0,0,仕送り金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,1,2,0,0,0,特別収入,6580,1.0,12835,2.2,10248,1.7,5728,0.8,6804,1.1,5764,0.8,9581,1.5,2827,0.4,2078,0.4
34,1,3,0,0,0,受贈金,1706,0.3,11869,2.1,233,0.0,1424,0.2,18,0.0,-,-,2383,0.4,313,0.0,-,-
35,1,3,0,0,0,他の特別収入,4874,0.8,966,0.2,10015,1.6,4303,0.6,6786,1.1,5764,0.8,7198,1.1,2515,0.4,2078,0.4
36,1,1,0,0,0,実収入以外の受取(繰入金を除く),552238,-,427851,-,524330,-,532726,-,533517,-,897940,-,584691,-,468464,-,323865,-
37,1,2,0,0,0,預貯金引出,413890,-,296903,-,406759,-,390676,-,426835,-,703158,-,406484,-,337566,-,235624,-
38,1,2,0,0,0,保険金,10455,-,-,-,-,-,1560,-,1850,-,17965,-,15213,-,15522,-,24913,-
39,1,3,0,0,0,個人・企業年金保険金,7922,-,-,-,-,-,1560,-,1850,-,10294,-,5353,-,15522,-,24913,-
40,1,3,0,0,0,他の保険金,2534,-,-,-,-,-,-,-,-,-,7670,-,9860,-,-,-,-,-
41,1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,1,2,0,0,0,他の借入金,685,-,-,-,-,-,-,-,-,-,392,-,-,-,3926,-,1116,-
44,1,2,0,0,0,クレジット購入借入金,126637,-,128020,-,117571,-,140333,-,104174,-,175955,-,162399,-,111450,-,62212,-
45,1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,1,2,0,0,0,実収入以外の受取のその他,571,-,2929,-,-,-,157,-,657,-,470,-,596,-,-,-,-,-
47,1,1,0,0,0,繰入金,279417,-,641031,-,313899,-,418594,-,255218,-,104238,-,150325,-,169733,-,339849,-
48,2,0,0,0,0,支払,1460118,-,1642832,-,1447317,-,1627487,-,1381029,-,1729919,-,1372326,-,1290308,-,1188517,-
49,2,1,0,0,0,実支出,510767,-,413282,-,371800,-,452178,-,474607,-,828893,-,554111,-,493828,-,336190,-
