1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","","","","","",""
2,"","","","第２７表　勤め先収入７分位階層別１世帯当たり年平均１か月間の公共的料金支出　―　勤労者世帯　―","","","","","","","","","","","","","","","",""
3,"","","","項目（0：世帯数等　1：公共料金等　2：準公共料金等）","","","","","","","","","","","","","","","",""
4,"項目","階層","項目名","都平均／実数（円）","都平均／負担率（％）","都平均／対前年増加率（％）","第1階層／実数（円）","第1階層／負担率（％）","第2階層／実数（円）","第2階層／負担率（％）","第3階層／実数（円）","第3階層／負担率（％）","第4階層／実数（円）","第4階層／負担率（％）","第5階層／実数（円）","第5階層／負担率（％）","第6階層／実数（円）","第6階層／負担率（％）","第7階層／実数（円）","第7階層／負担率（％）"
5,"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","0","調査世帯数",331,-,-,48,-,49,-,47,-,48,-,47,-,47,-,46,-
7,"0","0","世帯人員",3.27,-,-,2.96,-,3.11,-,3.29,-,3.30,-,3.41,-,3.39,-,3.42,-
8,"0","0","有業人員",1.77,-,-,1.61,-,1.66,-,1.68,-,1.71,-,1.88,-,1.93,-,1.95,-
9,"0","0","世帯主平均年齢",50.3,-,-,56.3,-,52.0,-,49.3,-,47.4,-,48.4,-,49.4,-,49.3,-
10,"0","0","消費支出",363224,-,3.7,256926,-,301582,-,324653,-,345039,-,375738,-,439700,-,499025,-
11,"0","0","公共的料金",101856,28.0,3.6,71966,28.0,91856,30.5,90494,27.9,96454,28.0,101632,27.0,118254,26.9,143105,28.7
12,"1","0","公共料金等",61012,16.8,-2.2,44744,17.4,58680,19.5,58525,18.0,60718,17.6,66624,17.7,67455,15.3,70632,14.2
13,"1","1","米",1625,0.4,5.3,1457,0.6,1487,0.5,1583,0.5,1621,0.5,1864,0.5,1705,0.4,1658,0.3
14,"1","1","食塩",34,0.0,-10.5,35,0.0,31,0.0,27,0.0,31,0.0,39,0.0,37,0.0,39,0.0
15,"1","1","学校給食",907,0.2,-28.6,373,0.1,653,0.2,940,0.3,832,0.2,1275,0.3,1101,0.3,1165,0.2
16,"1","1","公営家賃",1405,0.4,-64.7,1116,0.4,3279,1.1,2458,0.8,960,0.3,1125,0.3,571,0.1,289,0.1
17,"1","1","電気代",11124,3.1,-1.9,9720,3.8,9599,3.2,11757,3.6,10912,3.2,12530,3.3,11774,2.7,11525,2.3
18,"1","1","都市ガス",5969,1.6,2.1,5623,2.2,5654,1.9,6257,1.9,5542,1.6,6492,1.7,5685,1.3,6531,1.3
19,"1","1","上下水道料",5035,1.4,-1.9,4168,1.6,4895,1.6,5628,1.7,4699,1.4,5202,1.4,5198,1.2,5461,1.1
20,"1","1","医科診療代",3498,1.0,-7.2,2503,1.0,3648,1.2,3280,1.0,4697,1.4,2786,0.7,3588,0.8,4016,0.8
21,"1","1","歯科診療代",2140,0.6,12.3,2231,0.9,4053,1.3,1001,0.3,955,0.3,2829,0.8,2331,0.5,1658,0.3
22,"1","1","出産入院料",149,0.0,-9.1,-,-,21,0.0,-,-,733,0.2,-,-,296,0.1,-,-
23,"1","1","他の入院料",1166,0.3,8.7,748,0.3,1247,0.4,830,0.3,882,0.3,1070,0.3,500,0.1,2870,0.6
24,"1","1","鉄道運賃",4764,1.3,34.7,3176,1.2,4061,1.3,3455,1.1,4711,1.4,4669,1.2,5144,1.2,8138,1.6
25,"1","1","鉄道通学定期代",644,0.2,-6.3,218,0.1,233,0.1,471,0.1,248,0.1,920,0.2,1417,0.3,1023,0.2
26,"1","1","鉄道通勤定期代",2975,0.8,13.8,1288,0.5,2271,0.8,2870,0.9,3003,0.9,3596,1.0,4959,1.1,2891,0.6
27,"1","1","バス代",445,0.1,87.0,218,0.1,307,0.1,325,0.1,382,0.1,485,0.1,659,0.1,746,0.1
28,"1","1","バス通学定期代",118,0.0,49.4,42,0.0,43,0.0,38,0.0,97,0.0,97,0.0,261,0.1,246,0.0
29,"1","1","バス通勤定期代",208,0.1,70.5,69,0.0,64,0.0,22,0.0,282,0.1,264,0.1,486,0.1,266,0.1
30,"1","1","タクシー代",595,0.2,14.9,534,0.2,404,0.1,252,0.1,464,0.1,300,0.1,1065,0.2,1142,0.2
31,"1","1","航空運賃",1406,0.4,-6.6,666,0.3,648,0.2,819,0.3,1663,0.5,1442,0.4,1946,0.4,2718,0.5
32,"1","1","郵便料",297,0.1,-8.6,294,0.1,291,0.1,163,0.1,145,0.0,242,0.1,271,0.1,644,0.1
33,"1","1","固定電話通信料",892,0.2,-7.3,855,0.3,909,0.3,971,0.3,728,0.2,872,0.2,937,0.2,969,0.2
34,"1","1","携帯電話通信料",9966,2.7,-2.9,6216,2.4,10692,3.5,10182,3.1,9705,2.8,10396,2.8,11703,2.7,10879,2.2
35,"1","1","ＮＨＫ放送受信料",985,0.3,-6.3,658,0.3,976,0.3,1171,0.4,1057,0.3,1127,0.3,954,0.2,947,0.2
36,"1","1","ケーブルテレビ放送受信料",1026,0.3,15.5,936,0.4,1173,0.4,976,0.3,795,0.2,1137,0.3,1169,0.3,1001,0.2
37,"1","1","他の放送受信料",141,0.0,1.4,133,0.1,171,0.1,111,0.0,63,0.0,164,0.0,214,0.0,129,0.0
38,"1","1","国公立小学校",466,0.1,4.5,298,0.1,286,0.1,489,0.2,766,0.2,770,0.2,367,0.1,317,0.1
39,"1","1","国公立中学校",523,0.1,4.0,93,0.0,150,0.0,609,0.2,673,0.2,442,0.1,559,0.1,1151,0.2
40,"1","1","国公立高校",676,0.2,53.3,398,0.2,207,0.1,586,0.2,874,0.3,1327,0.4,1065,0.2,334,0.1
41,"1","1","国公立大学",715,0.2,-18.9,-,-,44,0.0,-,-,1864,0.5,1599,0.4,794,0.2,765,0.2
42,"1","1","たばこ",1117,0.3,-2.9,677,0.3,1185,0.4,1252,0.4,1334,0.4,1562,0.4,698,0.2,1115,0.2
43,"2","0","準公共料金等",40844,11.2,13.8,27222,10.6,33176,11.0,31969,9.8,35736,10.4,35008,9.3,50799,11.6,72473,14.5
44,"2","1","牛乳",1458,0.4,8.2,1269,0.5,1320,0.4,1601,0.5,1360,0.4,1456,0.4,1530,0.3,1671,0.3
