1,"東京都生計分析調査　令和 5年10月","","","","","","","","","","","","","","","","","",""
2,"","","第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","",""
4,"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
5,"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","調査世帯数",639,-,-,93,-,95,-,88,-,96,-,93,-,88,-,86,-
7,"0","世帯人員",2.95,-,-,2.70,-,2.91,-,2.88,-,2.88,-,3.04,-,3.21,-,3.01,-
8,"0","有業人員",1.37,-,-,1.26,-,1.19,-,1.28,-,1.36,-,1.44,-,1.45,-,1.62,-
9,"0","世帯主平均年齢",59.7,-,-,63.4,-,62.6,-,59.6,-,59.4,-,58.6,-,58.2,-,55.9,-
10,"0","消費支出",366998,100.0,8.9,104692,100.0,173738,100.0,225627,100.0,281681,100.0,345443,100.0,467888,100.0,963200,100.0
11,"2","基礎的支出",196070,53.4,7.5,78699,75.2,119433,68.7,144545,64.1,170834,60.6,191985,55.6,240239,51.3,424049,44.0
12,"3","選択的支出",170928,46.6,10.5,25993,24.8,54306,31.3,81082,35.9,110847,39.4,153459,44.4,227649,48.7,539151,56.0
13,"1","食料",103246,28.1,4.3,58325,55.7,78993,45.5,88510,39.2,103445,36.7,114287,33.1,143407,30.6,135351,14.1
14,"2","基礎的支出",79824,21.8,5.4,49544,47.3,66250,38.1,70983,31.5,84162,29.9,88423,25.6,107213,22.9,91983,9.5
15,"3","選択的支出",23422,6.4,0.6,8782,8.4,12742,7.3,17527,7.8,19283,6.8,25864,7.5,36194,7.7,43368,4.5
16,"1","住居",35893,9.8,35.9,1856,1.8,5805,3.3,14388,6.4,13332,4.7,20200,5.8,31671,6.8,162589,16.9
