1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","",""
2,"","","","","","","第２２表　住居所有形態別１世帯当たり年平均１か月間の収入と用途別生計支出　―　勤労者世帯　―","","","","","","","","",""
3,"","","","","","","注）　１）は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","持家／実数（円）","持家／構成比（％）","民営借家／実数（円）","民営借家／構成比（％）","公営借家／実数（円）","公営借家／構成比（％）","給与住宅／実数（円）","給与住宅／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,7836,-,1589,-,227,-,349,-
7,"0","0","0","0","0","調査世帯数",331,-,262,-,51,-,8,-,11,-
8,"0","0","0","0","0","世帯人員",3.27,-,3.34,-,2.90,-,3.07,-,3.32,-
9,"0","0","0","0","0","有業人員",1.77,-,1.81,-,1.65,-,1.53,-,1.66,-
10,"0","0","0","0","0","世帯主平均年齢",50.3,-,51.7,-,44.9,-,47.5,-,44.6,-
11,"1","0","0","0","0","受取",1599605,-,1645222,-,1476978,-,989529,-,1476138,-
12,"1","1","0","0","0","実収入",720584,100.0,736829,100.0,646182,100.0,538545,100.0,808424,100.0
13,"1","2","0","0","0","経常収入",704799,97.8,723588,98.2,614930,95.2,535606,99.5,803317,99.4
14,"1","3","0","0","0","勤め先収入",660830,91.7,676873,91.9,577476,89.4,492466,91.4,793038,98.1
15,"1","4","0","0","0","世帯主収入",540835,75.1,552157,74.9,479906,74.3,412160,76.5,659962,81.6
16,"1","6","0","0","0","うち男",513660,71.3,531626,72.2,420075,65.0,353584,65.7,640054,79.2
17,"1","5","0","0","0","定期収入",445111,61.8,451743,61.3,407755,63.1,354115,65.8,514692,63.7
18,"1","5","0","0","0","臨時収入",4251,0.6,4071,0.6,5538,0.9,386,0.1,3777,0.5
19,"1","5","0","0","0","賞与",91473,12.7,96343,13.1,66613,10.3,57659,10.7,141493,17.5
20,"1","4","0","0","0","世帯主の配偶者の収入",106199,14.7,109775,14.9,85699,13.3,79111,14.7,132378,16.4
21,"1","6","0","0","0","うち女",100166,13.9,105933,14.4,68085,10.5,79111,14.7,121615,15.0
22,"1","4","0","0","0","他の世帯員収入",13796,1.9,14940,2.0,11872,1.8,1196,0.2,698,0.1
23,"1","3","0","0","0","事業・内職収入",11030,1.5,11323,1.5,11295,1.7,16280,3.0,2640,0.3
24,"1","4","0","0","0","家賃収入",3878,0.5,4559,0.6,2012,0.3,-,-,-,-
25,"1","4","0","0","0","他の事業収入",5430,0.8,5011,0.7,7385,1.1,16280,3.0,-,-
26,"1","4","0","0","0","内職収入",1723,0.2,1753,0.2,1897,0.3,-,-,2640,0.3
27,"1","3","0","0","0","他の経常収入",32939,4.6,35393,4.8,26159,4.0,26860,5.0,7638,0.9
28,"1","4","0","0","0","財産収入",2081,0.3,2142,0.3,1827,0.3,-,-,1554,0.2
29,"1","4","0","0","0","社会保障給付",30576,4.2,33019,4.5,23715,3.7,26860,5.0,6085,0.8
30,"1","5","0","0","0","公的年金給付",21290,3.0,24005,3.3,11595,1.8,24046,4.5,-,-
31,"1","5","0","0","0","他の社会保障給付",9285,1.3,9014,1.2,12120,1.9,2814,0.5,6085,0.8
32,"1","4","0","0","0","仕送り金",282,0.0,232,0.0,617,0.1,-,-,-,-
33,"1","2","0","0","0","特別収入",15785,2.2,13241,1.8,31253,4.8,2939,0.5,5107,0.6
34,"1","3","0","0","0","受贈金",3192,0.4,3593,0.5,2883,0.4,123,0.0,1345,0.2
35,"1","3","0","0","0","他の特別収入",12593,1.7,9648,1.3,28370,4.4,2816,0.5,3762,0.5
36,"1","1","0","0","0","実収入以外の受取(繰入金を除く)",537761,-,564199,-,438690,-,334360,-,547264,-
37,"1","2","0","0","0","預貯金引出",386663,-,406272,-,313337,-,258829,-,374226,-
