1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第４表　年間収入区分別及び住居所有形態別１世帯当たり１か月間の収入と用途別生計支出　―　無職世帯　―　,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,8352,-,2873,-,2221,-,7127,-,6131,-,1648,-
7,0,0,0,0,0,調査世帯数,181,-,-,151,-,50,-,38,-,131,-,113,-,30,-
8,0,0,0,0,0,世帯人員,2.33,-,-,2.33,-,2.20,-,2.26,-,2.39,-,2.36,-,2.35,-
9,0,0,0,0,0,有業人員,0.47,-,-,0.48,-,0.20,-,0.22,-,0.59,-,0.57,-,0.46,-
10,0,0,0,0,0,世帯主平均年齢,74.4,-,-,74.7,-,76.2,-,77.5,-,73.7,-,73.7,-,72.6,-
11,1,0,0,0,0,受取,500569,-,-9.3,518797,-,350513,-,382956,-,561046,-,568006,-,408164,-
12,1,1,0,0,0,実収入,73714,100.0,24.8,70325,100.0,51089,100.0,49869,100.0,82832,100.0,77736,100.0,90892,100.0
13,1,2,0,0,0,経常収入,57772,78.4,61.3,53135,75.6,42146,82.5,41226,82.7,64070,77.3,57449,73.9,81278,89.4
14,1,3,0,0,0,勤め先収入,32446,44.0,124.6,29358,41.7,5645,11.0,5580,11.2,43248,52.2,37972,48.8,48101,52.9
15,1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,1,4,0,0,0,世帯主の配偶者の収入,18894,25.6,258.0,20276,28.8,1860,3.6,2405,4.8,25759,31.1,26750,34.4,11885,13.1
