1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","",""
2,"","","","","","","第２０表　世帯人員別１世帯当たり年平均１か月間の収入と用途別生計支出　―　勤労者世帯　―","","","","","","","","",""
3,"","","","","","","注）　１）は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","2人／実数（円）","2人／構成比（％）","3人／実数（円）","3人／構成比（％）","4人／実数（円）","4人／構成比（％）","5人以上／実数（円）","5人以上／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,2648,-,3154,-,3262,-,936,-
7,"0","0","0","0","0","調査世帯数",331,-,89,-,103,-,107,-,32,-
8,"0","0","0","0","0","世帯人員",3.27,-,2.00,-,3.00,-,4.00,-,5.24,-
9,"0","0","0","0","0","有業人員",1.77,-,1.51,-,1.80,-,1.96,-,1.79,-
10,"0","0","0","0","0","世帯主平均年齢",50.3,-,53.9,-,51.6,-,47.3,-,46.1,-
11,"1","0","0","0","0","受取",1599605,-,1444741,-,1560885,-,1768346,-,1557998,-
12,"1","1","0","0","0","実収入",720584,100.0,631440,100.0,711827,100.0,789354,100.0,760863,100.0
13,"1","2","0","0","0","経常収入",704799,97.8,611749,96.9,695774,97.7,774997,98.2,753468,99.0
14,"1","3","0","0","0","勤め先収入",660830,91.7,549850,87.1,651105,91.5,741704,94.0,724235,95.2
15,"1","4","0","0","0","世帯主収入",540835,75.1,449059,71.1,526405,74.0,609158,77.2,614453,80.8
16,"1","6","0","0","0","うち男",513660,71.3,404909,64.1,504661,70.9,588812,74.6,592846,77.9
17,"1","5","0","0","0","定期収入",445111,61.8,381234,60.4,440036,61.8,483527,61.3,516461,67.9
18,"1","5","0","0","0","臨時収入",4251,0.6,3708,0.6,3933,0.6,4930,0.6,4370,0.6
19,"1","5","0","0","0","賞与",91473,12.7,64117,10.2,82437,11.6,120701,15.3,93622,12.3
20,"1","4","0","0","0","世帯主の配偶者の収入",106199,14.7,89173,14.1,109598,15.4,116400,14.7,102715,13.5
21,"1","6","0","0","0","うち女",100166,13.9,84537,13.4,107885,15.2,106531,13.5,91772,12.1
22,"1","4","0","0","0","他の世帯員収入",13796,1.9,11618,1.8,15103,2.1,16146,2.0,7067,0.9
23,"1","3","0","0","0","事業・内職収入",11030,1.5,11285,1.8,8646,1.2,13349,1.7,9977,1.3
24,"1","4","0","0","0","家賃収入",3878,0.5,4597,0.7,2595,0.4,5501,0.7,-,-
25,"1","4","0","0","0","他の事業収入",5430,0.8,5186,0.8,4866,0.7,5535,0.7,7912,1.0
26,"1","4","0","0","0","内職収入",1723,0.2,1502,0.2,1184,0.2,2313,0.3,2065,0.3
27,"1","3","0","0","0","他の経常収入",32939,4.6,50614,8.0,36023,5.1,19944,2.5,19256,2.5
28,"1","4","0","0","0","財産収入",2081,0.3,3565,0.6,1001,0.1,2338,0.3,870,0.1
29,"1","4","0","0","0","社会保障給付",30576,4.2,46701,7.4,34467,4.8,17554,2.2,18386,2.4
30,"1","5","0","0","0","公的年金給付",21290,3.0,41250,6.5,26121,3.7,5258,0.7,5084,0.7
31,"1","5","0","0","0","他の社会保障給付",9285,1.3,5451,0.9,8345,1.2,12296,1.6,13302,1.7
32,"1","4","0","0","0","仕送り金",282,0.0,347,0.1,555,0.1,52,0.0,-,-
33,"1","2","0","0","0","特別収入",15785,2.2,19692,3.1,16053,2.3,14357,1.8,7395,1.0
34,"1","3","0","0","0","受贈金",3192,0.4,761,0.1,3853,0.5,5519,0.7,1196,0.2
35,"1","3","0","0","0","他の特別収入",12593,1.7,18931,3.0,12200,1.7,8838,1.1,6198,0.8
36,"1","1","0","0","0","実収入以外の受取(繰入金を除く)",537761,-,503544,-,515145,-,567464,-,612482,-
37,"1","2","0","0","0","預貯金引出",386663,-,355798,-,367746,-,410896,-,459349,-
38,"1","2","0","0","0","保険金",6932,-,13518,-,7963,-,2092,-,1240,-
39,"1","3","0","0","0","個人・企業年金保険金",4919,-,9797,-,6345,-,984,-,107,-
