1,東京都生計分析調査　令和 5年 4月,,,,,,,,,,,,,,,,,,
2,,,,,,,,,第２表　世帯主年齢階層別１世帯当たり１か月間の品目別生計支出　―　全　世　帯　―,,,,,,,,,,
3,,,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,
4,項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年同月増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
5,0,0,0,0,0,0,0,世帯数分布,10000,-,556,390,801,1079,1146,1068,1067,3894,1814
6,0,0,0,0,0,0,0,調査世帯数,602,-,32,25,46,64,71,65,61,238,112
7,0,0,0,0,0,0,0,世帯人員,2.94,-,3.08,3.83,3.58,3.69,3.31,2.86,2.85,2.43,2.34
8,0,0,0,0,0,0,0,有業人員,1.43,-,1.54,1.43,1.56,1.68,1.85,2.04,1.83,0.93,0.58
9,0,0,0,0,0,0,0,世帯主平均年齢,59.4,-,30.9,37.6,42.6,47.1,51.4,57.1,62.0,74.7,80.9
10,2,2,0,0,0,0,0,生計支出,369068,4.4,321637,269299,328535,377698,696129,443492,384492,270861,241096
11,2,3,0,0,0,0,0,消費支出,369068,6.8,321637,269299,328535,377698,696129,443492,384492,270861,241096
12,2,4,1,0,0,0,0,食料,98135,16.1,84073,83043,98097,99334,113898,108462,114701,89315,85211
13,2,5,1,1,0,0,0,穀類,7124,6.9,6176,6308,6704,8026,8346,7497,7202,6694,6311
14,2,6,1,1,1,0,0,米類,1646,-7.8,966,1621,1432,1811,1588,1905,1703,1673,1583
15,2,7,1,1,1,0,102,米,1646,-7.8,966,1621,1432,1811,1588,1905,1703,1673,1583
16,2,6,1,1,2,0,0,パン,3321,11.0,2983,2776,2826,3490,4259,3291,3486,3166,2937
17,2,7,1,1,2,0,120,食パン,1017,0.5,620,797,904,1032,1186,898,1238,1037,1067
18,2,7,1,1,2,0,129,他のパン,2304,16.4,2363,1979,1922,2457,3073,2393,2249,2129,1870
19,2,6,1,1,3,0,0,麺類,1695,17.4,1816,1424,1762,2148,1997,1721,1577,1502,1451
20,2,7,1,1,3,0,130,生うどん・そば,255,-2.3,215,182,266,316,298,208,211,260,276
21,2,7,1,1,3,0,131,乾うどん・そば,134,0.0,90,195,143,169,82,55,192,144,142
22,2,7,1,1,3,0,134,パスタ,144,-2.7,175,191,162,215,219,112,125,104,62
23,2,7,1,1,3,0,133,中華麺,418,24.4,299,237,517,530,490,389,390,395,433
24,2,7,1,1,3,0,135,カップ麺,467,37.4,807,319,409,614,551,655,416,341,276
25,2,7,1,1,3,0,132,即席麺,190,19.5,173,210,202,211,225,214,192,166,158
26,2,7,1,1,3,0,139,他の麺類,87,31.8,57,89,62,93,133,88,51,92,104
27,2,6,1,1,4,0,0,他の穀類,462,3.8,410,487,685,577,501,580,435,352,341
28,2,7,1,1,4,0,140,小麦粉,58,45.0,26,78,70,112,31,41,35,62,86
29,2,7,1,1,4,0,150,もち,41,-37.9,21,15,22,3,55,20,27,66,90
30,2,7,1,1,4,0,160,他の穀類のその他,363,7.1,363,394,593,462,416,519,373,225,164
31,2,5,1,2,0,0,0,魚介類,6303,5.7,2706,4489,4938,5621,5922,5887,6931,7523,8059
32,2,6,1,2,1,0,0,生鮮魚介,3645,5.4,1536,3076,2687,3229,3348,3321,3898,4422,4408
33,2,7,1,2,1,170-189,0,鮮魚,3413,7.0,1469,2874,2567,3090,3141,3145,3645,4098,4103
34,2,7,1,2,1,170-189,170,まぐろ,625,24.3,259,563,461,862,508,502,687,702,704
35,2,7,1,2,1,170-189,172,あじ,93,-12.3,45,142,55,53,72,44,84,136,178
36,2,7,1,2,1,170-189,173,いわし,48,71.4,4,24,-,55,6,42,33,83,101
37,2,7,1,2,1,170-189,174,かつお,189,16.7,67,85,105,217,115,269,113,247,260
38,2,7,1,2,1,170-189,175,かれい,66,-1.5,30,-,36,14,29,73,47,113,85
39,2,7,1,2,1,170-189,176,さけ,511,10.8,234,404,258,471,752,417,421,602,522
40,2,7,1,2,1,170-189,177,さば,60,-25.0,101,-,38,39,63,59,37,76,73
41,2,7,1,2,1,170-189,178,さんま,5,-61.5,-,-,19,-,9,7,9,2,4
42,2,7,1,2,1,170-189,180,たい,131,-7.1,38,18,57,63,174,119,161,173,208
43,2,7,1,2,1,170-189,181,ぶり,261,-1.5,194,391,184,282,303,233,270,260,254
44,2,7,1,2,1,170-189,182,いか,192,18.5,10,57,189,164,140,218,163,257,294
45,2,7,1,2,1,170-189,183,たこ,87,8.8,22,50,73,109,89,101,90,92,79
46,2,7,1,2,1,170-189,185,えび,233,10.4,72,228,191,231,191,227,267,269,282
47,2,7,1,2,1,170-189,186,かに,9,50.0,-,-,-,2,-,-,-,22,26
48,2,7,1,2,1,170-189,189,他の鮮魚,590,15.7,88,831,729,443,354,531,686,708,780
49,2,7,1,2,1,170-189,187,さしみ盛合わせ,314,-20.7,305,81,171,86,337,305,577,356,253
50,2,7,1,2,1,190-194,0,貝類,232,-13.4,67,201,120,139,207,176,253,324,305
51,2,7,1,2,1,190-194,190,あさり,67,31.4,42,66,62,28,67,50,116,75,79
52,2,7,1,2,1,190-194,192,しじみ,24,-25.0,11,22,15,31,25,11,16,31,37
53,2,7,1,2,1,190-194,191,かき(貝),33,-25.0,6,-,-,14,33,11,30,59,52
