1,東京都生計分析調査　令和 5年 2月,,,,,,,,,,,,,,,
2,,,,,,,第６表　世帯人員別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―　,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,2701,-,3279,-,3051,-,969,-
7,0,0,0,0,0,調査世帯数,325,-,87,-,110,-,96,-,32,-
8,0,0,0,0,0,世帯人員,3.24,-,2.00,-,3.00,-,4.00,-,5.13,-
9,0,0,0,0,0,有業人員,1.79,-,1.51,-,1.89,-,1.91,-,1.87,-
10,0,0,0,0,0,世帯主平均年齢,50.8,-,54.4,-,52.6,-,46.8,-,47.1,-
11,1,0,0,0,0,受取,1425250,-,1518334,-,1393052,-,1318662,-,1610299,-
12,1,1,0,0,0,実収入,642938,100.0,599995,100.0,628789,100.0,650615,100.0,786316,100.0
13,1,2,0,0,0,経常収入,629874,98.0,583727,97.3,622109,98.9,630933,97.0,781409,99.4
14,1,3,0,0,0,勤め先収入,564687,87.8,493647,82.3,553337,88.0,589012,90.5,724489,92.1
15,1,4,0,0,0,世帯主収入,443064,68.9,370327,61.7,427509,68.0,483015,74.2,572634,72.8
16,1,6,0,0,0,うち男,425231,66.1,333837,55.6,423407,67.3,468939,72.1,548510,69.8
17,1,5,0,0,0,定期収入,434070,67.5,352522,58.8,422209,67.1,475249,73.0,571825,72.7
18,1,5,0,0,0,臨時収入,2632,0.4,2720,0.5,2791,0.4,2965,0.5,809,0.1
19,1,5,0,0,0,賞与,6362,1.0,15085,2.5,2509,0.4,4802,0.7,-,-
20,1,4,0,0,0,世帯主の配偶者の収入,112706,17.5,113779,19.0,114503,18.2,98832,15.2,147304,18.7
21,1,6,0,0,0,うち女,106088,16.5,109081,18.2,114503,18.2,85993,13.2,132527,16.9
22,1,4,0,0,0,他の世帯員収入,8917,1.4,9541,1.6,11324,1.8,7165,1.1,4551,0.6
23,1,3,0,0,0,事業・内職収入,5276,0.8,2774,0.5,4886,0.8,5823,0.9,11840,1.5
24,1,4,0,0,0,家賃収入,2437,0.4,1945,0.3,2914,0.5,3135,0.5,-,-
25,1,4,0,0,0,他の事業収入,1339,0.2,-,-,-,-,1295,0.2,9739,1.2
26,1,4,0,0,0,内職収入,1500,0.2,829,0.1,1973,0.3,1394,0.2,2101,0.3
27,1,3,0,0,0,他の経常収入,59911,9.3,87306,14.6,63885,10.2,36098,5.5,45079,5.7
28,1,4,0,0,0,財産収入,294,0.0,0,0.0,245,0.0,700,0.1,0,0.0
29,1,4,0,0,0,社会保障給付,59617,9.3,87306,14.6,63640,10.1,35398,5.4,45079,5.7
30,1,5,0,0,0,公的年金給付,45174,7.0,80163,13.4,56253,8.9,9766,1.5,21636,2.8
31,1,5,0,0,0,他の社会保障給付,14443,2.2,7143,1.2,7387,1.2,25632,3.9,23443,3.0
32,1,4,0,0,0,仕送り金,-,-,-,-,-,-,-,-,-,-
33,1,2,0,0,0,特別収入,13064,2.0,16268,2.7,6680,1.1,19682,3.0,4907,0.6
34,1,3,0,0,0,受贈金,4436,0.7,107,0.0,689,0.1,13700,2.1,21,0.0
35,1,3,0,0,0,他の特別収入,8628,1.3,16161,2.7,5991,1.0,5981,0.9,4886,0.6
36,1,1,0,0,0,実収入以外の受取(繰入金を除く),503787,-,475523,-,511864,-,504192,-,553944,-
37,1,2,0,0,0,預貯金引出,382563,-,361823,-,397095,-,385116,-,383156,-
38,1,2,0,0,0,保険金,3817,-,3594,-,7610,-,1152,-,-,-
39,1,3,0,0,0,個人・企業年金保険金,3466,-,3594,-,7610,-,-,-,-,-
40,1,3,0,0,0,他の保険金,351,-,-,-,-,-,1152,-,-,-
41,1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-
42,1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-
43,1,2,0,0,0,他の借入金,63,-,233,-,-,-,-,-,-,-
44,1,2,0,0,0,クレジット購入借入金,117192,-,109437,-,107151,-,117824,-,170788,-
