1,東京都生計分析調査　令和 5年 4月,,,,,,,,,,,,,,,,,,
2,,,第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
5,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,0,調査世帯数,602,-,-,88,-,87,-,86,-,87,-,82,-,84,-,88,-
7,0,世帯人員,2.94,-,-,2.59,-,2.73,-,2.98,-,2.98,-,2.96,-,3.10,-,3.24,-
8,0,有業人員,1.43,-,-,1.05,-,1.21,-,1.44,-,1.52,-,1.55,-,1.60,-,1.65,-
9,0,世帯主平均年齢,59.4,-,-,66.2,-,61.8,-,58.9,-,60.9,-,57.3,-,54.5,-,56.1,-
10,0,消費支出,369068,100.0,6.8,110503,100.0,175713,100.0,226397,100.0,278398,100.0,340623,100.0,437968,100.0,1004952,100.0
11,2,基礎的支出,185646,50.3,1.9,82796,74.9,118931,67.7,145138,64.1,175527,63.0,203205,59.7,214380,48.9,356849,35.5
12,3,選択的支出,183422,49.7,12.1,27707,25.1,56782,32.3,81259,35.9,102871,37.0,137418,40.3,223587,51.1,648102,64.5
13,1,食料,98135,26.6,16.1,58539,53.0,74937,42.6,86996,38.4,92725,33.3,106017,31.1,122621,28.0,144470,14.4
14,2,基礎的支出,74675,20.2,10.8,49780,45.0,59894,34.1,70206,31.0,72893,26.2,80840,23.7,85843,19.6,102829,10.2
15,3,選択的支出,23460,6.4,36.9,8758,7.9,15044,8.6,16791,7.4,19832,7.1,25176,7.4,36778,8.4,41641,4.1
16,1,住居,24730,6.7,-24.7,1360,1.2,6408,3.6,13396,5.9,19460,7.0,24524,7.2,30535,7.0,76668,7.6
17,2,基礎的支出,22876,6.2,-27.0,1360,1.2,5159,2.9,12724,5.6,19127,6.9,21070,6.2,26976,6.2,72996,7.3
18,3,選択的支出,1854,0.5,22.5,-,-,1248,0.7,672,0.3,333,0.1,3454,1.0,3558,0.8,3673,0.4
19,1,光熱・水道,26718,7.2,-1.4,14277,12.9,22915,13.0,23529,10.4,27903,10.0,32463,9.5,32085,7.3,33702,3.4
20,2,基礎的支出,26718,7.2,-1.4,14277,12.9,22915,13.0,23529,10.4,27903,10.0,32463,9.5,32085,7.3,33702,3.4
21,3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,1,家具・家事用品,12089,3.3,18.2,3276,3.0,5124,2.9,8464,3.7,7889,2.8,9555,2.8,15593,3.6,34438,3.4
23,2,基礎的支出,8362,2.3,15.5,2931,2.7,4408,2.5,6400,2.8,6325,2.3,6985,2.1,9988,2.3,21328,2.1
24,3,選択的支出,3727,1.0,24.7,344,0.3,716,0.4,2064,0.9,1564,0.6,2570,0.8,5605,1.3,13110,1.3
25,1,被服及び履物,13380,3.6,10.9,3530,3.2,4806,2.7,11664,5.2,10963,3.9,13807,4.1,21257,4.9,27473,2.7
26,2,基礎的支出,712,0.2,2.2,220,0.2,276,0.2,596,0.3,928,0.3,690,0.2,745,0.2,1514,0.2
27,3,選択的支出,12669,3.4,11.4,3310,3.0,4530,2.6,11068,4.9,10035,3.6,13118,3.9,20512,4.7,25959,2.6
28,1,保健医療,17999,4.9,16.1,4984,4.5,10716,6.1,11369,5.0,14672,5.3,20494,6.0,21919,5.0,41470,4.1
29,2,基礎的支出,15223,4.1,17.9,4848,4.4,9450,5.4,10696,4.7,11925,4.3,17130,5.0,18000,4.1,34211,3.4
30,3,選択的支出,2776,0.8,7.1,136,0.1,1266,0.7,673,0.3,2747,1.0,3364,1.0,3919,0.9,7258,0.7
31,1,交通・通信,32692,8.9,-26.2,7710,7.0,12290,7.0,17998,7.9,29410,10.6,35224,10.3,54956,12.5,70808,7.0
32,2,基礎的支出,8679,2.4,19.2,2257,2.0,2888,1.6,3541,1.6,9753,3.5,8833,2.6,10665,2.4,22613,2.3
33,3,選択的支出,24013,6.5,-35.1,5453,4.9,9401,5.4,14457,6.4,19657,7.1,26391,7.7,44291,10.1,48196,4.8
34,1,教育,55156,14.9,50.5,451,0.4,2030,1.2,782,0.3,2872,1.0,3503,1.0,21117,4.8,351220,34.9
35,2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,3,選択的支出,55156,14.9,50.5,451,0.4,2030,1.2,782,0.3,2872,1.0,3503,1.0,21117,4.8,351220,34.9
37,1,教養娯楽,37481,10.2,6.9,7602,6.9,16300,9.3,24527,10.8,28771,10.3,40606,11.9,63326,14.5,80721,8.0
38,2,基礎的支出,6738,1.8,7.3,2928,2.6,5335,3.0,5226,2.3,6936,2.5,6741,2.0,8518,1.9,11426,1.1
39,3,選択的支出,30742,8.3,6.8,4675,4.2,10965,6.2,19301,8.5,21835,7.8,33865,9.9,54808,12.5,69296,6.9
40,1,その他の消費支出,50688,13.7,6.9,8774,7.9,20187,11.5,27672,12.2,43733,15.7,54430,16.0,54559,12.5,143982,14.3
41,2,基礎的支出,21663,5.9,-1.0,4195,3.8,8606,4.9,12221,5.4,19738,7.1,28453,8.4,21560,4.9,56231,5.6
42,3,選択的支出,29024,7.9,13.6,4579,4.1,11581,6.6,15452,6.8,23995,8.6,25977,7.6,32999,7.5,87751,8.7
