1,東京都生計分析調査　令和 5年 2月,,,,,,,,,,,,,,,
2,,,,,,,第１４表　住居所有形態別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,7384,-,1566,-,412,-,638,-
7,0,0,0,0,0,調査世帯数,325,-,248,-,46,-,13,-,18,-
8,0,0,0,0,0,世帯人員,3.24,-,3.31,-,2.92,-,3.15,-,3.32,-
9,0,0,0,0,0,有業人員,1.79,-,1.84,-,1.62,-,1.55,-,1.81,-
10,0,0,0,0,0,世帯主平均年齢,50.8,-,52.2,-,44.4,-,58.7,-,44.4,-
11,1,0,0,0,0,受取,1425250,-,1496927,-,1270419,-,819585,-,1367104,-
12,1,1,0,0,0,実収入,642938,100.0,660993,100.0,561815,100.0,450296,100.0,757466,100.0
13,1,2,0,0,0,経常収入,629874,98.0,648857,98.2,538744,95.9,440294,97.8,756236,99.8
14,1,3,0,0,0,勤め先収入,564687,87.8,576122,87.2,497297,88.5,335161,74.4,745928,98.5
15,1,4,0,0,0,世帯主収入,443064,68.9,455437,68.9,389511,69.3,288368,64.0,531191,70.1
16,1,6,0,0,0,うち男,425231,66.1,442413,66.9,345174,61.4,257468,57.2,531191,70.1
17,1,5,0,0,0,定期収入,434070,67.5,444155,67.2,385699,68.7,288368,64.0,530141,70.0
18,1,5,0,0,0,臨時収入,2632,0.4,2666,0.4,3812,0.7,-,-,1050,0.1
19,1,5,0,0,0,賞与,6362,1.0,8616,1.3,-,-,-,-,-,-
20,1,4,0,0,0,世帯主の配偶者の収入,112706,17.5,111798,16.9,93787,16.7,42801,9.5,214738,28.3
21,1,6,0,0,0,うち女,106088,16.5,106924,16.2,74508,13.3,42801,9.5,214738,28.3
22,1,4,0,0,0,他の世帯員収入,8917,1.4,8886,1.3,13999,2.5,3992,0.9,-,-
23,1,3,0,0,0,事業・内職収入,5276,0.8,5285,0.8,2745,0.5,22896,5.1,-,-
24,1,4,0,0,0,家賃収入,2437,0.4,3152,0.5,699,0.1,-,-,-,-
25,1,4,0,0,0,他の事業収入,1339,0.2,535,0.1,-,-,22896,5.1,-,-
26,1,4,0,0,0,内職収入,1500,0.2,1598,0.2,2045,0.4,-,-,-,-
27,1,3,0,0,0,他の経常収入,59911,9.3,67451,10.2,38703,6.9,82238,18.3,10308,1.4
28,1,4,0,0,0,財産収入,294,0.0,267,0.0,365,0.1,-,-,620,0.1
29,1,4,0,0,0,社会保障給付,59617,9.3,67183,10.2,38338,6.8,82238,18.3,9688,1.3
