1,東京都生計分析調査　令和 5年 5月,,,,,,,,,,,,,,,,,,,
2,,,,第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,
3,,,,項目（0：世帯数等　1：公共料金等　2：準公共料金等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
5,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,0,0,調査世帯数,344,-,-,50,-,50,-,46,-,49,-,50,-,51,-,48,-
7,0,0,世帯人員,3.23,-,-,2.86,-,3.00,-,3.31,-,3.42,-,3.19,-,3.46,-,3.36,-
8,0,0,有業人員,1.75,-,-,1.60,-,1.85,-,1.41,-,1.70,-,1.71,-,1.91,-,2.07,-
9,0,0,世帯主平均年齢,50.9,-,-,57.4,-,53.6,-,49.8,-,47.8,-,48.4,-,49.8,-,49.4,-
10,0,0,消費支出,353060,-,8.0,251941,-,267514,-,341749,-,301449,-,369759,-,389959,-,545460,-
11,0,0,公共的料金,106979,30.3,6.8,68531,27.2,84146,31.5,111098,32.5,93471,31.0,102716,27.8,97438,25.0,190092,34.8
12,1,0,公共料金等,63525,18.0,6.7,53293,21.2,50192,18.8,60068,17.6,68169,22.6,62952,17.0,70457,18.1,79083,14.5
13,1,1,米,1678,0.5,5.3,1388,0.6,1347,0.5,1910,0.6,1669,0.6,1599,0.4,2366,0.6,1453,0.3
14,1,1,食塩,32,0.0,-20.0,22,0.0,19,0.0,53,0.0,34,0.0,59,0.0,19,0.0,18,0.0
15,1,1,学校給食,1117,0.3,-39.7,1073,0.4,270,0.1,1694,0.5,1277,0.4,1510,0.4,1609,0.4,382,0.1
16,1,1,公営家賃,1307,0.4,-63.1,1141,0.5,1270,0.5,2089,0.6,4056,1.3,578,0.2,-,-,-,-
17,1,1,電気代,10526,3.0,0.8,9601,3.8,9407,3.5,9622,2.8,12088,4.0,10537,2.8,11004,2.8,11384,2.1
18,1,1,都市ガス,7176,2.0,10.4,7162,2.8,6267,2.3,7528,2.2,7228,2.4,6907,1.9,7049,1.8,8074,1.5
19,1,1,上下水道料,5563,1.6,42.2,4967,2.0,5250,2.0,6834,2.0,5297,1.8,4787,1.3,5869,1.5,5904,1.1
20,1,1,医科診療代,3253,0.9,36.9,2108,0.8,1492,0.6,2928,0.9,3340,1.1,3144,0.9,5131,1.3,4569,0.8
21,1,1,歯科診療代,2170,0.6,-17.2,2422,1.0,1347,0.5,2426,0.7,421,0.1,2074,0.6,1460,0.4,5032,0.9
22,1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,1,1,他の入院料,380,0.1,-8.0,-,-,-,-,-,-,381,0.1,-,-,-,-,2259,0.4
24,1,1,鉄道運賃,5813,1.6,80.0,6658,2.6,3953,1.5,3035,0.9,4992,1.7,4458,1.2,10298,2.6,7274,1.3
25,1,1,鉄道通学定期代,258,0.1,-55.5,-,-,-,-,1686,0.5,-,-,111,0.0,-,-,-,-
26,1,1,鉄道通勤定期代,2779,0.8,-8.1,2096,0.8,1915,0.7,760,0.2,4565,1.5,2888,0.8,5338,1.4,1862,0.3
27,1,1,バス代,590,0.2,306.9,518,0.2,262,0.1,352,0.1,356,0.1,144,0.0,759,0.2,1727,0.3
28,1,1,バス通学定期代,15,0.0,-85.7,-,-,-,-,105,0.0,-,-,-,-,-,-,-,-
29,1,1,バス通勤定期代,2,0.0,-98.1,-,-,-,-,-,-,-,-,-,-,14,0.0,-,-
30,1,1,タクシー代,499,0.1,-7.4,399,0.2,122,0.0,274,0.1,135,0.0,332,0.1,753,0.2,1470,0.3
31,1,1,航空運賃,1168,0.3,6.4,1894,0.8,2398,0.9,-,-,839,0.3,410,0.1,1416,0.4,1247,0.2
32,1,1,郵便料,135,0.0,0.0,69,0.0,189,0.1,215,0.1,128,0.0,107,0.0,116,0.0,120,0.0
33,1,1,固定電話通信料,944,0.3,5.7,702,0.3,1008,0.4,1240,0.4,846,0.3,744,0.2,923,0.2,1134,0.2
34,1,1,携帯電話通信料,10243,2.9,2.2,6535,2.6,11080,4.1,11170,3.3,11086,3.7,9871,2.7,9316,2.4,12553,2.3
35,1,1,ＮＨＫ放送受信料,920,0.3,32.4,323,0.1,336,0.1,1620,0.5,823,0.3,1827,0.5,650,0.2,851,0.2
36,1,1,ケーブルテレビ放送受信料,1095,0.3,36.2,1105,0.4,1134,0.4,635,0.2,998,0.3,776,0.2,1790,0.5,1221,0.2
37,1,1,他の放送受信料,118,0.0,-37.6,276,0.1,38,0.0,95,0.0,147,0.0,25,0.0,154,0.0,95,0.0
38,1,1,国公立小学校,910,0.3,-19.8,432,0.2,220,0.1,1022,0.3,1652,0.5,1708,0.5,901,0.2,422,0.1
39,1,1,国公立中学校,646,0.2,-14.8,37,0.0,-,-,121,0.0,1816,0.6,1669,0.5,490,0.1,380,0.1
40,1,1,国公立高校,1215,0.3,22.2,1416,0.6,110,0.0,890,0.3,2931,1.0,1695,0.5,1450,0.4,12,0.0
41,1,1,国公立大学,1807,0.5,246.8,-,-,-,-,-,-,-,-,3685,1.0,243,0.1,8672,1.6
42,1,1,たばこ,1167,0.3,-10.2,952,0.4,759,0.3,1764,0.5,1066,0.4,1308,0.4,1341,0.3,968,0.2
43,2,0,準公共料金等,43454,12.3,7.1,15239,6.0,33954,12.7,51030,14.9,25302,8.4,39764,10.8,26981,6.9,111008,20.4
44,2,1,牛乳,1432,0.4,13.2,1362,0.5,1211,0.5,1601,0.5,1699,0.6,1303,0.4,1382,0.4,1460,0.3
45,2,1,灯油,24,0.0,-7.7,147,0.1,25,0.0,-,-,-,-,-,-,-,-,-,-
46,2,1,プロパンガス,290,0.1,-39.7,233,0.1,695,0.3,298,0.1,149,0.0,664,0.2,-,-,-,-
47,2,1,理髪料,527,0.1,16.1,202,0.1,427,0.2,246,0.1,348,0.1,606,0.2,1059,0.3,791,0.1
48,2,1,パーマネント代,203,0.1,361.4,-,-,351,0.1,576,0.2,-,-,-,-,202,0.1,283,0.1
49,2,1,洗濯代,971,0.3,-8.2,338,0.1,578,0.2,911,0.3,427,0.1,773,0.2,1222,0.3,2522,0.5
50,2,1,新聞,1430,0.4,9.8,2006,0.8,1156,0.4,1633,0.5,1114,0.4,510,0.1,1496,0.4,2095,0.4
51,2,1,私立小学校,86,0.0,-57.4,-,-,-,-,-,-,597,0.2,-,-,-,-,-,-
52,2,1,私立中学校,258,0.1,-83.8,-,-,1700,0.6,-,-,-,-,-,-,-,-,113,0.0
53,2,1,私立高校,3546,1.0,-17.5,2906,1.2,-,-,6175,1.8,20,0.0,1687,0.5,-,-,13953,2.6
54,2,1,私立大学,16013,4.5,16.9,-,-,7263,2.7,22120,6.5,-,-,7153,1.9,-,-,74913,13.7
55,2,1,幼児教育費用,1270,0.4,-7.4,-,-,730,0.3,1404,0.4,1449,0.5,2703,0.7,2425,0.6,153,0.0
56,2,1,民営家賃,17247,4.9,18.0,8044,3.2,18702,7.0,16066,4.7,19501,6.5,24366,6.6,19194,4.9,14725,2.7
57,2,1,地代,159,0.0,-1.9,-,-,1117,0.4,-,-,-,-,-,-,-,-,-,-
